	sentiment	text	org_text	perplexity	sent_predicted_label	sent_predicted_score	sentiment_conv	sent_predicted_label_conv	text_del_stop_words
0	[negative]	 Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und hilfsbereit, aber die Zimmer waren sehr dreckig und es gab keine Reinigung der Zimmer. Die Zimmer wurden nicht gereinigt, wenn man sich beschwert hat, aber das Personal war sehr unfreundlich und hatte immer die Nase voll. Das Essen war eine Katastrophe, die Qualität des Essens war sehr schlecht. Die Tische wurden nicht abgeräumt, die Teller wurden nie abgeräumt, die Teller waren nicht sauber, das Besteck war schmutzig und das Geschirr wurde nicht abgeräumt. Die Zimmermädchen waren sehr unfreundlich und haben sich kaum	Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und sehr bemüht. Der Service an der Rezeption hat uns sehr geärgert. Wir kamen dreimal mit dem gleichen Anliegen und jeder wollte es weitergeben, nur keiner wusste Bescheid und nichts ist passiert. Für eine Umbuchung von einem Zimmer wollten sie dann noch 30 € haben, obwohl wir vorher eine Mail mit unseren Wünschen geschrieben hatten. Im großen und Ganzen war dieser Bereich also sehr! unfreundlich.	1.061201355044988	NEGATIVE	3.367382526397705	0	0	Zimmermädchen Bedienungen Restaurant nett hilfsbereit , Zimmer dreckig gab Reinigung Zimmer . Zimmer wurden gereinigt , beschwert , Personal unfreundlich immer Nase voll . Essen Katastrophe , Qualität Essens schlecht . Tische wurden abgeräumt , Teller wurden nie abgeräumt , Teller sauber , Besteck schmutzig Geschirr wurde abgeräumt . Zimmermädchen unfreundlich kaum
1	[negative]	 Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic, Wasserball, Volleyball und Fußball nicht viel mitbekommen. Der Pool war sehr schmutzig und sehr schmutzig. Am Strand war er auch nicht sauber. Am Pool waren die Liegen und Auflagen nicht immer sauber. Die Liegen und Auflagen waren sehr dreckig. Es gab keine Auflagen. Der Strand war nicht sauber. Die Liegen und Auflagen waren nicht immer sauber. Die Sonnenschirme waren nicht immer sauber. Der Strand war sehr schmutzig. Es gab keine Auflagen. Der Strand war nicht sauber. Die Liegestühle waren nicht immer sauber	Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic mit lautstarker Musik nichts mitbekommen, hatten aber auch mehrere Ausflüge gebucht, sodas dafür nicht viel Zeit gewesen wäre. Billardtische, die ab 16.00Uhr kostenlos genutzt werden konnten waren meist belegt! Logisch sonst war im Hotel an Animation und Unterhaltung nicht viel los. Abends war die Animation sehr laut und nur für Idioten gedacht manche machten sich regelmäßig zum Affen aber bitte wer´s mag.	1.2377804218975097	NEGATIVE	3.2086360454559326	0	0	Sportangebot außer immer 13.00Uhr Pool Ärobic , Wasserball , Volleyball Fußball mitbekommen . Pool schmutzig schmutzig . Strand sauber . Pool Liegen Auflagen immer sauber . Liegen Auflagen dreckig . gab Auflagen . Strand sauber . Liegen Auflagen immer sauber . Sonnenschirme immer sauber . Strand schmutzig . gab Auflagen . Strand sauber . Liegestühle immer sauber
2	[negative]	 Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen kein Deutsch, die meisten sprechen nur russisch. Das Personal ist sehr unfreundlich, die Zimmer werden nicht gereinigt, die Liegen am Strand und Pool werden nicht richtig gereinigt. Das Essen ist sehr schlecht. Die Qualität der Speisen ist sehr schlecht. Es gibt nur Frühstück, das Abendessen ist sehr schlecht. Die Atmosphäre ist sehr schlecht. Die Kellner sind sehr unfreundlich. Die Zimmer sind sehr laut. Das Personal im Restaurant ist sehr unfreundlich. Die Zimmer werden nicht richtig gereinigt. Das Essen ist sehr schlecht. Die	Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen einen nicht. Das Putzpersonal kam jeden morgen so ca um Uhr ins Zimmer öffnete die Tür und schloss sie wieder wenn sie einen schlafen sah, trotzdem wurde man natürlich wach und konnte schwer wieder einschlafen, da manche erst von ihrer Partynacht nach hause kamen und auf den Fluren brüllten. -.-	1.1163637789415668	NEGATIVE	3.293018579483032	0	0	eigtl wenig Deutsch gesprochen . viele verstehen Deutsch , meisten sprechen russisch . Personal unfreundlich , Zimmer gereinigt , Liegen Strand Pool richtig gereinigt . Essen schlecht . Qualität Speisen schlecht . gibt Frühstück , Abendessen schlecht . Atmosphäre schlecht . Kellner unfreundlich . Zimmer laut . Personal Restaurant unfreundlich . Zimmer richtig gereinigt . Essen schlecht .
3	[positive]	 Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, saubere Zimmer. Das Essen ist sehr gut und abwechslungsreich. Es ist für jeden etwas dabei. Die Lage ist super. Wir haben uns sehr wohl gefühlt. Wir hatten Halbpension gebucht. Das Essen war sehr gut und abwechslungsreich. Die Lage ist super. Wir haben uns sehr wohl gefühlt. Das Personal war sehr freundlich. Wir haben uns sehr wohl gefühlt. Das Hotel ist sehr sauber. Wir hatten ein sehr schönes Zimmer. Das Personal war sehr freundlich. Wir hatten Halbpension gebucht. Das Essen war sehr gut und abwechslungsreich.	Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, traumhafte Anlagen, sehr sauber, die Zimmer wurden 2x täglich gereinigt, habe ich in noch keinem Hotel erlebt! Sehr viele Russen, manche konnten sich nicht benehmen, aber das ist ja nur zu gut bekannt... Besonders gefallen haben mir die Poolanlagen, einfach traumhaft! Also ich kann dieses Hotel nur weiter empfehlen und werde auch nächstes Jahr dort wieder zu Gast sein.	1.11545684332596	POSITIVE	3.9107940196990967	1	1	Wunderschöner Urlaub , kommen freundlich eingerichtetes Hotel , wunderschöne , saubere Zimmer . Essen gut abwechslungsreich . dabei . Lage super . wohl gefühlt . Halbpension gebucht . Essen gut abwechslungsreich . Lage super . wohl gefühlt . Personal freundlich . wohl gefühlt . Hotel sauber . schönes Zimmer . Personal freundlich . Halbpension gebucht . Essen gut abwechslungsreich .
4	[positive]	 Animationen tagsüber haben wir nicht gesucht und zum Glück auch genutzt. Abends war das Angebot wirklich sehr gut. Jeden Abend gab es ein anderes Thema. Wir haben uns sehr gut erholt und waren auch in der Hauptsaison immer am Strand. Am Abend war es auch sehr schön. Wir hatten einen wunderschönen Urlaub. Auch die Shows waren sehr gut. Es war ein sehr schöner Urlaub. Wir werden auf jeden Fall wieder kommen. Die Shows waren auch sehr gut. Es gab auch eine kleine Kinderdisco. Das Essen war sehr gut. Es gab immer etwas zu essen.	Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht bekommen. Der Indoorpool war nur für Spa-Kunden zugänglich. Dafür aber drei Außenpools für alle. Die abendlichen Veranstaltungen in der Bar waren teilweise etwas laut und somit im Zimmer trotz geschlossener Türen zu hören.	1.2319078410196875	POSITIVE	3.941704034805298	1	1	Animationen tagsüber gesucht Glück genutzt . Abends Angebot wirklich gut . Abend gab Thema . gut erholt Hauptsaison immer Strand . Abend schön . wunderschönen Urlaub . Shows gut . schöner Urlaub . Fall kommen . Shows gut . gab kleine Kinderdisco . Essen gut . gab immer essen .
5	[positive]	 Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns sehr wohl gefühlt. Das Personal ist sehr nett und hilfsbereit. Die Zimmer sind sehr sauber und die Zimmer werden täglich gereinigt. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Die Zimmer sind groß und sehr sauber. Die Animation ist sehr gut und sehr gut. Das Essen ist sehr gut und abwechslungsreich. Die Animation ist sehr gut und abwechslungsreich. Die Zimmer sind sehr sauber und gut eingerichtet. Wir hatten Halbpension. Die Getränke waren immer gut und auch sehr gut. Wir hatten Halbpension. Die Zimmer sind sehr groß und	Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns volle Wochen lang rundum wohl gefühlt. Beeindruckend war die große, nie aufdringliche Freundlichkeit und professionelle Hilfsbereitschaft des Personals. Auch die Sauberkeit des Zimmers und die regionale Vielfalt des Frühstücks-Büffets ließen keine Wünsche offen. Das Haus ist seinen Preis auf jeden Fall wert.	1.1095347517936118	POSITIVE	3.926490068435669	1	1	Familiär freundlich familiär geführten Hotel wohl gefühlt . Personal nett hilfsbereit . Zimmer sauber Zimmer täglich gereinigt . Mitarbeiter freundlich hilfsbereit . Zimmer groß sauber . Animation gut gut . Essen gut abwechslungsreich . Animation gut abwechslungsreich . Zimmer sauber gut eingerichtet . Halbpension . Getränke immer gut gut . Halbpension . Zimmer groß
6	[positive]	 Zimmer war schön groß und auch sehr sauber. Die Badewanne war auch sehr groß, sodass man sich auch mal die Hand auf die Schulter legen konnte. Es gab auch einen kleinen Fernseher mit vielen deutschen Programmen. Das Bad war auch sehr sauber und die Dusche war auch schön. Die Betten waren auch sehr beqüm und auch der Safe war sehr schnell auf dem Zimmer. Die Klimaanlage war auch sehr gut und man konnte auch mal nachts in der Sonne schlafen. Es gab auch einen Kühlschrank, den man gegen Gebühr nutzen konnte. Das Zimmer war auch sehr sauber und das Personal	Zimmer war schön groß und auch sehr sauber. Die Badewanne war zwar bisl veraltet aber trotzdem alles sehr sauber	1.0575791486933972	POSITIVE	3.926970481872559	1	1	Zimmer schön groß sauber . Badewanne groß , sodass mal Hand Schulter legen konnte . gab kleinen Fernseher vielen deutschen Programmen . Bad sauber Dusche schön . Betten beqüm Safe schnell Zimmer . Klimaanlage gut konnte mal nachts Sonne schlafen . gab Kühlschrank , Gebühr nutzen konnte . Zimmer sauber Personal
7	[negative]	 Leider nicht mehr das was es mal war Das Hotel ist in einem sehr schlechten Zustand. Das Personal ist sehr unfreundlich, das Essen ist einfach nur schlecht. Man bekommt nur die Getränke und die Atmosphäre. Die Zimmer sind in einem sehr schlechten Zustand. Die Zimmer sind sehr alt und nicht sauber. Es gibt keine Zimmer für die Kinder. Die Anlage ist in einem sehr schlechten Zustand. Es gibt keine Ruhe und man ist gezwungen zu gehen. Die Anlage ist nicht mehr zeitgemäß. Es ist sehr sehr laut und das Personal ist sehr unfreundlich. Die Zimmer sind sehr	Leider nicht mehr das was es mal war Das Hotel ist leider sehr in die Jahre gekommen, schade, dass hier nicht für die Aufrechterhaltung Geld investiert wird. Schade ist auch dass der Strand des Hotels ziehmlich verbaut wurde, hier ist die Schwimmweite und Breite gemeint.	1.074999079846054	NEGATIVE	3.3282971382141118	0	0	Leider mehr mal Hotel schlechten Zustand . Personal unfreundlich , Essen einfach schlecht . bekommt Getränke Atmosphäre . Zimmer schlechten Zustand . Zimmer alt sauber . gibt Zimmer Kinder . Anlage schlechten Zustand . gibt Ruhe gezwungen gehen . Anlage mehr zeitgemäß . laut Personal unfreundlich . Zimmer
8	[positive]	 Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt direkt am Strand. Das Personal ist sehr freundlich. Die Zimmer sind sauber und modern eingerichtet. Die Lage ist super. Das Essen ist sehr gut. Die Anlage ist sehr schön. Wir hatten Halbpension. Das Hotel ist sehr sauber. Die Zimmer sind modern und sehr groß. Die Zimmer sind auch sehr groß. Die Zimmer sind sehr sauber. Die Lage ist sehr gut. Das Hotel ist sehr schön. Wir haben uns sehr wohl gefühlt. Das Personal ist sehr nett. Die Lage ist sehr gut. Das Essen ist	Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt nahe der Fußgängerzone und nahe zum Strand. Der Service war gut und freundlich, die Gastronomie sehr abwechslungsreich und gut. Poollandschaft ist sehr großzügig und es standen genügend Liegen zur Auswahl, Animation ist vorhanden, aber nie aufdringlich, abends wird immer ein Programm geboten. Wer dieses Hotel bucht sollte für ein normal großes Zimmer unbedingt mit Poolblick buchen, da die anderen Zimmer zur Seitenstraße gelegen sind und die Aussicht nicht gut ist. Wer ein größeres Zimmer möchte muss eine Suite buchen.Uns hat es hier sehr gut gefallen und wir können das Hotel nur empfehlen.	1.0888258249796805	POSITIVE	3.9363491535186768	1	1	Gutes Hotel guter Lage Toller Badeurlaub . Hotel liegt direkt Strand . Personal freundlich . Zimmer sauber modern eingerichtet . Lage super . Essen gut . Anlage schön . Halbpension . Hotel sauber . Zimmer modern groß . Zimmer groß . Zimmer sauber . Lage gut . Hotel schön . wohl gefühlt . Personal nett . Lage gut . Essen
9	[positive]	 Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr wieder kommen. Ich habe mich in diesem Jahr sehr wohl gefühlt. Ich war mit meiner Familie dort und ich habe mich sehr wohl gefühlt. Ich kann das Hotel nur weiterempfehlen. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich sehr wohl gefühlt. Ich habe mich	Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr wieder kommen...<br/><br/>Kinderfreundlichkeit:<br/>Die Familie ist um jeden Gast, ob groß oder klein, sehr bemüht.	1.1184042416983864	POSITIVE	3.8833494186401367	1	1	Hotelbewertung 433307 Zufriedenheit allgemein : < br/ > hoffe , Jahr kommen . Jahr wohl gefühlt . Familie wohl gefühlt . Hotel weiterempfehlen . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt . wohl gefühlt .
