	sentiment	text	org_text	perplexity	sent_predicted_label	sent_predicted_score	sentiment_conv	sent_predicted_label_conv	text_del_stop_words	rouge_score_f	slor	readability_score	text_processed	lda_score
0	[negative]	 Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und zuvorkommend. Die Unterkunft ist perfekt gelegen und sehr gut erreichbar. Die Lage ist perfekt, um die Stadt zu erkunden. Die Lage ist super. Die Betten sind sehr bequem. Die Zimmer sind modern und sauber. Die Betten sind bequem. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist perfekt, um die Stadt zu erkunden. Die Lage ist perfekt, um die Stadt zu erkunden. Die Zimmer sind sehr komfortabel. Die Betten sind sehr bequem. Die Betten sind sehr komfortabel. Die Lage ist perfekt, um die Stadt zu erkunden. Die Zimmer sind sehr komfortabel. Die Betten sind sehr komfortabel. Die Zimmer sind sehr komfortabel. Die Zimmer sind sehr komfortabel. Die Betten sind sehr komfortabel. Die Zimmer sind sehr komfortabel. Die Zimmer sind sehr komfortabel	Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und sehr bemüht. Der Service an der Rezeption hat uns sehr geärgert. Wir kamen dreimal mit dem gleichen Anliegen und jeder wollte es weitergeben, nur keiner wusste Bescheid und nichts ist passiert. Für eine Umbuchung von einem Zimmer wollten sie dann noch 30 € haben, obwohl wir vorher eine Mail mit unseren Wünschen geschrieben hatten. Im großen und Ganzen war dieser Bereich also sehr! unfreundlich.	1.03642346130314	POSITIVE	3.9404919147491455	0	1	Zimmermädchen Bedienungen Restaurant nett zuvorkommend . Unterkunft perfekt gelegen gut erreichbar . Lage perfekt , Stadt erkunden . Lage super . Betten bequem . Zimmer modern sauber . Betten bequem . Zimmer sauber . Betten bequem . Lage perfekt , Stadt erkunden . Lage perfekt , Stadt erkunden . Zimmer komfortabel . Betten bequem . Betten komfortabel . Lage perfekt , Stadt erkunden . Zimmer komfortabel . Betten komfortabel . Zimmer komfortabel . Zimmer komfortabel . Betten komfortabel . Zimmer komfortabel . Zimmer komfortabel	0.22680411936231276	0.9428591764923795	73.74	 die zimmermädchen und bedienungen im restaurant waren sehr nett und zuvorkommend die unterkunft ist perfekt gelegen und sehr gut erreichbar die lage ist perfekt um die stadt zu erkunden die lage ist super die betten sind sehr bequem die zimmer sind modern und sauber die betten sind bequem die zimmer sind sehr sauber die betten sind sehr bequem die lage ist perfekt um die stadt zu erkunden die lage ist perfekt um die stadt zu erkunden die zimmer sind sehr komfortabel die betten sind sehr bequem die betten sind sehr komfortabel die lage ist perfekt um die stadt zu erkunden die zimmer sind sehr komfortabel die betten sind sehr komfortabel die zimmer sind sehr komfortabel die zimmer sind sehr komfortabel die betten sind sehr komfortabel die zimmer sind sehr komfortabel die zimmer sind sehr komfortabel	0.8678764878076004
1	[negative]	" Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic, am Strand Esplanade und am Strand Parc, keine Lust mehr. Es war zu wenig, um zu arbeiten. In der Nacht war das Essen sehr gut, die Pools sind sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Der Pool ist schön und sauber. Die Kinder waren sehr glücklich. Wir werden auf jeden Fall wieder kommen.
Wir waren im Juni 2017 für 2 Nächte im Cala Sant Vicente. Die Unterkunft war sauber und gut ausgestattet. Die Anlage ist in einem guten Zustand. Die Kinder hatten ein paar tolle Spiele. Die Anlage ist sehr gepflegt und hat einen schönen Pool. Die Kinder konnten in der Hängematte spielen. Die Anlage ist sehr gepflegt und hat einen schönen Pool. Die Kinder konnten in der Hängematte spielen. Die"	Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic mit lautstarker Musik nichts mitbekommen, hatten aber auch mehrere Ausflüge gebucht, sodas dafür nicht viel Zeit gewesen wäre. Billardtische, die ab 16.00Uhr kostenlos genutzt werden konnten waren meist belegt! Logisch sonst war im Hotel an Animation und Unterhaltung nicht viel los. Abends war die Animation sehr laut und nur für Idioten gedacht manche machten sich regelmäßig zum Affen aber bitte wer´s mag.	1.1458491856389788	POSITIVE	4.003660202026367	0	1	Sportangebot außer immer 13.00Uhr Pool Ärobic , Strand Esplanade Strand Parc , Lust mehr . wenig , arbeiten . Nacht Essen gut , Pools sauber . Personal freundlich hilfsbereit . Pool schön sauber . Kinder glücklich . Fall kommen . Juni 2017 2 Nächte Cala Sant Vicente . Unterkunft sauber gut ausgestattet . Anlage guten Zustand . Kinder paar tolle Spiele . Anlage gepflegt schönen Pool . Kinder konnten Hängematte spielen . Anlage gepflegt schönen Pool . Kinder konnten Hängematte spielen .	0.2702702653287072	1.1303135275026963	88.43	" vom sportangebot haben wir außer immer 1300uhr am pool ärobic am strand esplanade und am strand parc keine lust mehr es war zu wenig um zu arbeiten in der nacht war das essen sehr gut die pools sind sehr sauber das personal war sehr freundlich und hilfsbereit der pool ist schön und sauber die kinder waren sehr glücklich wir werden auf jeden fall wieder kommen
wir waren im juni 2017 für 2 nächte im cala sant vicente die unterkunft war sauber und gut ausgestattet die anlage ist in einem guten zustand die kinder hatten ein paar tolle spiele die anlage ist sehr gepflegt und hat einen schönen pool die kinder konnten in der hängematte spielen die anlage ist sehr gepflegt und hat einen schönen pool die kinder konnten in der hängematte spielen die"	0.8596791766530247
2	[negative]	" Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen nur noch Englisch, wenn sie mit dem PC arbeiten. Die meisten verstehen nur noch Englisch. Ich würde gerne einen Deutschkurs machen. Kann mir jemand helfen?
Hallo, ich bin 15 Jahre alt und besuche die 11. Klasse einer Gesamtschule. Ich möchte gerne ein Deutsch als Fremdsprache lernen. Allerdings muss ich wissen, ob ich das auch als Abitur machen kann. Ich würde mich sehr über eine Antwort freuen.
Hallo, ich habe mich im Internet ein bisschen umgeschaut und habe die Website des ""VHS"" gefunden. Dort ist die Schule aufgelistet. Dort ist die Schule aufgeführt. Die Schule ist in der Stadt. Dort ist auch die Schule. Ich habe dort angerufen und die Schule ist auch dort. Dort ist auch die Schule. Dort ist auch die Schule"	Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen einen nicht. Das Putzpersonal kam jeden morgen so ca um Uhr ins Zimmer öffnete die Tür und schloss sie wieder wenn sie einen schlafen sah, trotzdem wurde man natürlich wach und konnte schwer wieder einschlafen, da manche erst von ihrer Partynacht nach hause kamen und auf den Fluren brüllten. -.-	1.0921957624398726	POSITIVE	0.8827061057090759	0	1	eigtl wenig Deutsch gesprochen . viele verstehen Englisch , PC arbeiten . meisten verstehen Englisch . gerne Deutschkurs . jemand helfen ? Hallo , 15 Jahre alt besuche 11 . Klasse Gesamtschule . möchte gerne Deutsch Fremdsprache lernen . Allerdings wissen , Abitur . Antwort freuen . Hallo , Internet bisschen umgeschaut Website `` VHS '' gefunden . Schule aufgelistet . Schule aufgeführt . Schule Stadt . Schule . angerufen Schule . Schule . Schule	0.21897809738398433	1.2260341194275137	97.8	" es wird eigtl sehr wenig deutsch gesprochen sehr viele verstehen nur noch englisch wenn sie mit dem pc arbeiten die meisten verstehen nur noch englisch ich würde gerne einen deutschkurs machen kann mir jemand helfen
hallo ich bin 15 jahre alt und besuche die 11 klasse einer gesamtschule ich möchte gerne ein deutsch als fremdsprache lernen allerdings muss ich wissen ob ich das auch als abitur machen kann ich würde mich sehr über eine antwort freuen
hallo ich habe mich im internet ein bisschen umgeschaut und habe die website des ""vhs"" gefunden dort ist die schule aufgelistet dort ist die schule aufgeführt die schule ist in der stadt dort ist auch die schule ich habe dort angerufen und die schule ist auch dort dort ist auch die schule dort ist auch die schule"	0.860880439274514
3	[positive]	" Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, grosse Zimmer, sauber, gemütlich, reichhaltiges Frühstücksbüffet, wir kommen gerne wieder!
Wir haben den Aufenthalt im Paradise Garden Resort sehr genossen. Die Anlage ist sehr gepflegt und bietet einen schönen Pool. Das Hotel liegt sehr zentral, die Zimmer sind sauber und die Zimmer sind sehr geräumig. Wir kommen gerne wieder.
Wir haben uns sehr wohl gefühlt. Das Hotel liegt sehr zentral und ist sehr sauber. Das Personal ist sehr freundlich und hilfsbereit.
Die Zimmer sind sehr sauber und geräumig. Die Zimmer sind modern eingerichtet und das Bad ist mit Dusche und WC ausgestattet.
Wir haben uns sehr wohl gefühlt. Das Hotel liegt sehr zentral und ist sehr sauber. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt sehr zentral und ist sehr sauber."	Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, traumhafte Anlagen, sehr sauber, die Zimmer wurden 2x täglich gereinigt, habe ich in noch keinem Hotel erlebt! Sehr viele Russen, manche konnten sich nicht benehmen, aber das ist ja nur zu gut bekannt... Besonders gefallen haben mir die Poolanlagen, einfach traumhaft! Also ich kann dieses Hotel nur weiter empfehlen und werde auch nächstes Jahr dort wieder zu Gast sein.	1.0984913023134144	POSITIVE	3.938485860824585	1	1	Wunderschöner Urlaub , kommen freundlich eingerichtetes Hotel , wunderschöne , grosse Zimmer , sauber , gemütlich , reichhaltiges Frühstücksbüffet , kommen gerne ! Aufenthalt Paradise Garden Resort genossen . Anlage gepflegt bietet schönen Pool . Hotel liegt zentral , Zimmer sauber Zimmer geräumig . kommen gerne . wohl gefühlt . Hotel liegt zentral sauber . Personal freundlich hilfsbereit . Zimmer sauber geräumig . Zimmer modern eingerichtet Bad Dusche WC ausgestattet . wohl gefühlt . Hotel liegt zentral sauber . Personal freundlich hilfsbereit . Hotel liegt zentral sauber .	0.3114754048374094	1.2928440956419245	78.75	" wunderschöner urlaub wir kommen wieder sehr freundlich eingerichtetes hotel wunderschöne grosse zimmer sauber gemütlich reichhaltiges frühstücksbüffet wir kommen gerne wieder
wir haben den aufenthalt im paradise garden resort sehr genossen die anlage ist sehr gepflegt und bietet einen schönen pool das hotel liegt sehr zentral die zimmer sind sauber und die zimmer sind sehr geräumig wir kommen gerne wieder
wir haben uns sehr wohl gefühlt das hotel liegt sehr zentral und ist sehr sauber das personal ist sehr freundlich und hilfsbereit
die zimmer sind sehr sauber und geräumig die zimmer sind modern eingerichtet und das bad ist mit dusche und wc ausgestattet
wir haben uns sehr wohl gefühlt das hotel liegt sehr zentral und ist sehr sauber das personal ist sehr freundlich und hilfsbereit
das hotel liegt sehr zentral und ist sehr sauber"	0.8601686908158828
4	[positive]	" Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht gefunden. Die Information über die Zeiten ist zwar nicht schlecht, aber es fehlt etwas.
Ein interessantes Video, das mir gefällt, allerdings fehlt die ausführliche Beschreibung. Wenn man sich den Clip anschaut, kann man sich vorstellen, dass es sich um einen Horrorfilm handelt.
Die Hauptperson ist ein Vampir, der sich mit dem Vampir versucht zu töten. Die Geisterwelt ist düster und geheimnisvoll.
Ein sehr schöner Film, der mir gut gefallen hat. Er ist sehr düster und düster. Es gibt einige interessante Stellen, die sehr interessant sind.
Die Hauptperson ist ein Vampir, der sich mit dem Vampir versucht zu töten. Die Geisterwelt ist düster und geheimnisvoll.
Die Hauptperson ist ein Vampir, der sich mit dem Vampir"	Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht bekommen. Der Indoorpool war nur für Spa-Kunden zugänglich. Dafür aber drei Außenpools für alle. Die abendlichen Veranstaltungen in der Bar waren teilweise etwas laut und somit im Zimmer trotz geschlossener Türen zu hören.	1.137587606844348	POSITIVE	3.6702020168304443	1	1	Animationen tagsüber gesucht Glück gefunden . Information Zeiten schlecht , fehlt . interessantes Video , gefällt , allerdings fehlt ausführliche Beschreibung . Clip anschaut , vorstellen , Horrorfilm handelt . Hauptperson Vampir , Vampir versucht töten . Geisterwelt düster geheimnisvoll . schöner Film , gut gefallen . düster düster . gibt interessante Stellen , interessant . Hauptperson Vampir , Vampir versucht töten . Geisterwelt düster geheimnisvoll . Hauptperson Vampir , Vampir	0.26548672104001886	1.4862026304259819	77.84	" animationen tagsüber haben wir nicht gesucht und zum glück auch nicht gefunden die information über die zeiten ist zwar nicht schlecht aber es fehlt etwas
ein interessantes video das mir gefällt allerdings fehlt die ausführliche beschreibung wenn man sich den clip anschaut kann man sich vorstellen dass es sich um einen horrorfilm handelt
die hauptperson ist ein vampir der sich mit dem vampir versucht zu töten die geisterwelt ist düster und geheimnisvoll
ein sehr schöner film der mir gut gefallen hat er ist sehr düster und düster es gibt einige interessante stellen die sehr interessant sind
die hauptperson ist ein vampir der sich mit dem vampir versucht zu töten die geisterwelt ist düster und geheimnisvoll
die hauptperson ist ein vampir der sich mit dem vampir"	0.8644180937880438
5	[positive]	" Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir einen angenehmen Aufenthalt gehabt. Die Zimmer sind sehr sauber und modern eingerichtet. Das Frühstück war ausreichend. Die Lage ist ideal. In unmittelbarer Nähe zum Strand und zum Zentrum. Alles war vorhanden.
Die Lage ist perfekt. Wir waren mit unserem Sohn (6) und seiner Familie im Hotel am Pool. Das Hotel ist sehr ruhig gelegen. Der Strand ist nicht weit entfernt.
Das Hotel ist sehr schön und sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr zentral gelegen. Die Zimmer sind sehr sauber und sehr gut ausgestattet. Das Frühstück war sehr gut. Die Lage ist sehr gut. Die Betten sind sehr bequem.
Das Hotel ist sehr zentral gelegen. Der Strand ist nicht weit entfernt. Das Hotel ist sehr ruhig gelegen. Die"	Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns volle Wochen lang rundum wohl gefühlt. Beeindruckend war die große, nie aufdringliche Freundlichkeit und professionelle Hilfsbereitschaft des Personals. Auch die Sauberkeit des Zimmers und die regionale Vielfalt des Frühstücks-Büffets ließen keine Wünsche offen. Das Haus ist seinen Preis auf jeden Fall wert.	1.0827633284259914	POSITIVE	3.946772575378418	1	1	Familiär freundlich familiär geführten Hotel angenehmen Aufenthalt gehabt . Zimmer sauber modern eingerichtet . Frühstück ausreichend . Lage ideal . unmittelbarer Nähe Strand Zentrum . vorhanden . Lage perfekt . Sohn ( 6 ) Familie Hotel Pool . Hotel ruhig gelegen . Strand weit entfernt . Hotel schön sauber . Personal freundlich hilfsbereit . Hotel zentral gelegen . Zimmer sauber gut ausgestattet . Frühstück gut . Lage gut . Betten bequem . Hotel zentral gelegen . Strand weit entfernt . Hotel ruhig gelegen .	0.25688072901607617	0.6195553783494246	81.49	" familiär und freundlich in diesem sehr familiär geführten hotel haben wir einen angenehmen aufenthalt gehabt die zimmer sind sehr sauber und modern eingerichtet das frühstück war ausreichend die lage ist ideal in unmittelbarer nähe zum strand und zum zentrum alles war vorhanden
die lage ist perfekt wir waren mit unserem sohn (6) und seiner familie im hotel am pool das hotel ist sehr ruhig gelegen der strand ist nicht weit entfernt
das hotel ist sehr schön und sehr sauber das personal ist sehr freundlich und hilfsbereit das hotel ist sehr zentral gelegen die zimmer sind sehr sauber und sehr gut ausgestattet das frühstück war sehr gut die lage ist sehr gut die betten sind sehr bequem
das hotel ist sehr zentral gelegen der strand ist nicht weit entfernt das hotel ist sehr ruhig gelegen die"	0.8628858086013925
6	[positive]	" Zimmer war schön groß und auch sehr sauber. Die Badewanne war sehr sauber und sehr schön. Die Küche war sehr gut ausgestattet und auch sehr schön. Die...”
“Die Zimmer sind sehr schön und sehr sauber. Die Zimmer sind sehr schön und sehr sauber. Die Küche ist sehr gut ausgestattet und auch sehr schön. Die Badezimmer sind sehr sauber und sehr schön. Die Zimmer…”
“Wir waren hier für eine Nacht. Die Lage ist sehr gut. Der Bahnhof ist ca. 5 min zu Fuß entfernt. Das Hotel liegt sehr zentral. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr sauber und…”
“Die Zimmer sind sehr schön und sehr sauber. Die Küche ist sehr gut ausgestattet und auch sehr schön. Die Badezimmer sind sehr sauber und sehr schön. Die Zimmer sind sehr sauber und sehr schön."	Zimmer war schön groß und auch sehr sauber. Die Badewanne war zwar bisl veraltet aber trotzdem alles sehr sauber	1.0312190200826659	POSITIVE	3.9521028995513916	1	1	Zimmer schön groß sauber . Badewanne sauber schön . Küche gut ausgestattet schön . ... ” “ Zimmer schön sauber . Zimmer schön sauber . Küche gut ausgestattet schön . Badezimmer sauber schön . Zimmer… ” “ Nacht . Lage gut . Bahnhof ca . 5 min Fuß entfernt . Hotel liegt zentral . Personal freundlich hilfsbereit . Zimmer sauber und… ” “ Zimmer schön sauber . Küche gut ausgestattet schön . Badezimmer sauber schön . Zimmer sauber schön .	0.3448275822116528	1.227498644409328	97.3	" zimmer war schön groß und auch sehr sauber die badewanne war sehr sauber und sehr schön die küche war sehr gut ausgestattet und auch sehr schön die”
“die zimmer sind sehr schön und sehr sauber die zimmer sind sehr schön und sehr sauber die küche ist sehr gut ausgestattet und auch sehr schön die badezimmer sind sehr sauber und sehr schön die zimmer…”
“wir waren hier für eine nacht die lage ist sehr gut der bahnhof ist ca 5 min zu fuß entfernt das hotel liegt sehr zentral das personal ist sehr freundlich und hilfsbereit die zimmer sind sehr sauber und…”
“die zimmer sind sehr schön und sehr sauber die küche ist sehr gut ausgestattet und auch sehr schön die badezimmer sind sehr sauber und sehr schön die zimmer sind sehr sauber und sehr schön"	0.8595407050876824
7	[negative]	" Leider nicht mehr das was es mal war Das Hotel ist zwar noch recht neu, aber ich bin immer noch total begeistert von dem Service. Es ist sehr sauber und die Angestellten sind sehr freundlich. Ich kann es nur empfehlen.
Alle 4 Hotels in der Umgebung anzeigenAlle 19 Restaurants in der Umgebung anzeigenAlle 9 Sehenswürdigkeiten in der Umgebung anzeigen
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Acadia Palace.
Sind Sie bereit, eine bestimmte Strecke zurückzulegen? Wir haben tolle Ergebnisse außerhalb von Bengalen gefunden.
Der von Ihnen gefundene Preis ist 22 % niedriger als der durchschnittliche Preis dieses Hotels von $ 100 pro Nacht.
Der von Ihnen gefundene Preis ist 22 % niedriger als der durchschnittliche Preis dieses Hotels von $ 101 pro Nacht.
Der von Ihnen gefundene Preis ist 14 % niedriger als der durchschnittliche"	Leider nicht mehr das was es mal war Das Hotel ist leider sehr in die Jahre gekommen, schade, dass hier nicht für die Aufrechterhaltung Geld investiert wird. Schade ist auch dass der Strand des Hotels ziehmlich verbaut wurde, hier ist die Schwimmweite und Breite gemeint.	1.125703633938087	POSITIVE	3.9571635723114014	0	1	Leider mehr mal Hotel recht neu , immer total begeistert Service . sauber Angestellten freundlich . empfehlen . 4 Hotels Umgebung anzeigenAlle 19 Restaurants Umgebung anzeigenAlle 9 Sehenswürdigkeiten Umgebung anzeigen Erhalten schnelle Antworten Mitarbeitern früheren Gästen Acadia Palace . bereit , bestimmte Strecke zurückzulegen ? tolle Ergebnisse außerhalb Bengalen gefunden . gefundene Preis 22 % niedriger durchschnittliche Preis Hotels $ 100 pro Nacht . gefundene Preis 22 % niedriger durchschnittliche Preis Hotels $ 101 pro Nacht . gefundene Preis 14 % niedriger durchschnittliche	0.28571428150163775	1.713799892681671	73.27	" leider nicht mehr das was es mal war das hotel ist zwar noch recht neu aber ich bin immer noch total begeistert von dem service es ist sehr sauber und die angestellten sind sehr freundlich ich kann es nur empfehlen
alle 4 hotels in der umgebung anzeigenalle 19 restaurants in der umgebung anzeigenalle 9 sehenswürdigkeiten in der umgebung anzeigen
erhalten sie schnelle antworten von den mitarbeitern und früheren gästen des acadia palace
sind sie bereit eine bestimmte strecke zurückzulegen wir haben tolle ergebnisse außerhalb von bengalen gefunden
der von ihnen gefundene preis ist 22 % niedriger als der durchschnittliche preis dieses hotels von $ 100 pro nacht
der von ihnen gefundene preis ist 22 % niedriger als der durchschnittliche preis dieses hotels von $ 101 pro nacht
der von ihnen gefundene preis ist 14 % niedriger als der durchschnittliche"	0.8575039238801475
8	[positive]	" Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt am Ortsrand von Karnak, das ist sehr ruhig. Wir hatten einen schönen Aufenthalt.
positive /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /neg"	Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt nahe der Fußgängerzone und nahe zum Strand. Der Service war gut und freundlich, die Gastronomie sehr abwechslungsreich und gut. Poollandschaft ist sehr großzügig und es standen genügend Liegen zur Auswahl, Animation ist vorhanden, aber nie aufdringlich, abends wird immer ein Programm geboten. Wer dieses Hotel bucht sollte für ein normal großes Zimmer unbedingt mit Poolblick buchen, da die anderen Zimmer zur Seitenstraße gelegen sind und die Aussicht nicht gut ist. Wer ein größeres Zimmer möchte muss eine Suite buchen.Uns hat es hier sehr gut gefallen und wir können das Hotel nur empfehlen.	1.12615001082327	POSITIVE	3.8039207458496094	1	1	Gutes Hotel guter Lage Toller Badeurlaub . Hotel liegt Ortsrand Karnak , ruhig . schönen Aufenthalt . positive /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /neg	0.23529411394655905	-0.21947054472879604	-13.27	" gutes hotel mit guter lage toller badeurlaub das hotel liegt am ortsrand von karnak das ist sehr ruhig wir hatten einen schönen aufenthalt
positive /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /negative /neg"	0.8070181631664557
9	[positive]	 Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr ein paar interessante Hotels testen.</p> <p>Die Marke „Maired Heights“ wurde 2007 gegründet und ist mittlerweile zu einem der bekanntesten Marken für Gewichtsreduktion und Ernährung geworden. Die Philosophie von „Maired Heights“ ist es, dem Kunden ein Produkt zu bieten, das sich mit Leichtigkeit und ohne Verzicht, mit einer einzigartigen Zusammensetzung, mit einer gesunden Ernährung und mit einer abwechslungsreichen Auswahl an Nährstoffen und Vitalstoffen, mit einer gesunden Lebensweise und mit einer gesunden Lebensweise verbindet. Die Philosophie von „Maired Heights“ ist es, dem Kunden ein Produkt zu bieten, das sich mit Leichtigkeit und ohne Verzicht, mit einer gesunden Ernährung und mit einer gesunden Lebensweise verbindet. Die Philosophie von „Maired Heights	Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr wieder kommen...<br/><br/>Kinderfreundlichkeit:<br/>Die Familie ist um jeden Gast, ob groß oder klein, sehr bemüht.	1.1218358602380283	POSITIVE	3.6297872066497803	1	1	Hotelbewertung 433307 Zufriedenheit allgemein : < br/ > hoffe , Jahr paar interessante Hotels testen. < /p > < p > Marke „ Maired Heights “ wurde 2007 gegründet mittlerweile bekanntesten Marken Gewichtsreduktion Ernährung geworden . Philosophie „ Maired Heights “ , Kunden Produkt bieten , Leichtigkeit Verzicht , einzigartigen Zusammensetzung , gesunden Ernährung abwechslungsreichen Auswahl Nährstoffen Vitalstoffen , gesunden Lebensweise gesunden Lebensweise verbindet . Philosophie „ Maired Heights “ , Kunden Produkt bieten , Leichtigkeit Verzicht , gesunden Ernährung gesunden Lebensweise verbindet . Philosophie „ Maired Heights	0.2588235253591696	0.82522253230521	56.18	 hotelbewertung 433307 zufriedenheit allgemein:<br/>ich hoffe ich kann in diesem jahr ein paar interessante hotels testen</p> <p>die marke „maired heights“ wurde 2007 gegründet und ist mittlerweile zu einem der bekanntesten marken für gewichtsreduktion und ernährung geworden die philosophie von „maired heights“ ist es dem kunden ein produkt zu bieten das sich mit leichtigkeit und ohne verzicht mit einer einzigartigen zusammensetzung mit einer gesunden ernährung und mit einer abwechslungsreichen auswahl an nährstoffen und vitalstoffen mit einer gesunden lebensweise und mit einer gesunden lebensweise verbindet die philosophie von „maired heights“ ist es dem kunden ein produkt zu bieten das sich mit leichtigkeit und ohne verzicht mit einer gesunden ernährung und mit einer gesunden lebensweise verbindet die philosophie von „maired heights	0.8551763149128275
