	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	[negative] Wir waren in diesem Hotel. Nie wieder! Hilfe für Kinder Fitnessatmosphäre Atmosphäre im Hotel sehr schlecht, kein Sportprogramm. Wir wurden nie wieder hereingelassen, da der Reiseleiter nicht da war. Es wurde nichts gesagt. Man war in keinem Hotel auf der Welt! Wir hatten AI. Es hatte keinen einzigen Abend wo wir uns das Wasser oder das Essen aussuchen konnten. Die Auswahl an Getränken war nicht riesig, der Speisesaal sehr heruntergekommen. Der Pool war eine einzige Zumutung. Keine Bar im Gartenbereich und auch nicht am Pool.	 Wir waren in diesem Hotel. Nie wieder! Hilfe für Kinder Fitnessatmosphäre Atmosphäre im Hotel sehr schlecht, kein Sportprogramm. Wir wurden nie wieder hereingelassen, da der Reiseleiter nicht da war. Es wurde nichts gesagt. Man war in keinem Hotel auf der Welt! Wir hatten AI. Es hatte keinen einzigen Abend wo wir uns das Wasser oder das Essen aussuchen konnten. Die Auswahl an Getränken war nicht riesig, der Speisesaal sehr heruntergekommen. Der Pool war eine einzige Zumutung. Keine Bar im Gartenbereich und auch nicht am Pool.	1.079074510937013	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	[negative] Wir waren in diesem Hotel. Das Hotel war in einem sehr schlechten Zustand. Es war jeden Tag das selbe Essen. Die Zimmer waren alt und dreckig. Die Tische wurden nicht abgeräumt und die Tische waren auch nicht sauber. An der Poolbar gab es immer das selbe und das Zimmer war auch nicht sauber. Es gab keine Sportmöglichkeiten und keine Fitness und Zimmer sind nicht Badezimmerempfangempfang Empfang, Personal und das Personal waren nicht gut gelaunt. Die Bar war sehr schmutzig und die Bar konnte man nicht nutzen. Die Animateure waren sehr	 Wir waren in diesem Hotel. Das Hotel war in einem sehr schlechten Zustand. Es war jeden Tag das selbe Essen. Die Zimmer waren alt und dreckig. Die Tische wurden nicht abgeräumt und die Tische waren auch nicht sauber. An der Poolbar gab es immer das selbe und das Zimmer war auch nicht sauber. Es gab keine Sportmöglichkeiten und keine Fitness und Zimmer sind nicht Badezimmerempfangempfang Empfang, Personal und das Personal waren nicht gut gelaunt. Die Bar war sehr schmutzig und die Bar konnte man nicht nutzen. Die Animateure waren sehr	1.1606879370755818	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	[positive] Wir waren in diesem Hotel. Die Lage ist optimal. Das Hotel liegt direkt am Strand. Der Strand ist sauber und gepflegt. Die Zimmer sind sehr sauber und geräumig. Die Sauberkeit des Hotels ist sehr gut. Die Anlage ist in einem guten Zustand. Wir hatten ein Zimmer im 2. Stock. Hier war es sehr schön. Auch die Zimmer waren in einem guten Zustand. Die Zimmer waren auch sehr groß. Es gab eine Minibar. Außerdem gab es noch einen Fernseher. Wir hatten einen Balkon. Wir hatten ein Zimmer im 3. Stock.	 Wir waren in diesem Hotel. Die Lage ist optimal. Das Hotel liegt direkt am Strand. Der Strand ist sauber und gepflegt. Die Zimmer sind sehr sauber und geräumig. Die Sauberkeit des Hotels ist sehr gut. Die Anlage ist in einem guten Zustand. Wir hatten ein Zimmer im 2. Stock. Hier war es sehr schön. Auch die Zimmer waren in einem guten Zustand. Die Zimmer waren auch sehr groß. Es gab eine Minibar. Außerdem gab es noch einen Fernseher. Wir hatten einen Balkon. Wir hatten ein Zimmer im 3. Stock.	1.071313741843467	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	[negative] Wir waren in diesem Hotel. Nie wieder! Die Lage des Hotels ist auch nicht das was man sich wünscht. Die Atmosphäre ist sehr laut. Die Erreichbarkeit der Bars und Restaurants ist sehr schlecht. Das Frühstück und Abendessen ist sehr schlecht. Die Themenrestaurants sind für ein 3-Sterne-Hotel viel zu klein und nicht ansprechend. Die Auswahl an Essen ist sehr gering. Es hat auch keinen wirklich guten Geschmack. Die Tische werden nicht abgeräumt, es gibt nur noch eine Platznahme, der Rest ist ein Witz. Die Tische sind total	 Wir waren in diesem Hotel. Nie wieder! Die Lage des Hotels ist auch nicht das was man sich wünscht. Die Atmosphäre ist sehr laut. Die Erreichbarkeit der Bars und Restaurants ist sehr schlecht. Das Frühstück und Abendessen ist sehr schlecht. Die Themenrestaurants sind für ein 3-Sterne-Hotel viel zu klein und nicht ansprechend. Die Auswahl an Essen ist sehr gering. Es hat auch keinen wirklich guten Geschmack. Die Tische werden nicht abgeräumt, es gibt nur noch eine Platznahme, der Rest ist ein Witz. Die Tische sind total	1.078099057312283	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	[negative] Wir waren in diesem Hotel. Das Zimmer war ein Witz. Badewanne und Toilette waren nicht sauber. Sauberkeit Eindruck schlecht. Handtücher wurden auch nicht gewechselt und der Boden wurde nicht neu gereinigt. Bettwäsche und Badetücher wurden auch nicht gewechselt. Das Bad war sehr dreckig und die Toilette war schmutzig. Die Toilette war sehr schlecht gereinigt, die Toilette hat nur eine Tür. Wenn man in ein Zimmer mit einem kleinen Balkon ging, bekam man das Zimmer nicht sauber. Die Betten waren auch keine Sterne sondern eher Sterne!!! Man konnte nicht mal richtig schlafen	 Wir waren in diesem Hotel. Das Zimmer war ein Witz. Badewanne und Toilette waren nicht sauber. Sauberkeit Eindruck schlecht. Handtücher wurden auch nicht gewechselt und der Boden wurde nicht neu gereinigt. Bettwäsche und Badetücher wurden auch nicht gewechselt. Das Bad war sehr dreckig und die Toilette war schmutzig. Die Toilette war sehr schlecht gereinigt, die Toilette hat nur eine Tür. Wenn man in ein Zimmer mit einem kleinen Balkon ging, bekam man das Zimmer nicht sauber. Die Betten waren auch keine Sterne sondern eher Sterne!!! Man konnte nicht mal richtig schlafen	1.1764500469519388	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	[negative] Wir waren in diesem Hotel. Dieses Hotel ist wirklich nicht empfehlenswert. Personal ist total überfordert und auf Handtuch Atmosphäre eingestellt. Das Buffet sieht aus wie in einer Bahnhofshalle. Die Auswahl an Speisen ist sehr eintönig. Die Qualität der Speisen ist sehr enttäuschend. Wir haben schon bessere Hotels in Deutschland besucht. Auch das Personal ist sehr unfreundlich. Man wird regelrecht ignoriert. Die Hotelanlage hat einen sehr schlechten Ruf und die Gäste sind sehr unfreundlich. Die Zimmer sind in Ordnung mit einem einfachen Standard, die Zimmer sind alt und die Dusche war	 Wir waren in diesem Hotel. Dieses Hotel ist wirklich nicht empfehlenswert. Personal ist total überfordert und auf Handtuch Atmosphäre eingestellt. Das Buffet sieht aus wie in einer Bahnhofshalle. Die Auswahl an Speisen ist sehr eintönig. Die Qualität der Speisen ist sehr enttäuschend. Wir haben schon bessere Hotels in Deutschland besucht. Auch das Personal ist sehr unfreundlich. Man wird regelrecht ignoriert. Die Hotelanlage hat einen sehr schlechten Ruf und die Gäste sind sehr unfreundlich. Die Zimmer sind in Ordnung mit einem einfachen Standard, die Zimmer sind alt und die Dusche war	1.0784394143928828	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Zimmer und Zimmerservice sehr schlecht. Personal war teilweise auch nur sehr bemüht Schwimmbad zu reinigen. Das Bad war dreckig, die Dusche und das WC defekt. Am besten man geht in ein Hotel wo die Zimmer nicht belegt sind. In der Anlage gab es viele Baustellen. Der Strand war nicht schön. Die Liegestühle am Strand waren oft kaputt und kaputt. Der Strand ist für die Kinder sehr klein. Man konnte nicht mit dem Schiff gehen. Am Strand gab es keine Einkaufsmöglichkeiten. Für Kinder gab es nur kleine	 Wir waren in diesem Hotel. Zimmer und Zimmerservice sehr schlecht. Personal war teilweise auch nur sehr bemüht Schwimmbad zu reinigen. Das Bad war dreckig, die Dusche und das WC defekt. Am besten man geht in ein Hotel wo die Zimmer nicht belegt sind. In der Anlage gab es viele Baustellen. Der Strand war nicht schön. Die Liegestühle am Strand waren oft kaputt und kaputt. Der Strand ist für die Kinder sehr klein. Man konnte nicht mit dem Schiff gehen. Am Strand gab es keine Einkaufsmöglichkeiten. Für Kinder gab es nur kleine	1.1182231354716294	['Schwimmbad', 'Personal', 'Zimmerservice']	3	0
7	[negative]	[negative] Wir waren in diesem Hotel. Nie wieder! Das Hotel ist eine Katastrophe. Das Essen ist nicht genießbar. Es gibt nichts für ein Sterne Hotel und es ist auch nicht besonders sauber. Die Zimmer werden auch nicht gründlich gereinigt. Die Betten sind sehr unbeqüm und die Handtücher werden nicht gewechselt. Das Essen ist nicht besonders gut und auch nicht gerade lecker. Die Klimaanlage funktioniert nicht. Das Bett ist nicht besonders groß und die Matratzen sind auch nicht besonders beqüm. Die Zimmer sind sehr hellhörig und es gibt nur einen	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist eine Katastrophe. Das Essen ist nicht genießbar. Es gibt nichts für ein Sterne Hotel und es ist auch nicht besonders sauber. Die Zimmer werden auch nicht gründlich gereinigt. Die Betten sind sehr unbeqüm und die Handtücher werden nicht gewechselt. Das Essen ist nicht besonders gut und auch nicht gerade lecker. Die Klimaanlage funktioniert nicht. Das Bett ist nicht besonders groß und die Matratzen sind auch nicht besonders beqüm. Die Zimmer sind sehr hellhörig und es gibt nur einen	1.152767480946919	['Preis', 'Klimaanlage', 'Haustier']	3	2
8	[negative]	[negative] Wir waren in diesem Hotel. Nie wieder! Ich kann das Hotel nicht empfehlen, es ist einfach nur schlecht. Ich kann nicht beurteilen, was das Restaurant so gut macht. Das Essen ist sehr schlecht. Es gibt jeden Tag das selbe. Kinder sind hier sehr unerwünscht. Das Handtuch wird nicht täglich gewechselt. Die Animation hat uns nur die Show angeschaut, was nicht so wirklich lustig war. Wir sind jeden Tag zum Strand. Das Hotel ist nicht mehr Sterne wert, das kann man sich nicht gefallen lassen. Wenn man sich nicht so wohl fühlt	 Wir waren in diesem Hotel. Nie wieder! Ich kann das Hotel nicht empfehlen, es ist einfach nur schlecht. Ich kann nicht beurteilen, was das Restaurant so gut macht. Das Essen ist sehr schlecht. Es gibt jeden Tag das selbe. Kinder sind hier sehr unerwünscht. Das Handtuch wird nicht täglich gewechselt. Die Animation hat uns nur die Show angeschaut, was nicht so wirklich lustig war. Wir sind jeden Tag zum Strand. Das Hotel ist nicht mehr Sterne wert, das kann man sich nicht gefallen lassen. Wenn man sich nicht so wohl fühlt	1.0777514201396505	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Nie wieder! Das Hotel ist eine Katastrophe. Wir haben uns den ganzen Tag über von der Poolbar mit einer Terasse und einer kleinen Terasse beschimpft. Die Zimmer waren in einem schlechten Zustand. Die Einrichtung war sehr alt und die Möbel waren auch nicht sauber. Das Hotel hat keine Sterne verdient, da die Hotelanlage sehr groß ist. Die Zimmer waren sehr alt und die Einrichtung war auch nicht sauber. Die Hotelpool Bar war eine Katastrophe. Wir hatten eine Pool Bar. Die Pool Bar war eine	 Wir waren in diesem Hotel. Nie wieder! Das Hotel ist eine Katastrophe. Wir haben uns den ganzen Tag über von der Poolbar mit einer Terasse und einer kleinen Terasse beschimpft. Die Zimmer waren in einem schlechten Zustand. Die Einrichtung war sehr alt und die Möbel waren auch nicht sauber. Das Hotel hat keine Sterne verdient, da die Hotelanlage sehr groß ist. Die Zimmer waren sehr alt und die Einrichtung war auch nicht sauber. Die Hotelpool Bar war eine Katastrophe. Wir hatten eine Pool Bar. Die Pool Bar war eine	1.0628864976606933	['Badewanne', 'Rechnung', 'Spa']	3	3
