	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	[negative] Wir waren in diesem Hotel. Atmosphäre war sehr schlecht. Hilfe bei Beschwerden gab es nicht. Fitnessraum war sehr klein. Die Animation war schlecht. Die Animation war sehr schlecht. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung	 Wir waren in diesem Hotel. Atmosphäre war sehr schlecht. Hilfe bei Beschwerden gab es nicht. Fitnessraum war sehr klein. Die Animation war schlecht. Die Animation war sehr schlecht. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung. Die Kinderdisco war eine Zumutung	1.0649504204094122	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	[negative] Wir waren in diesem Hotel. Zimmer sehr klein und dreckig. Badezimmer war sehr klein und dreckig. Fitness Empfang war schlecht. Das Personal war unfreundlich. Die Animation war schlecht. Die Animation war sehr schlecht. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdis	 Wir waren in diesem Hotel. Zimmer sehr klein und dreckig. Badezimmer war sehr klein und dreckig. Fitness Empfang war schlecht. Das Personal war unfreundlich. Die Animation war schlecht. Die Animation war sehr schlecht. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdisco war eine Frechheit. Die Kinderdis	1.1414179833648748	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	[positive] Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer wurden täglich gereinigt und die Handtücher gewechselt. Die Zimmer wurden täglich gewechselt. Die Handtücher wurden täglich gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Handtücher wurden täglich gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer wurden täglich gereinigt und die Handtücher gewechselt. Die Zimmer wurden täglich gewechselt. Die Handtücher wurden täglich gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Handtücher wurden täglich gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich gereinigt und die Bettwäsche gewechselt. Die Zimmer wurden täglich	1.0657338911152143	['Lage', 'Kosmetikartikel', 'Freizeit']	3	3
3	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war eine Katastrophe. Die Atmosphäre war sehr schlecht. Die Sauberkeit war auch nicht gut. Die Sauberkeit der Zimmer war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit	 Wir waren in diesem Hotel. Das Essen war eine Katastrophe. Die Atmosphäre war sehr schlecht. Die Sauberkeit war auch nicht gut. Die Sauberkeit der Zimmer war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit der gesamten Anlage war auch nicht gut. Die Sauberkeit	1.062998472017607	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	2
4	[negative]	[negative] Wir waren in diesem Hotel. Sauberkeit und Hygieneeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruck	 Wir waren in diesem Hotel. Sauberkeit und Hygieneeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruckeindruck	2.316262126135868	['Sauberkeit', 'Badewanne', 'Eindruck']	3	2
5	[negative]	[negative] Wir waren in diesem Hotel. Personal war sehr unfreundlich. Atmosphäre im Hotel war sehr schlecht. Handtuchwechsel war nicht möglich. Die Zimmer waren sehr klein. Die Betten waren sehr unbeqüm. Die Handtücher wurden nicht gewechselt. Die Bettwäsche wurde nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Bettwäsche wurde nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die	 Wir waren in diesem Hotel. Personal war sehr unfreundlich. Atmosphäre im Hotel war sehr schlecht. Handtuchwechsel war nicht möglich. Die Zimmer waren sehr klein. Die Betten waren sehr unbeqüm. Die Handtücher wurden nicht gewechselt. Die Bettwäsche wurde nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Bettwäsche wurde nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die Handtücher wurden nicht gewechselt. Die	1.2255903188869794	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Zimmer sehr klein. Sauberkeit war sehr schlecht. Zimmer waren sehr schmutzig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmer	 Wir waren in diesem Hotel. Zimmer sehr klein. Sauberkeit war sehr schlecht. Zimmer waren sehr schmutzig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmermädchen haben sich nicht um die Gäste gekümmert. Zimmer waren sehr hellhörig. Zimmer	1.0675997706212803	['Schwimmbad', 'Personal', 'Zimmerservice']	3	3
7	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war sehr schlecht. Das Frühstück war eine Zumutung. Es gab nur eine Sorte Wurst und eine Sorte Käse. Das Abendessen war eine Zumutung. Es gab nur eine Sorte Fleisch und eine Sorte Gemüse. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Das Frühstück war eine Zumutung. Es gab nur eine Sorte Wurst und eine Sorte Käse. Das Abendessen war eine Zumutung. Es gab nur eine Sorte Fleisch und eine Sorte Gemüse. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war nicht gewürzt und nicht gewürzt. Das Essen war	1.065601764170724	['Preis', 'Klimaanlage', 'Haustier']	3	3
8	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war einfach nur schlecht. Das Essen war kalt und nicht wirklich frisch. Das Restaurant war nicht sauber und das Essen war nicht wirklich sauber. Das Kind Handtuch wurde nicht gewechselt. Das Personal war sehr unfreundlich. Das Essen war nicht wirklich gut. Es gab nur eine Sorte Fleisch und das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das	 Wir waren in diesem Hotel. Das Essen war einfach nur schlecht. Das Essen war kalt und nicht wirklich frisch. Das Restaurant war nicht sauber und das Essen war nicht wirklich sauber. Das Kind Handtuch wurde nicht gewechselt. Das Personal war sehr unfreundlich. Das Essen war nicht wirklich gut. Es gab nur eine Sorte Fleisch und das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das Fleisch war nicht richtig gebraten. Das	1.0751303854224692	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer das gleiche. Die Hotelküche war sehr schlecht. Es gab immer	1.05913995158487	['Badewanne', 'Rechnung', 'Spa']	3	3
