	sentiment	text	org_text	perplexity	sent_predicted_label	sent_predicted_score	sentiment_conv	sent_predicted_label_conv	text_del_stop_words
0	[negative]	 Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und zuvorkommend. Die Rezeption war zwar freundlich, aber man hatte das Gefühl, dass man nicht ernst genommen wurde. Die Zimmerreinigung war mangelhaft. Der Zimmerservice war sehr gut. Das Personal an der Rezeption war freundlich und hilfsbereit. Die Kinderbetreuung war mangelhaft. Wir haben uns auf die Abendanimation beschränkt. Die Abendanimation war sehr gut und die Kinder haben sich sehr viel Mühe gegeben. Das Personal an der Rezeption war sehr freundlich und hilfsbereit. Die Kinderbetreuung war mangelhaft. Wir haben die Kinderbetreuung nicht	Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und sehr bemüht. Der Service an der Rezeption hat uns sehr geärgert. Wir kamen dreimal mit dem gleichen Anliegen und jeder wollte es weitergeben, nur keiner wusste Bescheid und nichts ist passiert. Für eine Umbuchung von einem Zimmer wollten sie dann noch 30 € haben, obwohl wir vorher eine Mail mit unseren Wünschen geschrieben hatten. Im großen und Ganzen war dieser Bereich also sehr! unfreundlich.	1.0578141871813065	POSITIVE	3.297534704208374	0	1	Zimmermädchen Bedienungen Restaurant nett zuvorkommend . Rezeption freundlich , Gefühl , ernst genommen wurde . Zimmerreinigung mangelhaft . Zimmerservice gut . Personal Rezeption freundlich hilfsbereit . Kinderbetreuung mangelhaft . Abendanimation beschränkt . Abendanimation gut Kinder Mühe gegeben . Personal Rezeption freundlich hilfsbereit . Kinderbetreuung mangelhaft . Kinderbetreuung
1	[negative]	 Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic und Wasserball nicht teilgenommen.Abends gibt es im Amphitheater ein Showprogramm. Das ist aber auch schon alles. Die Abendunterhaltung war auch nicht so der Hit. Der Sänger war wirklich sehr schön und auch die Musik war gut.Der Pool war recht groß und die Liegen waren auch in Ordnung. Das Wasser war auch sauber. Allerdings hat man bei uns den ganzen Tag über das Problem, dass die Liegen immer besetzt waren. Es war zwar eine kleine Bar am Pool, aber wir haben das auch	Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic mit lautstarker Musik nichts mitbekommen, hatten aber auch mehrere Ausflüge gebucht, sodas dafür nicht viel Zeit gewesen wäre. Billardtische, die ab 16.00Uhr kostenlos genutzt werden konnten waren meist belegt! Logisch sonst war im Hotel an Animation und Unterhaltung nicht viel los. Abends war die Animation sehr laut und nur für Idioten gedacht manche machten sich regelmäßig zum Affen aber bitte wer´s mag.	1.255906814282965	POSITIVE	3.1514899730682373	0	1	Sportangebot außer immer 13.00Uhr Pool Ärobic Wasserball teilgenommen.Abends gibt Amphitheater Showprogramm . schon . Abendunterhaltung Hit . Sänger wirklich schön Musik gut.Der Pool recht groß Liegen Ordnung . Wasser sauber . Allerdings ganzen Tag Problem , Liegen immer besetzt . kleine Bar Pool ,
2	[negative]	 Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen auch nur englisch.Die Zimmerreinigung war ok. Das Zimmer wurde jeden Tag gereinigt. Das Bad war in Ordnung. Die Handtücher wurden jeden Tag gewechselt. Der Zimmerservice war auch gut. Das Zimmer wurde jeden Tag gereinigt. Es wurde jeden Tag sauber gemacht. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt. Die Zimmer wurden jeden Tag gereinigt.	Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen einen nicht. Das Putzpersonal kam jeden morgen so ca um Uhr ins Zimmer öffnete die Tür und schloss sie wieder wenn sie einen schlafen sah, trotzdem wurde man natürlich wach und konnte schwer wieder einschlafen, da manche erst von ihrer Partynacht nach hause kamen und auf den Fluren brüllten. -.-	1.1133350718759771	POSITIVE	3.858542680740357	0	1	eigtl wenig Deutsch gesprochen . viele verstehen englisch.Die Zimmerreinigung ok. Zimmer wurde Tag gereinigt . Bad Ordnung . Handtücher wurden Tag gewechselt . Zimmerservice gut . Zimmer wurde Tag gereinigt . wurde Tag sauber gemacht . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt . Zimmer wurden Tag gereinigt .
3	[positive]	 Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, weitläufige Anlage, sehr freundliches Personal, super Lage, schöne Zimmer, tolle Anlage, gutes Essen, toller Strand, toller Service, einfach alles perfekt. Wir kommen wieder! Danke für den schönen Urlaub! Wir kommen auf jeden Fall wieder. Das Personal ist super freundlich und hilfsbereit. Es ist ein toller Urlaub. Wir kommen wieder! Auch das Wetter war super. Wir kommen auf jeden Fall wieder! Wir kommen auf jeden Fall wieder! Danke für den schönen Urlaub! Auch das Wetter war super. Wir kommen auf	Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, traumhafte Anlagen, sehr sauber, die Zimmer wurden 2x täglich gereinigt, habe ich in noch keinem Hotel erlebt! Sehr viele Russen, manche konnten sich nicht benehmen, aber das ist ja nur zu gut bekannt... Besonders gefallen haben mir die Poolanlagen, einfach traumhaft! Also ich kann dieses Hotel nur weiter empfehlen und werde auch nächstes Jahr dort wieder zu Gast sein.	1.1061084721982315	POSITIVE	3.8973236083984375	1	1	Wunderschöner Urlaub , kommen freundlich eingerichtetes Hotel , wunderschöne , weitläufige Anlage , freundliches Personal , super Lage , schöne Zimmer , tolle Anlage , gutes Essen , toller Strand , toller Service , einfach perfekt . kommen ! Danke schönen Urlaub ! kommen Fall . Personal super freundlich hilfsbereit . toller Urlaub . kommen ! Wetter super . kommen Fall ! kommen Fall ! Danke schönen Urlaub ! Wetter super . kommen
4	[positive]	 Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht genutzt. Der Pool war sauber und wurde täglich gereinigt. Der Strand war sauber und gepflegt. Die Liegen waren ausreichend vorhanden und auch die Auflagen waren ausreichend. Es gab ein Hallenbad, eine Sauna und ein kleines Fitnesscenter. Duschen waren auch vorhanden. Am Strand konnte man Tretboote mieten und die Quadtour machen. Die Pools waren sauber und die Wasserqualität war gut. Liegen und Schirme waren ausreichend vorhanden. Es gab auch einen Kinderpool. Am Strand gab es einen kostenlosen Shuttlebus, der alle	Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht bekommen. Der Indoorpool war nur für Spa-Kunden zugänglich. Dafür aber drei Außenpools für alle. Die abendlichen Veranstaltungen in der Bar waren teilweise etwas laut und somit im Zimmer trotz geschlossener Türen zu hören.	1.2199314430591786	POSITIVE	3.833949089050293	1	1	Animationen tagsüber gesucht Glück genutzt . Pool sauber wurde täglich gereinigt . Strand sauber gepflegt . Liegen ausreichend vorhanden Auflagen ausreichend . gab Hallenbad , Sauna kleines Fitnesscenter . Duschen vorhanden . Strand konnte Tretboote mieten Quadtour . Pools sauber Wasserqualität gut . Liegen Schirme ausreichend vorhanden . gab Kinderpool . Strand gab kostenlosen Shuttlebus ,
5	[positive]	 Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr geräumig und sauber. Wir hatten ein Familienzimmer mit Verbindungstür, das wir aber nicht genutzt haben. Das Essen war gut und abwechslungsreich. Die Animation war auch sehr nett und unaufdringlich. Wir würden das Hotel wieder buchen. Besonders hervorzuheben ist die Sauberkeit und die Freundlichkeit des Personals. Wir haben uns sehr wohl gefühlt und kommen bestimmt wieder. Die Poolanlage ist sehr schön und gepflegt. Die Animation war auch sehr nett und	Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns volle Wochen lang rundum wohl gefühlt. Beeindruckend war die große, nie aufdringliche Freundlichkeit und professionelle Hilfsbereitschaft des Personals. Auch die Sauberkeit des Zimmers und die regionale Vielfalt des Frühstücks-Büffets ließen keine Wünsche offen. Das Haus ist seinen Preis auf jeden Fall wert.	1.1086816446204586	POSITIVE	3.8672194480896	1	1	Familiär freundlich familiär geführten Hotel wohl gefühlt . Personal freundlich hilfsbereit . Zimmer geräumig sauber . Familienzimmer Verbindungstür , genutzt . Essen gut abwechslungsreich . Animation nett unaufdringlich . Hotel buchen . Besonders hervorzuheben Sauberkeit Freundlichkeit Personals . wohl gefühlt kommen bestimmt . Poolanlage schön gepflegt . Animation nett
6	[positive]	 Zimmer war schön groß und auch sehr sauber. Die Badewanne war mit Duschvorhang. Das Bad war sauber und die Dusche hat auch gut funktioniert. Handtücher wurden jeden Tag gewechselt. Die Betten waren gut und groß. Die Betten waren auch beqüm. Das Zimmer war auch sehr sauber und die Betten wurden jeden Tag gemacht. Das Badezimmer war auch sauber und die Dusche hat auch gut funktioniert. Die Betten waren auch beqüm. Die Handtücher wurden jeden Tag gewechselt. Die Klimaanlage war auch gut und es gab einen Safe. Der Fernseher war auch gut und die Fernbedienung konnte	Zimmer war schön groß und auch sehr sauber. Die Badewanne war zwar bisl veraltet aber trotzdem alles sehr sauber	1.044581252679604	POSITIVE	3.840158700942993	1	1	Zimmer schön groß sauber . Badewanne Duschvorhang . Bad sauber Dusche gut funktioniert . Handtücher wurden Tag gewechselt . Betten gut groß . Betten beqüm . Zimmer sauber Betten wurden Tag gemacht . Badezimmer sauber Dusche gut funktioniert . Betten beqüm . Handtücher wurden Tag gewechselt . Klimaanlage gut gab Safe . Fernseher gut Fernbedienung konnte
7	[negative]	 Leider nicht mehr das was es mal war Das Hotel ist schon älter, was man am Strand deutlich sieht. Die Zimmer sind klein und einfach eingerichtet. Es gibt keine Klimaanlage, keine Minibar, kein Telefon, kein TV. Das Hotel hat einen Pool, den wir aber nie genutzt haben. Es gibt nur einen kleinen Pool und einen Kinderpool. Die Sauberkeit ist ok. Die Hotelanlage ist sehr weitläufig und weitläufig. Man kann sich hier aber nicht wirklich verlaufen. Die Gästestruktur war bunt gemischt. Es waren viele Familien mit Kindern da. Es waren	Leider nicht mehr das was es mal war Das Hotel ist leider sehr in die Jahre gekommen, schade, dass hier nicht für die Aufrechterhaltung Geld investiert wird. Schade ist auch dass der Strand des Hotels ziehmlich verbaut wurde, hier ist die Schwimmweite und Breite gemeint.	1.0875983753495595	POSITIVE	2.855266809463501	0	1	Leider mehr mal Hotel schon älter , Strand deutlich sieht . Zimmer klein einfach eingerichtet . gibt Klimaanlage , Minibar , Telefon , TV . Hotel Pool , nie genutzt . gibt kleinen Pool Kinderpool . Sauberkeit ok . Hotelanlage weitläufig weitläufig . wirklich verlaufen . Gästestruktur bunt gemischt . viele Familien Kindern .
8	[positive]	 Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt sehr zentral, was für Familien mit Kindern ideal ist. Das Essen ist sehr gut und abwechslungsreich. Die Animation ist gut. Der Strand ist nicht weit entfernt, der Service ist sehr gut. Die Anlage ist sauber und gepflegt. Das Personal ist sehr freundlich und hilfsbereit. Der Pool ist sehr schön und die Poolbar ist auch sehr schön. Das Hotel ist sehr familienfreundlich. Wir würden das Hotel jederzeit wieder buchen. Das Preis-Leistungsverhältnis ist für dieses Hotel absolut angemessen. Für uns ist es das beste Hotel in	Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt nahe der Fußgängerzone und nahe zum Strand. Der Service war gut und freundlich, die Gastronomie sehr abwechslungsreich und gut. Poollandschaft ist sehr großzügig und es standen genügend Liegen zur Auswahl, Animation ist vorhanden, aber nie aufdringlich, abends wird immer ein Programm geboten. Wer dieses Hotel bucht sollte für ein normal großes Zimmer unbedingt mit Poolblick buchen, da die anderen Zimmer zur Seitenstraße gelegen sind und die Aussicht nicht gut ist. Wer ein größeres Zimmer möchte muss eine Suite buchen.Uns hat es hier sehr gut gefallen und wir können das Hotel nur empfehlen.	1.077957414116613	POSITIVE	3.91072416305542	1	1	Gutes Hotel guter Lage Toller Badeurlaub . Hotel liegt zentral , Familien Kindern ideal . Essen gut abwechslungsreich . Animation gut . Strand weit entfernt , Service gut . Anlage sauber gepflegt . Personal freundlich hilfsbereit . Pool schön Poolbar schön . Hotel familienfreundlich . Hotel jederzeit buchen . Preis-Leistungsverhältnis Hotel absolut angemessen . beste Hotel
9	[positive]	 Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr noch viele Urlauber davon überzeugen, dass dieses Hotel sehr empfehlenswert ist.<br/><br/>Preis-/Leistungsverhältnis:<br/>Wer einen ruhigen Urlaub sucht, ist hier falsch. Ich bin wirklich sehr enttäuscht, aber ich habe nicht einen Urlaub erlebt, wo ich den Preis-Leistungs-Verhältnisses widersprechen würde. Es war nicht mein letzter Urlaub in Ägypten. Und ich habe keine hohen Erwartungen an das Hotel. Ich kann nur sagen, dass ich mit dem Preis-Leistungs-Verhältnis absolut zufrieden war.<	Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr wieder kommen...<br/><br/>Kinderfreundlichkeit:<br/>Die Familie ist um jeden Gast, ob groß oder klein, sehr bemüht.	1.114551533039854	POSITIVE	3.5430948734283447	1	1	Hotelbewertung 433307 Zufriedenheit allgemein : < br/ > hoffe , Jahr viele Urlauber davon überzeugen , Hotel empfehlenswert ist. < br/ > < br/ > Preis-/Leistungsverhältnis : < br/ > Wer ruhigen Urlaub sucht , falsch . wirklich enttäuscht , Urlaub erlebt , Preis-Leistungs-Verhältnisses widersprechen . letzter Urlaub Ägypten . hohen Erwartungen Hotel . sagen , Preis-Leistungs-Verhältnis absolut zufrieden war. <
