	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	"[negative] Wir waren in diesem Hotel. Hilfe und Atmosphäre war sehr gut und es war sehr ruhig in diesem Fitnessraum. Die Lage war sehr gut. Wir wurden sehr sehr freundlich empfangen und auch sehr schnell...”
“Das Hotel liegt direkt am Wasser mit Blick aufs Wasser, ist modern ausgestattet und hat alles was man für einen guten Aufenthalt benötigt. Auch sehr sauber und gepflegt. Die Lage ist sehr gut und sehr gut, wenn man in die Innenstadt möchte.”
“Dieses Hotel liegt in einem Park mit direktem Blick auf den Hafen. Die Zimmer und"	" Wir waren in diesem Hotel. Hilfe und Atmosphäre war sehr gut und es war sehr ruhig in diesem Fitnessraum. Die Lage war sehr gut. Wir wurden sehr sehr freundlich empfangen und auch sehr schnell...”
“Das Hotel liegt direkt am Wasser mit Blick aufs Wasser, ist modern ausgestattet und hat alles was man für einen guten Aufenthalt benötigt. Auch sehr sauber und gepflegt. Die Lage ist sehr gut und sehr gut, wenn man in die Innenstadt möchte.”
“Dieses Hotel liegt in einem Park mit direktem Blick auf den Hafen. Die Zimmer und"	1.0887961827299781	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	"[negative] Wir waren in diesem Hotel. Der Empfang war freundlich und die Zimmer geräumig. Badezimmer war gut ausgestattet. Fitnessraum und Sauna. Das Hotel liegt in der Nähe des Flughafens und des Flughafens und die Parkplätze sind auch gut. Die Zimmer sind sehr komfortabel, sauber und gut eingerichtet. Das Frühstück ist gut, aber das Personal ist sehr freundlich. Die Umgebung ist ein wenig weit weg. Die Lage ist sehr zentral. Alles in allem ein toller und freundlicher Ort...für Geschäftsreisende.Mehr
Das Hotel, wie beschrieben, sehr sauber. Der Empfang"	" Wir waren in diesem Hotel. Der Empfang war freundlich und die Zimmer geräumig. Badezimmer war gut ausgestattet. Fitnessraum und Sauna. Das Hotel liegt in der Nähe des Flughafens und des Flughafens und die Parkplätze sind auch gut. Die Zimmer sind sehr komfortabel, sauber und gut eingerichtet. Das Frühstück ist gut, aber das Personal ist sehr freundlich. Die Umgebung ist ein wenig weit weg. Die Lage ist sehr zentral. Alles in allem ein toller und freundlicher Ort...für Geschäftsreisende.Mehr
Das Hotel, wie beschrieben, sehr sauber. Der Empfang"	1.0854472317221453	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	"[positive] Wir waren in diesem Hotel. Der Service war sehr gut und die Zimmer waren sauber. Die Lage ist gut in der Nähe der U-Bahn und der Einkaufsviertel. Die Metrostation ist nur einen kurzen Spaziergang entfernt, die Innenstadt ist nur wenige Minuten entfernt. Die Kinder sind glücklich und haben eine gute Zeit. Die Betten waren komfortabel und gut. Die Bettwäsche und Handtücher waren sehr gut. Die Küche war sehr gut und das Personal war sehr freundlich. Wir würden auf jeden Fall wieder hier übernachten.Mehr
Wir haben unseren Aufenthalt hier sehr genossen"	" Wir waren in diesem Hotel. Der Service war sehr gut und die Zimmer waren sauber. Die Lage ist gut in der Nähe der U-Bahn und der Einkaufsviertel. Die Metrostation ist nur einen kurzen Spaziergang entfernt, die Innenstadt ist nur wenige Minuten entfernt. Die Kinder sind glücklich und haben eine gute Zeit. Die Betten waren komfortabel und gut. Die Bettwäsche und Handtücher waren sehr gut. Die Küche war sehr gut und das Personal war sehr freundlich. Wir würden auf jeden Fall wieder hier übernachten.Mehr
Wir haben unseren Aufenthalt hier sehr genossen"	1.0671768241750568	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	"[negative] Wir waren in diesem Hotel. Die Lage ist perfekt. Erreichbarkeit Atmosphäre sehr gut.
Das Hotel hat einen schönen Pool und ein gutes Essen. Die Zimmer, sind sauber und gepflegt. Das Personal war nett und hilfsbereit. Die Lage ist sehr gut und in der Nähe von Strand, Einkaufsmöglichkeiten, Restaurants und Bars. Es ist ein sehr schöner Ort um Ruhe zu nehmen. Alles hat gepasst.
Das Hotel liegt auf einer Halbinsel mit vielen schönen Orten umgeben von Pinien und Kiefern. Es hat eine perfekte Lage in Strand, Restaurants, Geschäften, Restaurants"	" Wir waren in diesem Hotel. Die Lage ist perfekt. Erreichbarkeit Atmosphäre sehr gut.
Das Hotel hat einen schönen Pool und ein gutes Essen. Die Zimmer, sind sauber und gepflegt. Das Personal war nett und hilfsbereit. Die Lage ist sehr gut und in der Nähe von Strand, Einkaufsmöglichkeiten, Restaurants und Bars. Es ist ein sehr schöner Ort um Ruhe zu nehmen. Alles hat gepasst.
Das Hotel liegt auf einer Halbinsel mit vielen schönen Orten umgeben von Pinien und Kiefern. Es hat eine perfekte Lage in Strand, Restaurants, Geschäften, Restaurants"	1.106904754908199	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	"[negative] Wir waren in diesem Hotel. Sauberkeit und Zimmer waren gut und sauber. Dusche Badewanne war etwas kalt Eindruck von Hotel aber sehr sauber. Die Lage und Ausblick von Hotel war sehr schön und sehr einfach. Das Personal war sehr freundlich und freundlich. Wir würden dieses Hotel jedem weiter empfehlen.
Das Hotel liegt direkt an einer Autobahnauffahrt, was auch den Verkehr gut ankurbelt. Die Zimmer sind schön geräumig und sauber, das Personal war sehr nett und hilfsbereit. Die Lage und das Meer ist sehr schön und man kann sich wunderbar zu zweit"	" Wir waren in diesem Hotel. Sauberkeit und Zimmer waren gut und sauber. Dusche Badewanne war etwas kalt Eindruck von Hotel aber sehr sauber. Die Lage und Ausblick von Hotel war sehr schön und sehr einfach. Das Personal war sehr freundlich und freundlich. Wir würden dieses Hotel jedem weiter empfehlen.
Das Hotel liegt direkt an einer Autobahnauffahrt, was auch den Verkehr gut ankurbelt. Die Zimmer sind schön geräumig und sauber, das Personal war sehr nett und hilfsbereit. Die Lage und das Meer ist sehr schön und man kann sich wunderbar zu zweit"	1.1305586986816696	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	"[negative] Wir waren in diesem Hotel. Sie haben Personal, das Atmosphäre Handtuch und alles, was Sie auf dem Hin- und Rückflug bekommen könnten..Mehr
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Holiday Inn & Suites Hilton Garden City.
DIE 10 BESTEN Ferienwohnung & Ferienhaus Aldiana 2014 (mit Fotos) auf TripAdvisor - Ferienwohnungen und Ferienhäuser in Aldiana, Italien
Lassen Sie nicht zu, dass sich andere Reisende Ihre Lieblingsferienwohnung in der Region Aldiana sichern.Ihr perfekter Urlaub ist"	" Wir waren in diesem Hotel. Sie haben Personal, das Atmosphäre Handtuch und alles, was Sie auf dem Hin- und Rückflug bekommen könnten..Mehr
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Holiday Inn & Suites Hilton Garden City.
DIE 10 BESTEN Ferienwohnung & Ferienhaus Aldiana 2014 (mit Fotos) auf TripAdvisor - Ferienwohnungen und Ferienhäuser in Aldiana, Italien
Lassen Sie nicht zu, dass sich andere Reisende Ihre Lieblingsferienwohnung in der Region Aldiana sichern.Ihr perfekter Urlaub ist"	1.1790322928468573	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	"[negative] Wir waren in diesem Hotel. Zimmer mit Balkon, Frühstück war ausgezeichnet. Personal war sehr nett und hilfsbereit. Zimmer war sauber und zweckmäßig und das Frühstück war sehr gut. Frühstück war ausreichend groß!
Das Hotel liegt direkt am Strand von Playa del Carmen. Der Strand ist gut und die Zimmer sind sauber. Wir hatten Zimmer mit Meerblick für unseren Aufenthalt und das Restaurant ist sehr gut gelegen. Wir würden das Hotel jederzeit wieder buchen. Frühstück war gut und ausreichend groß. Frühstück war ausreichend groß. Frühstück war ausreichend groß!
Frühstück ist sehr"	" Wir waren in diesem Hotel. Zimmer mit Balkon, Frühstück war ausgezeichnet. Personal war sehr nett und hilfsbereit. Zimmer war sauber und zweckmäßig und das Frühstück war sehr gut. Frühstück war ausreichend groß!
Das Hotel liegt direkt am Strand von Playa del Carmen. Der Strand ist gut und die Zimmer sind sauber. Wir hatten Zimmer mit Meerblick für unseren Aufenthalt und das Restaurant ist sehr gut gelegen. Wir würden das Hotel jederzeit wieder buchen. Frühstück war gut und ausreichend groß. Frühstück war ausreichend groß. Frühstück war ausreichend groß!
Frühstück ist sehr"	1.0741139928366141	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	"[negative] Wir waren in diesem Hotel. Preis Klimaanlage Haustier erlaubt, Fernseher, Kühlschrank, Klimaanlage.
Das Hotel liegt in einer ruhigen Nebenstrasse, nur 2 Min. vom Strand entfernt. Einkaufsmöglichkeiten in der Nähe. Gute Lage, sehr nah zu allen Geschäften.
Dieses kleine Hotel liegt am Ende des Strandes, in der Nähe von den Geschäften, Bars, Restaurants etc., und ist in der Nähe der Altstadt, der Einkaufsstraße.
Diese moderne, geräumige Villa bietet Platz für vier Personen und verfügt über zwei separate Schlafzimmer mit Doppelverglasung."	" Wir waren in diesem Hotel. Preis Klimaanlage Haustier erlaubt, Fernseher, Kühlschrank, Klimaanlage.
Das Hotel liegt in einer ruhigen Nebenstrasse, nur 2 Min. vom Strand entfernt. Einkaufsmöglichkeiten in der Nähe. Gute Lage, sehr nah zu allen Geschäften.
Dieses kleine Hotel liegt am Ende des Strandes, in der Nähe von den Geschäften, Bars, Restaurants etc., und ist in der Nähe der Altstadt, der Einkaufsstraße.
Diese moderne, geräumige Villa bietet Platz für vier Personen und verfügt über zwei separate Schlafzimmer mit Doppelverglasung."	1.1237995942723102	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	[negative] Wir waren in diesem Hotel. Mein Zimmer war nicht sehr groß und hatte ein Restaurant mit Kind und Handtuch und Balkon, in dem Sie ein Bad haben konnten. Das Bad war sauber...und sehr angenehm. Es war nicht so laut wie erwartet. Ich war in der Nacht von Sonntag bis Montag im Hotel. Das Zimmer war nicht so sauber, was uns sehr gestört hat. Mein Mann und ich waren in einem Zimmer. Das Bad war nicht so sauber und es gibt kein Licht im Zimmer. Das Bad war sehr klein. Mein Zimmer war nicht	 Wir waren in diesem Hotel. Mein Zimmer war nicht sehr groß und hatte ein Restaurant mit Kind und Handtuch und Balkon, in dem Sie ein Bad haben konnten. Das Bad war sauber...und sehr angenehm. Es war nicht so laut wie erwartet. Ich war in der Nacht von Sonntag bis Montag im Hotel. Das Zimmer war nicht so sauber, was uns sehr gestört hat. Mein Mann und ich waren in einem Zimmer. Das Bad war nicht so sauber und es gibt kein Licht im Zimmer. Das Bad war sehr klein. Mein Zimmer war nicht	1.0692192397107283	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	"[negative] Wir waren in diesem Hotel. Das Zimmer war sehr sauber und das Badezimmer war ebenfalls sauber. Das Personal war freundlich und hilfsbereit.
Das Hotel liegt sehr zentral. Es ist sehr ruhig und trotzdem sehr gut gelegen. Die Zimmer sind sehr sauber und die Betten sehr bequem. Die Badezimmer sind sehr sauber und das Personal sehr freundlich. Spa und Wellnessbereich sind auch sehr gut. Die Badewanne ist sehr gut und die Rechnung ist gut.
Das Hotel ist sehr zentral. Es ist sehr ruhig und trotzdem sehr gut gelegen. Die Zimmer sind sehr sauber und"	" Wir waren in diesem Hotel. Das Zimmer war sehr sauber und das Badezimmer war ebenfalls sauber. Das Personal war freundlich und hilfsbereit.
Das Hotel liegt sehr zentral. Es ist sehr ruhig und trotzdem sehr gut gelegen. Die Zimmer sind sehr sauber und die Betten sehr bequem. Die Badezimmer sind sehr sauber und das Personal sehr freundlich. Spa und Wellnessbereich sind auch sehr gut. Die Badewanne ist sehr gut und die Rechnung ist gut.
Das Hotel ist sehr zentral. Es ist sehr ruhig und trotzdem sehr gut gelegen. Die Zimmer sind sehr sauber und"	1.0783939774263558	['Badewanne', 'Rechnung', 'Spa']	3	0
