	sentiment	text	perplexity
9	positive	" Wir waren in diesem Hotel. Das Zimmer war sauber und sehr komfortabel. Die Lage war ideal. Das Hotel ist nur wenige Gehminuten vom Strand entfernt. Das Personal war sehr freundlich und hilfsbereit. Wir würden wieder hier übernachten.
Sehr geehrter Herr Blümel, Vielen Dank für Ihre Bewertung. Es freut uns sehr, dass Sie sich für den Aufenthalt bei uns im Haus entschieden haben. Wir hoffen, Sie bald wieder bei uns begrüßen zu dürfen. Mit freundlichen Grüßen Ihr Hotelmanager Familie Roth und Ihr Team
Sehr geehrter Herr Blümel,"	1.0486101674530972
4	positive	 Wir waren in diesem Hotel. Der Pool war schön und sauber. Die Angestellten waren sehr freundlich und hilfsbereit. Das Frühstück war gut. Die Lage ist gut. Der Strand ist sehr schön. Die Zimmer sind sauber und das Hotel ist sehr schön. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück war gut. Die Zimmer sind sauber und das Hotel ist sehr schön. Die Lage ist gut. Die Angestellten sind sehr freundlich und hilfsbereit. Das Frühstück war gut. Die Zimmer sind sauber und das Hotel ist sehr schön. Die Lage ist gut.	1.05282646547585
3	positive	" Wir waren in diesem Hotel. Es ist wirklich schön, dass wir ein Zimmer bekommen haben. Das Zimmer war sauber und sehr gut ausgestattet. Es war ein...sehr gutes Frühstück. Die Zimmer waren komfortabel und sauber. Die Angestellten waren sehr freundlich und hilfsbereit. Das Frühstück war ausgezeichnet. Die Lage ist gut. Wir würden auf jeden Fall wieder hier übernachten.Mehr
Wir waren hier mit einem Freund für 2 Nächte. Es war ein perfekter Aufenthalt. Die Lage ist super. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer waren sehr sauber und"	1.0572266632774614
1	positive	" Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt. Die Zimmer sind groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Wir kommen gerne wieder.
Der von Ihnen gefundene Preis ist 14 % niedriger als der durchschnittliche Preis dieses Hotels von $ 86 pro Nacht.
Der von Ihnen gefundene Preis ist 11 % niedriger als der durchschnittliche Preis dieses Hotels von $ 98 pro Nacht.
Der von Ihnen gefundene Preis ist 12 % niedriger als der durchschnittliche Preis dieses Hotels von $ 82 pro Nacht.
Der von Ihnen gefundene Preis ist"	1.0624492422610758
5	positive	" Wir waren in diesem Hotel. Es ist eine großartige Erfahrung, den Aufenthalt hier zu verbringen. Die Zimmer sind sehr schön und sauber. Die Badezimmer sind sauber und sehr modern. Das Frühstück ist sehr reichhaltig und reichhaltig. Die Betten sind bequem. Wir hatten ein Zimmer mit Balkon und ein Zimmer mit Blick auf den Pool. Das Personal war sehr freundlich und zuvorkommend. Die Zimmer sind sehr sauber und das Personal war sehr freundlich. Die Lage ist gut, es gibt eine gute Metrostation. Es gibt einen kleinen Supermarkt in der Nähe.
"	1.0668807826690723
0	positive	" Wir waren in diesem Hotel. Es war schön, sauber und gut ausgestattet. Es war ein sehr angenehmer Aufenthalt.Mehr
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Hotel Villa Adriana La Marca.
Sind Sie bereit, eine bestimmte Strecke zurückzulegen? Wir haben tolle Ergebnisse außerhalb von Orecchio gefunden.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Noé-Savoie. Ergebnisse in benachbarten Städten werden angezeigt.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Bar"	1.0674772187545993
7	positive	" Wir waren in diesem Hotel. Sie haben uns eine gute Zeit gemacht. Wir hatten eine schöne Zeit. Sehr gutes Frühstück. Wir werden wiederkommen.
Das Hotel liegt sehr zentral. Die Zimmer sind groß und sauber. Die Lage ist perfekt. Das Frühstück ist gut. Das Personal ist sehr freundlich.
Die Lage ist perfekt. Die Zimmer sind groß und sauber. Die Lage ist perfekt. Das Frühstück ist gut. Das Personal ist sehr freundlich.
Das Hotel ist sauber und hat alles was man braucht. Die Zimmer sind groß und sauber"	1.0683097314329086
8	positive	" Wir waren in diesem Hotel. Alles war sehr sauber und gepflegt. Das Hotel ist gut gelegen. Man kann gut mit dem Auto fahren. Wir waren mit dem Auto unterwegs und hatten eine tolle Zeit.
Der von Ihnen gefundene Preis ist 23 % niedriger als der durchschnittliche Preis dieses Hotels von $ 199 pro Nacht.
Der von Ihnen gefundene Preis ist 15 % niedriger als der durchschnittliche Preis dieses Hotels von $ 145 pro Nacht.
Der von Ihnen gefundene Preis ist 12 % niedriger als der durchschnittliche Preis dieses Hotels von $ 122 pro Nacht.
"	1.0715378494045538
6	positive	" Wir waren in diesem Hotel. Das Hotel ist sehr sauber und hat eine tolle Lage. Der Strand ist direkt vor dem Hotel. Die Zimmer sind sehr groß und haben eine gute Aussicht auf den Strand. Die Rezeption ist sehr nett und hilfsbereit. Wir haben uns sehr wohl gefühlt.
Der von Ihnen gefundene Preis ist 16 % niedriger als der durchschnittliche Preis dieses Hotels von $ 291 pro Nacht.
Der von Ihnen gefundene Preis ist 12 % niedriger als der durchschnittliche Preis dieses Hotels von $ 239 pro Nacht.
Der von Ihnen gefundene Preis"	1.0773618168600234
2	positive	" Wir waren in diesem Hotel. Die Rezeption ist sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Wir haben dort eine Nacht verbracht.
Alle 23 Hotels in der Umgebung anzeigenAlle 297 Restaurants in der Umgebung anzeigenAlle 35 Sehenswürdigkeiten in der Umgebung anzeigen
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des San Francisco South Hotel.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Brooklyn. Ergebnisse in benachbarten Städten werden angezeigt.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Ellington. Ergebnisse in benachbarten"	1.1287532389022037
4	negative	" Wir waren in diesem Hotel. Die Zimmer waren sehr schön und sauber. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und abwechslungsreich. Das...”
“Sehr gutes Hotel, sehr gute Lage. Alles ist fußläufig erreichbar. Sehr freundliches Personal. Sehr gutes Frühstück. Wir kommen gerne wieder. Vielen Dank für Ihre Empfehlung!
Das Hotel liegt sehr zentral, sehr ruhig. Sehr freundliches Personal. Wir haben uns sehr wohl gefühlt.
Das Hotel ist sehr gut gelegen. Der Service war sehr gut. Die Zimmer sind sehr"	1.054021256751668
9	negative	" Wir waren in diesem Hotel. Es war wie ein Ort, an dem wir uns sofort wohlgefühlt haben. Der Empfang war sehr freundlich und zuvorkommend. Wir haben uns sehr wohl gefühlt und würden jederzeit wiederkommen.
Die Lage ist ideal, da man ca. 10 Minuten zu Fuß vom Zentrum entfernt ist. Der Pool ist ein Traum. Der Service war ausgezeichnet. Die Mitarbeiter waren sehr freundlich und hilfsbereit. Das Zimmer war sehr sauber und das Bett war auch sehr bequem.
Wir waren mit unserem 5 jährigen Sohn in diesem Hotel. Die"	1.0566835569823012
2	negative	 Wir waren in diesem Hotel. Die Zimmer sind sehr schön, mit einer schönen Aussicht. Das Frühstück ist gut und reichhaltig. Die Lage ist perfekt. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Personal ist sehr zuvorkommend. Die Lage ist gut. Die Zimmer sind sauber und geräumig. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist gut und reichhaltig. Die Zimmer sind sauber und geräumig. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist gut und reichhaltig. Die Lage ist gut. Die Mitarbeiter sind sehr freundlich und	1.0575746021862686
8	negative	" Wir waren in diesem Hotel. Ich habe in diesem Hotel auch nie Probleme gehabt.
Der Pool ist wunderschön und die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist perfekt.
Wir haben im Hotel für 2 Nächte für 2 Nächte ein Zimmer gebucht. Das Zimmer war sauber und die Betten bequem. Das Personal war sehr freundlich und hilfsbereit.
Die Lage ist perfekt. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr sauber und die Betten bequem. Die Lage ist perfekt.
Das Hotel ist"	1.0585222265670815
0	negative	" Wir waren in diesem Hotel. Und ich war beeindruckt von dem Service, den man von den meisten Hotels dieser Art kennt. Ich war beeindruckt von der Vielfalt an Aktivitäten, die in der Nähe des Hotels angeboten werden. Das Personal ist freundlich und hilfsbereit. Ich hatte einen guten Aufenthalt und würde wieder hier übernachten.Mehr
Das Hotel ist wirklich schön. Die Angestellten sind sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön. Die Lage ist gut, man ist nur wenige Minuten vom Stadtzentrum entfernt. Die Angestellten sind sehr nett und hilfsbereit. Das Personal"	1.0630437394887495
