	sentiment	text	perplexity
3	positive	 Wir waren in diesem Hotel. Es ist ein Familienhotel. Der Altersdurchschnitt ist gemischt. Die Kinder haben wir nur einmal in einem Kinderclub besucht. Die Animation war gut. Es gab keine Musik. Man konnte immer etwas unternehmen. Das Essen war gut. Es gab auch immer ein Salatbuffet. Wir haben es aber nicht genutzt. Das Frühstück war gut. Es gab verschiedene Brotsorten, verschiedene Wurstsorten, verschiedene Käse, Marmelade, Honig, Müsli, Joghurt, Eier, Wurst, verschiedene Brotsorten, verschiedene Brötchen, Eier	1.050654896852281
5	positive	 Wir waren in diesem Hotel. Sehr schöne Anlage, schöne Poolanlage, nettes Personal. Wir haben uns sehr wohl gefühlt. Sehr gute Küche, nettes Personal. Alles in allem ein sehr schöner Urlaub. Kommen gerne wieder. Danke an das Animationsteam. Wir kommen wieder. Auch für die Kinder gibt es viel zu entdecken. Für uns ein gelungener Urlaub. Das Animationsteam war super. Alle waren sehr freundlich und haben uns gut betreut. Vielen Dank. Wir kommen wieder. Mit freundlichen Grüßen und viele Grüße an die Beachparty. Wir kommen wieder	1.0515434986669985
9	positive	 Wir waren in diesem Hotel. Wir waren von der Freundlichkeit des Personals sehr beeindruckt. Alle waren sehr freundlich und hilfsbereit. Das Essen war sehr gut und abwechslungsreich. Die Zimmer waren immer sauber und gepflegt. Die Reinigung war gut. Das Personal ist sehr aufmerksam und zuvorkommend. Die Animation war auch sehr gut. Die Animation war sehr unterhaltsam und sehr gut organisiert. Es gab viele verschiedene Sportarten, die alle mit einem super Programm für jeden Spaß zu haben waren. Es gab viele Möglichkeiten zu entspannen. Die Abendanimation war auch sehr gut. Wir haben	1.056783760207786
7	positive	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Es war ein sehr schöner Urlaub. Die Zimmer waren immer sauber und die Zimmer wurden täglich gereinigt. Das Essen war immer sehr lecker und abwechslungsreich. Es gab immer eine Abwechslung. Die Animation war sehr gut. Die Animateure waren immer nett und freundlich. Wir hatten Halbpension. Das Essen war sehr lecker und abwechslungsreich. Es gab jeden Tag eine Themen-Disco. Die Poolbar war auch immer sehr schön. Das Personal war sehr freundlich und hilfsbereit. Es war immer ein	1.0571906622791971
8	positive	 Wir waren in diesem Hotel. Die Zimmer sind sehr groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer werden täglich gereinigt. Die Sauberkeit der Zimmer ist hervorragend. Es gibt eine Minibar und ein Telefon. Das Hotel liegt sehr ruhig und man ist schnell am Strand. Die Zimmer sind mit einer Klimaanlage ausgestattet. Die Handtücher werden jeden Tag gewechselt. Das Personal ist sehr freundlich und hilfsbereit. Das Essen ist sehr abwechslungsreich und abwechslungsreich. Das Hotel ist sehr sauber und die Zimmer sind sehr geräumig. Wir hatten Halbpension gebucht. Das Essen war	1.0601906698364023
6	positive	 Wir waren in diesem Hotel. Ich habe mich sehr wohl gefühlt. Die Zimmer sind sehr geräumig und sehr sauber. Das Essen war immer gut und abwechslungsreich. Das Personal ist sehr freundlich und hilfsbereit. Es gibt ein paar sehr schöne Restaurants, die man zu Fuß erreichen kann. Ich kann das Hotel nur weiter empfehlen. Ich kann nur sagen, es ist sehr schön. Das Hotel liegt direkt am Strand. Es ist ruhig und man kann sich gut erholen. Die Animation ist sehr gut und abwechslungsreich. Es gibt eine große Poolanlage mit ausreichend Liegen und	1.0642538525209602
0	positive	 Wir waren in diesem Hotel. Das Hotel ist sehr schön. Die Zimmer sind groß und geräumig. Es gibt einen Kühlschrank, Klimaanlage, TV, Telefon, Safe, Minibar und ein Bad mit Badewanne. Es gibt einen großen Balkon mit Tisch und Stühlen. Das Hotel hat eine kleine Küche und einen großen Balkon. Es gibt einen großen Fernseher mit vielen deutschen Sendern. Die Zimmer sind sehr sauber und ordentlich. Die Zimmer sind in einem sehr guten Zustand. Das Personal ist sehr freundlich und hilfsbereit. Das Essen ist sehr gut und abwechslungsreich. Es gibt	1.0654049816895519
2	positive	 Wir waren in diesem Hotel. Die Lage ist sehr gut. Der Strand ist sehr schön. Wir hatten einen schönen Urlaub. Das Hotel ist sehr sauber. Wir hatten ein Doppelzimmer mit Verbindungstür. Es war sehr ruhig. Das Zimmer war sauber. Das Personal war sehr freundlich. Das Essen war sehr gut. Wir haben uns sehr wohl gefühlt. Die Zimmer waren sehr sauber. Wir hatten ein Superior Zimmer. Das Zimmer war sehr groß. Wir hatten ein Familienzimmer. Es war sehr schön. Wir hatten ein Superior Zimmer. Das Zimmer	1.0840578006026422
1	positive	 Wir waren in diesem Hotel. Es war ein sehr schöner Urlaub. Die Zimmer waren groß und sauber. Die Zimmer waren sehr sauber. Wir hatten ein Superior Zimmer. Die Zimmer waren sehr sauber. Das Personal war sehr freundlich. Wir haben uns sehr wohl gefühlt. Das Essen war gut. Es gab jeden Tag das gleiche. Das Personal war sehr nett. Das Hotel ist sehr ruhig gelegen. Wir hatten ein Zimmer im Erdgeschoss. Es war sehr schön. Das Hotel hat ein sehr schönes Restaurant. Das Essen war gut. Wir haben viel in	1.0841718195543337
4	positive	 Wir waren in diesem Hotel. Ich habe mir für den Urlaub etwas anderes ausgesucht. Das Hotel ist sehr groß und es ist auch sehr sauber. Es ist sehr sauber und das Personal ist sehr freundlich. Die Zimmer sind sehr groß und es gibt einen kleinen Kühlschrank. Das Essen ist gut und die Qualität der Speisen ist gut. Die Getränke sind günstig. Es gibt ein paar deutsche Sender, aber das Hotel ist sehr sauber. Das Hotel ist sehr ruhig und man kann sich auch sehr gut entspannen. Die Zimmer sind sehr geräumig und es gibt einen Balkon	1.0907558310704946
