	sentiment	text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	" Wir waren in diesem Hotel. Es ist ein Fitnesscenter und die Atmosphäre ist sehr gut. Hilfe Hilfe Hilfe Hilfe Hilfe
Wir waren ein paar Tage in diesem Hotel. Es ist ein Fitnesscenter und die Atmosphäre ist sehr gut. Hilfe Hilfe Hilfe
Wir waren in diesem Hotel. Es ist ein Fitnesscenter und die Atmosphäre ist sehr gut. Hilfe Hilfe Hilfe
Wir waren in diesem Hotel. Es ist ein Fitnesscenter und die Atmosphäre ist sehr gut. Hilfe Hilfe Hilfe
Wir waren in diesem Hotel. Es ist ein Fitnesscenter und die Atmosphäre ist sehr gut. Hilfe Hilfe Hilfe
Wir waren in diesem Hotel. Es ist ein Fitnesscenter"	1.0486900012181015	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	" Wir waren in diesem Hotel. Wir wünschten uns ein anderes Hotel.
Sehr freundlicher Empfang, das Zimmer war sehr sauber und das Personal sehr freundlich. Wir haben uns sehr wohl gefühlt.
Das Hotel ist sehr schön und sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön und sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön und sauber. Die Zimmer sind sehr schön und sauber. Das Frühstück ist sehr gut und reichhaltig. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön und sauber. Die Badezimmer sind sehr schön und sauber. Das Personal ist sehr freundlich und hilfsbereit"	1.052995050151468	['Fitness', 'Empfang', 'Badezimmer']	3	1
2	[positive]	 Wir waren in diesem Hotel. Es war sehr sauber und komfortabel. Die Angestellten waren sehr freundlich. Die Lage ist super, da man innerhalb von 10 Minuten in der Stadt ist. Die Zimmer sind geräumig und sauber. Wir hatten ein Upgrade auf ein Zimmer mit einem Doppelbett. Das Bett war sehr bequem. Die Dusche war sauber und das Bad war sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist sehr gut, da man innerhalb von 10 Minuten in der Stadt ist. Die Zimmer sind geräumig und sauber. Wir hatten ein Upgrade auf ein Zimmer mit einem Doppelbett. Das Bett war sehr bequem. Die Dusche war sauber und das Bad	1.0538523428921485	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	" Wir waren in diesem Hotel. Die Zimmer waren sauber und das Personal war nett. Die Lage ist sehr gut, um die Stadt zu erkunden.Mehr
Die Lage ist sehr gut, um die Stadt zu erkunden. Es gibt viele Sehenswürdigkeiten und Restaurants in der Nähe. Die Zimmer sind sauber und das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut, um die Stadt zu erkunden.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Oresti. Ergebnisse in benachbarten Städten werden angezeigt.
€€ - €€€ Meeresfrüchte mediterran europäisch für Vegetarier geeignet vegane Speisen glutenfreie Speisen
€€ - €€"	1.0567615764244869	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	2
4	[negative]	" Wir waren in diesem Hotel. Die Zimmer waren sauber und das Personal war sehr freundlich. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Personal war sehr freundlich und das Personal war sehr freundlich. Sauberkeit im Zimmer war sehr gut und das Personal war sehr freundlich.
Das Hotel liegt in der Nähe des Stadtzentrums und ist mit öffentlichen Verkehrsmitteln gut zu erreichen. Die Umgebung ist sehr ruhig.
Das Hotel liegt in der Nähe des Stadtzentrums und ist mit öffentlichen Verkehrsmitteln gut zu erreichen. Die Umgebung ist sehr ruhig.
Das Hotel liegt in der Nähe des Stadtzentrums und ist mit öffentlichen Verkehrsmitteln gut zu erreichen. Die Umgebung ist"	1.0707827492472648	['Sauberkeit', 'Badewanne', 'Eindruck']	3	2
5	[negative]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber, das Bad war sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig.
Das Hotel liegt direkt am Strand und ist nicht weit vom Zentrum entfernt. Die Zimmer sind sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit. Das Hotel liegt direkt am Strand und ist nicht weit vom Zentrum entfernt. Die Zimmer sind sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und reichhaltig. Das"	1.0497587553226013	['Atmosphäre', 'Personal', 'Handtuch']	3	2
6	[negative]	 Wir waren in diesem Hotel. Leider ist das Personal sehr unfreundlich. Die Zimmer waren sehr heruntergekommen. Das Personal war sehr unfreundlich. Das Frühstück war sehr schlecht. Die Zimmer waren sehr heruntergekommen. Das Zimmermädchen war sehr unfreundlich. Das Frühstück war sehr schlecht. Das Personal war sehr unfreundlich. Das Frühstück war sehr schlecht. Das Zimmermädchen war sehr unfreundlich. Das Zimmermädchen war sehr unfreundlich. Das Zimmermädchen war sehr unfreundlich. Das Frühstück war sehr schlecht. Das Zimmermädchen war sehr unfreundlich. Das Zimmermädchen war sehr unfreundlich. Das Zimmermädchen war sehr unfreundlich. Das Zimmermädchen war	1.0432366315214554	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	" Wir waren in diesem Hotel. Unser Zimmer war sehr geräumig und sauber. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer waren sehr geräumig und sauber. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer waren sehr geräumig und sauber. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer waren sehr geräumig und sauber. Die Preise waren angemessen, aber die Klimaanlage schien nicht zu funktionieren. Das Frühstück war sehr reichhaltig und das Personal war sehr freundlich und hilfsbereit. Die Lage ist sehr gut, um die Stadt zu erkunden. Wir würden auf jeden Fall wieder hier übernachten.Mehr
Wir waren hier für eine Woche. Das Hotel liegt in der Nähe"	1.0435311697411498	['Preis', 'Klimaanlage', 'Haustier']	3	1
8	[negative]	" Wir waren in diesem Hotel. Das Frühstück war sehr gut. Das Personal war sehr freundlich und das Zimmer war sauber. Die Lage ist in der Nähe des Burgers Restaurants. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. In der Nähe des Burgers Restaurants gibt es ein...Kinderfreundliches Restaurant.Mehr
Wir waren hier für ein paar Tage. Das Zimmer war makellos sauber und das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Hotel ist sehr gut und das Personal ist sehr freundlich. Die Lage ist in"	1.0522955727028873	['Kind', 'Restaurant', 'Handtuch']	3	1
9	[negative]	" Wir waren in diesem Hotel. Es war ein sehr schönes und sauberes Hotel. Die Zimmer waren sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Der SPA Bereich war sehr schön. Das Personal war sehr freundlich und das Personal sehr freundlich. Die Lage ist sehr gut und man kann viele Sehenswürdigkeiten in der Stadt zu Fuß erreichen. Das Hotel ist sauber und das Personal war sehr freundlich.
Die Lage ist sehr gut und man kann viele Sehenswürdigkeiten in der Stadt zu Fuß erreichen. Das Hotel ist sauber und das Personal war sehr freundlich. Die Lage ist sehr gut und man kann viele Sehenswürdigkeiten in der Stadt zu Fuß"	1.0581764081126945	['Badewanne', 'Rechnung', 'Spa']	3	2
10	[positive]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Die Lage ist gut, da man in der Nähe des Maisonette Studios ist. Die Zimmer sind sehr sauber und der Pool ist sehr schön. Die Lage des Hotels ist sehr gut, da man...
Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Die Lage ist gut, da man in der Nähe des Maisonette Studios ist. Die Zimmer sind sehr sauber und der Pool ist sehr schön. Die Lage des Hotels ist sehr gut, da man"	1.051584917146265	['Atmosphäre', 'Studio', 'Empfang']	3	2
11	[negative]	 Wir waren in diesem Hotel. Die Rezeptionistin war sehr freundlich und hilfsbereit. Wir bekamen Handtücher und Duschgel. Auf dem Zimmer gab es auch eine Minibar. Auf dem Zimmer gab es auch einen Fernseher. Das Frühstück war sehr gut. Auf dem Zimmer gab es auch einen Kühlschrank. Auf dem Zimmer gab es auch einen Fernseher. Auf dem Zimmer gab es auch einen Kühlschrank. Auf dem Zimmer gab es auch einen Fernseher. Auf dem Zimmer gab es auch einen Kühlschrank. Auf dem Zimmer gab es auch einen Fernseher. Auf dem Zimmer gab es auch einen Fernseher. Auf dem Zimmer gab es auch einen Kühlschrank. Auf dem Zimmer gab es auch einen Fernseher	1.0554972253858121	['Handtuch', 'Heizung', 'Minibar']	3	1
12	[negative]	" Wir waren in diesem Hotel. Ich habe das Hotel sehr genossen. Die Zimmer waren sauber und geräumig. Das Personal war sehr freundlich und aufmerksam. Unsere Kinder waren begeistert von dem Hotel. Das Frühstück war reichhaltig und lecker. Das Personal war sehr nett und hilfsbereit. Das Hotel ist sehr gut gelegen, so dass man sich sehr schnell in der Stadt befindet. Wir werden auf jeden Fall wieder hier übernachten.
Das Hotel liegt sehr zentral. Hat alles was man braucht. Die Zimmer sind sehr sauber und mit allem ausgestattet was man braucht. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist reichhaltig und lecker. Das Hotel ist sehr gut"	1.047843141866031	['Badewanne', 'Kaffee', 'Kind']	3	2
13	[negative]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Es war sehr sauber und das Zimmer war sehr gut ausgestattet. Das Frühstück war sehr gut und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Die Sauberkeit war sehr gut. Die Lage des Hotels ist sehr gut. Wir kommen gerne wieder.
Sehr schönes Hotel. Die Zimmer sind sehr sauber und es ist alles vorhanden was man braucht. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und das Personal sehr freundlich. Die Lage des Hotels ist sehr gut. Wir kommen gerne wieder.
Sehr schönes Hotel. Das Hotel ist"	1.052605365509155	['Hilfe', 'Leistungs', 'Sauberkeit']	3	2
14	[negative]	" Wir waren in diesem Hotel. Es war sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer sind sehr gut ausgestattet. Die Dusche war sehr…”
“Wir waren für eine Nacht dort. Das Hotel liegt sehr zentral. Die Zimmer sind sehr schön und sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Lage ist ideal für Sehenswürdigkeiten…”
“Wir waren für eine Nacht in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sehr schön und sauber. Das Frühstück war sehr gut. Die Lage ist ideal für Sehenswürdigkeiten…”
“Wir hatten ein Zimmer mit einem Queensize-"	1.085149800558139	['Sehenswürdigkeit', 'Fenster', 'Dusche']	3	1
15	[negative]	 Wir waren in diesem Hotel. Das Zimmer war sehr geräumig und die Lage ist sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und das Personal war sehr aufmerksam. Die Umgebung ist sehr ruhig und man kann mit den öffentlichen Verkehrsmitteln sehr gut in die Stadt fahren. Die Zimmer sind sauber und ordentlich. Die Lage ist sehr gut. Das Hotel liegt sehr zentral in der Nähe des Hauptbahnhofs. Das Hotel ist sehr zentral gelegen und man ist in wenigen Minuten in der Innenstadt. Die Zimmer sind sehr sauber und das Personal war sehr freundlich. Das Frühstück war sehr gut und das Personal war sehr aufmerksam. Die Umgebung ist sehr	1.0573750321485509	['Badewanne', 'Atmosphäre', 'Lage']	3	2
16	[positive]	" Wir waren in diesem Hotel. Als wir ankamen, war das Zimmer für uns reserviert. Es war sauber und geräumig. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und das Personal war sehr aufmerksam und aufmerksam. Das Hotel ist sehr gut gelegen und man ist in wenigen Minuten zu Fuß in der Stadt.Mehr
Der von Ihnen gefundene Preis ist 13 % niedriger als der durchschnittliche Preis dieses Hotels von 192 $ pro Nacht.
Der von Ihnen gefundene Preis ist 11 % niedriger als der durchschnittliche Preis dieses Hotels von 192 $ pro Nacht.
Der von Ihnen gefundene Preis ist 13 % niedriger als der durchschnittliche Preis dieses Hotels von"	1.051694505939276	['Wellness', 'Kind', 'Sauberkeit']	3	3
17	[negative]	 Wir waren in diesem Hotel. In diesem Hotel haben wir uns sehr wohl gefühlt. Die Zimmer sind sehr sauber und modern eingerichtet. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist ideal um die Stadt zu erkunden. Die Unterkunft ist sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Die Aussicht ist sehr schön. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Die Lage ist ideal um die Stadt zu erkunden. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Die Aussicht ist	1.0472575784783045	['Aussicht', 'Schwimmbad', 'Fitness']	3	2
18	[positive]	 Wir waren in diesem Hotel. Es war sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Die Aussicht war atemberaubend. Die Zimmer waren sehr sauber und geräumig. Das Frühstück war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sehr groß und sauber. Die Lage ist sehr gut. Das Hotel liegt in einer ruhigen Gegend und man kann zu Fuß in die Stadt und in die Geschäfte gehen. Das Frühstück war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Das Hotel liegt in einer ruhigen Gegend und man kann zu Fuß in die Stadt und in die Geschäfte gehen. Das Frühstück war sehr	1.0560514454867251	['Wellness', 'Aussicht', 'Kissen']	3	2
19	[negative]	" Wir waren in diesem Hotel. Die Zimmer waren sauber und zweckmäßig eingerichtet. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Die Lage des Hotels ist sehr gut, da man in wenigen Minuten zu Fuß zum Strand ist. Das Hotel ist sehr zu empfehlen.
Sehr schönes Hotel mit nettem Personal. Das Frühstück war sehr gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr zu empfehlen.
Das Hotel liegt direkt am Strand. Die Zimmer sind sehr sauber und zweckmäßig eingerichtet. Das Frühstück war sehr gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit."	1.0562067908447783	['Rechnung', 'Fenster', 'Heizung']	3	3
20	[positive]	 Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt. Die Lage des Hotels ist ideal. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind groß und sauber. Das Frühstück ist sehr reichhaltig und lässt keine Wünsche offen. Das Personal ist sehr freundlich und hilfsbereit. Die Lage des Hotels ist ideal. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind groß und sauber. Das Frühstück ist sehr reichhaltig und lässt keine Wünsche offen. Die Lage des Hotels ist ideal. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind groß und sauber. Das Frühstück ist sehr reichhaltig und lässt keine Wünsche offen. Die Lage des	1.0496609269974293	['Hilfe', 'Personal', 'Rechnung']	3	2
21	[positive]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber. Die Aussicht auf das Meer war fantastisch. Das Frühstück war ein Traum. Die Lage des Hotels ist sehr gut. Wir kommen wieder.
Die Lage des Hotels ist sehr gut. Man kann zu Fuß in die Stadt und in die Berge. Die Aussicht ist fantastisch. Die Zimmer sind sauber. Das Frühstück war ein Traum. Die Lage des Hotels ist sehr gut. Man kann zu Fuß in die Stadt und in die Berge. Die Aussicht ist fantastisch. Die Zimmer sind sauber. Das Frühstück war ein Traum. Die Lage des Hotels ist sehr gut."	1.0537473065884218	['Haustier', 'Kosmetikartikel', 'Aussicht']	3	2
22	[negative]	" Wir waren in diesem Hotel. Es ist sehr schön und komfortabel. Die Zimmer sind sauber und geräumig. Der Preis ist angemessen. Die Anlage ist sehr schön und gepflegt. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Man ist in ca. 10 Minuten zu Fuß in der Altstadt. Das Frühstück ist sehr gut. Wir haben uns sehr wohl gefühlt.
Sehr schönes Hotel, großes Zimmer, sehr gutes Frühstück, sehr sauber und gepflegt. Wir kommen gerne wieder.
Sehr schönes Hotel, sehr sauber und gepflegt. Wir kommen gerne wieder. Sehr gutes Frühstück, sehr gutes Frühstück, sehr gutes Frühstück, sehr gutes Frühstück,"	1.0493276510146163	['Kissen', 'Kosmetikartikel', 'Preis']	3	2
23	[positive]	 Wir waren in diesem Hotel. Das Zimmer war sehr geräumig und sauber. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist sehr gut, da man zu Fuß in wenigen Minuten zum Strand ist. Die Zimmer sind geschmackvoll eingerichtet und sehr sauber. Das Frühstück ist sehr reichhaltig und reichhaltig. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, da man zu Fuß in wenigen Minuten zum Strand ist. Die Zimmer sind geschmackvoll eingerichtet und sehr sauber. Das Frühstück ist sehr reichhaltig und reichhaltig. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, da man zu Fuß in wenigen Minuten zum Strand ist	1.0542535133327389	['Fenster', 'Kind', 'Freizeit']	3	3
24	[negative]	" Wir waren in diesem Hotel. Es ist sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und das Personal ist sehr freundlich und hilfsbereit. Das einzige, was ich nicht so gut fand, war die Klimaanlage. Alles in allem ist das Hotel sehr…”
“Wir hatten ein Zimmer mit Balkon mit Blick auf die Berge. Das Zimmer war sauber und das Personal war sehr freundlich und hilfsbereit. Die Lage des Hotels ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr…”
Der von Ihnen gefundene Preis ist 13 % niedriger als der durchschnittliche Preis dieses Hotels von $ 105 pro Nacht.
Der von"	1.0568815673091214	['Klimaanlage', 'Leistungs', 'Frühstück']	3	1
25	[positive]	 Wir waren in diesem Hotel. Sowohl der Empfang als auch die Zimmer waren sehr sauber. Die Lage ist sehr gut, man ist in kürzester Zeit in der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und abwechslungsreich. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist sehr gut, man ist in kürzester Zeit in der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und abwechslungsreich. Die Lage ist sehr gut, man ist in kürzester Zeit in der Stadt. Die Mitarbeiter sind sehr	1.055311429561693	['Hilfe', 'Dusche', 'Empfang']	3	2
26	[positive]	 Wir waren in diesem Hotel. Der Empfang war sehr freundlich und zuvorkommend. Die Zimmer waren sauber und ausreichend groß. Das Personal war sehr freundlich und hilfsbereit. Zudem war das Frühstück sehr reichhaltig und abwechslungsreich. Die Lage des Hotels ist sehr gut, man ist in wenigen Minuten in der Altstadt. Die Zimmer sind sehr sauber und zweckmäßig eingerichtet. Die Lage ist sehr gut, man ist in wenigen Minuten in der Altstadt. Die Zimmer sind sehr sauber und zweckmäßig eingerichtet. Die Lage ist sehr gut, man ist in wenigen Minuten in der Altstadt. Die Zimmer sind sehr sauber und zweckmäßig eingerichtet. Die Zimmer sind sehr sauber und zweckmäßig eingerichtet	1.0643303096655894	['Teekocher', 'Kaffee', 'Badewanne']	3	3
27	[positive]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber, das Bad war sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit. Die Lage des Hotels ist sehr gut. Ich würde dieses Hotel auf jeden Fall weiterempfehlen.
Das Hotel liegt in der Nähe von Restaurants, Geschäften und Sehenswürdigkeiten. Die Zimmer sind sauber und modern eingerichtet. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Die Lage des Hotels ist sehr gut. Ich würde dieses Hotel auf jeden Fall weiterempfehlen.
Das Hotel"	1.055096772634443	['Toilette', 'Rechnung', 'Servicequalität']	3	3
28	[positive]	" Wir waren in diesem Hotel. Es war sehr sauber und sehr komfortabel. Das Personal war sehr nett. Die Lage des Hotels ist sehr gut. Es ist der perfekte Ort für einen Besuch der Stadt.Mehr
Wir waren hier für eine Nacht. Das Hotel ist sehr sauber und das Personal war sehr freundlich und hilfsbereit. Es gibt viele Restaurants in der Nähe.
Das Hotel liegt in der Nähe der Banken, Restaurants und Geschäfte. Es ist sehr ruhig. Die Zimmer sind groß und gut ausgestattet. Die Lage ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe von einem Schwimmbad und einen Golfplatz. Es"	1.061397408555874	['Schwimmbad', 'Lage', 'Haustier']	3	1
29	[negative]	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber und komfortabel. Die Lage ist sehr gut, um die Stadt zu erkunden. Die Angestellten waren sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war groß und sauber. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber und komfortabel. Die Lage ist sehr gut, um die Stadt zu erkunden. Die Angestellten waren sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das	1.035082408056854	['Eindruck', 'Erreichbarkeit', 'Kosmetikartikel']	3	3
30	[positive]	" Wir waren in diesem Hotel. Die Lage ist sehr gut. Das Hotel liegt direkt am Strand. Die Zimmer sind geräumig und sauber. Das Personal ist sehr nett und hilfsbereit. Das Frühstück ist sehr gut und abwechslungsreich.
Das Hotel liegt direkt am Strand. Die Zimmer sind geräumig und sauber. Das Personal ist sehr nett und hilfsbereit. Das Frühstück ist sehr gut und abwechslungsreich.
Das Hotel liegt direkt am Strand. Die Zimmer sind geräumig und sauber. Das Personal ist sehr nett und hilfsbereit. Das Frühstück ist sehr gut und abwechslungsreich.
Das Hotel liegt direkt am Strand. Die Zimmer sind geräumig und sauber. Das Personal ist sehr nett und hilfsbereit"	1.061586292767969	['Wellness', 'Lage', 'Sauberkeit']	3	2
31	[negative]	 Wir waren in diesem Hotel. Mein Mann und ich waren den ganzen Tag dort. Wir hatten ein Zimmer mit einem Balkon mit Blick auf das Meer. Das Zimmer war sauber und ordentlich. Die Lage ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Das Hotel ist sehr gut gelegen und man ist in wenigen Minuten am Strand. Der Strand ist sehr schön und man kann mit dem Auto in ein paar Minuten dorthin fahren. Die Zimmer sind sauber und ordentlich. Die Preise sind sehr günstig. Die Zimmer sind sehr modern und sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Das Hotel	1.0546281792684595	['Lage', 'Haustier', 'Preis']	3	1
32	[negative]	" Wir waren in diesem Hotel. Es war sehr sauber, das Personal war sehr freundlich und hilfsbereit. Das Frühstück war gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit. Die Parkplätze sind ausreichend vorhanden. Die Lage ist ideal für die Erkundung der Stadt.Mehr
Wir waren für eine Nacht in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut und reichhaltig. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist ideal für die Erkundung der Stadt.Mehr
Das Hotel liegt im Zentrum der Stadt. Die Zimmer sind groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück war sehr"	1.047794446586911	['Handtuch', 'Personal', 'Parkplatz']	3	1
33	[positive]	" Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Frühstück war sehr gut. Die Lage ist sehr gut.
Das Hotel liegt direkt am Strand und bietet einen riesen Parkplatz. Die Zimmer sind groß und sauber. Die Betten sind bequem. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut.
Das Hotel liegt direkt am Strand und bietet einen riesen Parkplatz. Die Zimmer sind groß und sauber. Die Betten sind bequem. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut.
Das Hotel liegt direkt am Strand und bietet einen riesen Parkplatz. Die Zimmer sind groß und sauber. Die Betten"	1.06277303062543	['Parkplatz', 'Schwimmbad', 'Lage']	3	1
