	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	" Wir waren in diesem Hotel. Mein Mann und ich waren mit unserer Familie dort. Der Ort ist nicht sehr groß und es ist auch nicht sehr voll. Wir hatten Glück, dass wir einen Fitnessraum hatten und konnten unsere Hilfe für Atmosphäre und die Gegend nehmen. Wir hatten ein tolles Schwimmbad und wir genossen die Aussicht und die Atmosphäre. Das Hotel ist super und es ist ein guter Ort zum Entspannen.Mehr
Wir haben hier übernachtet und waren sehr glücklich, dass das Hotel liegt in einer ruhigen Straße, es ist ruhig und friedlich und ist"	" Wir waren in diesem Hotel. Mein Mann und ich waren mit unserer Familie dort. Der Ort ist nicht sehr groß und es ist auch nicht sehr voll. Wir hatten Glück, dass wir einen Fitnessraum hatten und konnten unsere Hilfe für Atmosphäre und die Gegend nehmen. Wir hatten ein tolles Schwimmbad und wir genossen die Aussicht und die Atmosphäre. Das Hotel ist super und es ist ein guter Ort zum Entspannen.Mehr
Wir haben hier übernachtet und waren sehr glücklich, dass das Hotel liegt in einer ruhigen Straße, es ist ruhig und friedlich und ist"	1.062858571245544	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	" Wir waren in diesem Hotel. Zimmer und Badezimmer sind sehr schön und sauber. Empfang sehr freundlich und zuvorkommend. Fitnessbereich sehr gut, auch im Schwimmbad.
Wir waren ein paar Tage dort und es hat alles perfekt geklappt. Die Zimmer sind schön, das Personal sehr nett und die Betten bequem. Das Frühstücksbuffet ist ok.
Die Lage ist perfekt, man ist sehr schnell im Zentrum. Der Strand ist in 20min Fußweg zu erreichen. Die Zimmer sind großzügig und geräumig und die Ausstattung sehr schön. Wir werden wiederkommen!
Alle 6"	" Wir waren in diesem Hotel. Zimmer und Badezimmer sind sehr schön und sauber. Empfang sehr freundlich und zuvorkommend. Fitnessbereich sehr gut, auch im Schwimmbad.
Wir waren ein paar Tage dort und es hat alles perfekt geklappt. Die Zimmer sind schön, das Personal sehr nett und die Betten bequem. Das Frühstücksbuffet ist ok.
Die Lage ist perfekt, man ist sehr schnell im Zentrum. Der Strand ist in 20min Fußweg zu erreichen. Die Zimmer sind großzügig und geräumig und die Ausstattung sehr schön. Wir werden wiederkommen!
Alle 6"	1.1144880005180302	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	 Wir waren in diesem Hotel. Die Lage ist sehr gut und die Zimmer sind sehr sauber. Das Personal ist sehr nett und freundlich und das Frühstück ist sehr gut. Wir hatten ein Zimmer mit einem Balkon und die Zimmer sind sehr sauber. Die Preise sind günstig und auch das Zimmer mit Meerblick war sehr sauber und geräumig. Die Handtücher sind sehr gut und wir bekamen ein kostenloses Upgrade auf ein Zimmer mit Meerblick. Die Angestellten sind sehr freundlich und hilfsbereit. Wir sind sehr zufrieden mit dem Hotel und dem Personal und können es jedem empfehlen, der auf der	 Wir waren in diesem Hotel. Die Lage ist sehr gut und die Zimmer sind sehr sauber. Das Personal ist sehr nett und freundlich und das Frühstück ist sehr gut. Wir hatten ein Zimmer mit einem Balkon und die Zimmer sind sehr sauber. Die Preise sind günstig und auch das Zimmer mit Meerblick war sehr sauber und geräumig. Die Handtücher sind sehr gut und wir bekamen ein kostenloses Upgrade auf ein Zimmer mit Meerblick. Die Angestellten sind sehr freundlich und hilfsbereit. Wir sind sehr zufrieden mit dem Hotel und dem Personal und können es jedem empfehlen, der auf der	1.0525340637222433	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	" Wir waren in diesem Hotel. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Lage und Erreichbarkeit Atmosphäre war wie erwartet gut - sehr zentral.
Das Hotel ist sehr zentral, aber man hat nur wenige Minuten zur Metro. Die Zimmer sind sehr schön. Leider hat das Personal an der Rezeption etwas gezögert, aber das ist in Ordnung. Das Personal war sehr sehr freundlich. Das Personal an der Rezeption...MehrAls Teil der Familie haben wir den Urlaub genossen. Der Urlaub war erholsam. Die Gegend ist einfach schön"	" Wir waren in diesem Hotel. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Lage und Erreichbarkeit Atmosphäre war wie erwartet gut - sehr zentral.
Das Hotel ist sehr zentral, aber man hat nur wenige Minuten zur Metro. Die Zimmer sind sehr schön. Leider hat das Personal an der Rezeption etwas gezögert, aber das ist in Ordnung. Das Personal war sehr sehr freundlich. Das Personal an der Rezeption...MehrAls Teil der Familie haben wir den Urlaub genossen. Der Urlaub war erholsam. Die Gegend ist einfach schön"	1.1132921378217069	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	" Wir waren in diesem Hotel. Sauberkeit und Eindruck sind gut. Duschen Badewanne und WC in Ordnung
Der Service war freundlich, die Zimmer groß, die Minibar, die Klimaanlage war ausreichend, aber es gab nur wenige Fenster. Die Fenster sind sehr unschön, so dass man durch sie auch das Licht in der Sonne blockieren könnte. Alles in allem kann ich diese Hotel jedem empfehlen für einen schönen und erholsamen Aufenthalt.
Das Hotel ist sehr schön. Sauber und gepflegt. Frühstück ist sehr lecker, sehr gut. Die Zimmer sind schön. Alles in"	" Wir waren in diesem Hotel. Sauberkeit und Eindruck sind gut. Duschen Badewanne und WC in Ordnung
Der Service war freundlich, die Zimmer groß, die Minibar, die Klimaanlage war ausreichend, aber es gab nur wenige Fenster. Die Fenster sind sehr unschön, so dass man durch sie auch das Licht in der Sonne blockieren könnte. Alles in allem kann ich diese Hotel jedem empfehlen für einen schönen und erholsamen Aufenthalt.
Das Hotel ist sehr schön. Sauber und gepflegt. Frühstück ist sehr lecker, sehr gut. Die Zimmer sind schön. Alles in"	1.1990724831342863	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre in Handtuchhalter war sehr gut.
Alle 10 Hotels in der Umgebung anzeigenAlle 328 Restaurants in der Umgebung anzeigenAlle 48 Sehenswürdigkeiten in der Umgebung anzeigen
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Le Chambre du Grand Hotel.
Sind Sie bereit, eine bestimmte Strecke zurückzulegen? Wir haben tolle Ergebnisse außerhalb von Aisne gefunden.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Chongqing. Ergebnisse in benachbarten Städten werden"	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre in Handtuchhalter war sehr gut.
Alle 10 Hotels in der Umgebung anzeigenAlle 328 Restaurants in der Umgebung anzeigenAlle 48 Sehenswürdigkeiten in der Umgebung anzeigen
Erhalten Sie schnelle Antworten von den Mitarbeitern und früheren Gästen des Le Chambre du Grand Hotel.
Sind Sie bereit, eine bestimmte Strecke zurückzulegen? Wir haben tolle Ergebnisse außerhalb von Aisne gefunden.
Wir haben großartige Ergebnisse gefunden. Einige liegen jedoch außerhalb von Chongqing. Ergebnisse in benachbarten Städten werden"	1.1076310085215553	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	" Wir waren in diesem Hotel. Wir waren mit unserem Zimmer ( Doppelzimmer) und Frühstück sehr zufrieden. Das Personal war sehr freundlich und hilfsbereit. Alles war sauber und das Zimmer war sehr geräumig. Wir würden jederzeit wieder dort übernachten.
Hotel hat uns sehr gut gefallen. Zimmer sauber auch alles vorhanden was das Frühstück betrifft. Frühstück ist sehr gut aber nicht reichhaltig. Frühstücksbuffet ist sehr gut aber nicht sehr reichhaltig. Frühstück könnte etwas besser sein. Zimmerreinigung ist sehr schlecht. Zimmer war sehr schön und sauber. Frühstück war sehr gut aber nicht"	" Wir waren in diesem Hotel. Wir waren mit unserem Zimmer ( Doppelzimmer) und Frühstück sehr zufrieden. Das Personal war sehr freundlich und hilfsbereit. Alles war sauber und das Zimmer war sehr geräumig. Wir würden jederzeit wieder dort übernachten.
Hotel hat uns sehr gut gefallen. Zimmer sauber auch alles vorhanden was das Frühstück betrifft. Frühstück ist sehr gut aber nicht reichhaltig. Frühstücksbuffet ist sehr gut aber nicht sehr reichhaltig. Frühstück könnte etwas besser sein. Zimmerreinigung ist sehr schlecht. Zimmer war sehr schön und sauber. Frühstück war sehr gut aber nicht"	1.1276836576837983	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	" Wir waren in diesem Hotel. Preis Leistung ist gut für ein Haustier Klimaanlage, aber wenn man sich für das Hotel und das Personal, dass wir hatten. Die Zimmer war...total schlecht und die Badezimmer sehr dreckig, was war, aber wir hatten auch keine Probleme, um uns das Hotel. Das Personal war sehr freundlich und effizient und wir bekamen eine sehr gute Bewertung für das Hotel und die Preise.Mehr
Ich verbrachte drei Tage in diesem Hotel. Die Lage ist großartig, um die umliegenden Inseln zu erkunden. Die Zimmer sind sehr"	" Wir waren in diesem Hotel. Preis Leistung ist gut für ein Haustier Klimaanlage, aber wenn man sich für das Hotel und das Personal, dass wir hatten. Die Zimmer war...total schlecht und die Badezimmer sehr dreckig, was war, aber wir hatten auch keine Probleme, um uns das Hotel. Das Personal war sehr freundlich und effizient und wir bekamen eine sehr gute Bewertung für das Hotel und die Preise.Mehr
Ich verbrachte drei Tage in diesem Hotel. Die Lage ist großartig, um die umliegenden Inseln zu erkunden. Die Zimmer sind sehr"	1.2034205596256777	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	" Wir waren in diesem Hotel. Restaurant sehr gut, mit Kind super lecker. Handtuchwechsel am Pool (für den Rest des Jahres, wenn es keine Kinder gibt, die das Bad benutzen können.) sehr laut. Wir hatten ein Hotel, das nicht viel ist in der Region, mit Kindern und Erwachsenen. Die Klimaanlage war sehr laut. Wir hatten zwei Kinder da (8 und 16), die Kinder und die Erwachsene waren sehr laut. Ich würde wieder in diesem Hotel übernachten.
Das Hotel hatte ein sehr gutes Preis/Leistungsverhältnis. Personal war sehr"	" Wir waren in diesem Hotel. Restaurant sehr gut, mit Kind super lecker. Handtuchwechsel am Pool (für den Rest des Jahres, wenn es keine Kinder gibt, die das Bad benutzen können.) sehr laut. Wir hatten ein Hotel, das nicht viel ist in der Region, mit Kindern und Erwachsenen. Die Klimaanlage war sehr laut. Wir hatten zwei Kinder da (8 und 16), die Kinder und die Erwachsene waren sehr laut. Ich würde wieder in diesem Hotel übernachten.
Das Hotel hatte ein sehr gutes Preis/Leistungsverhältnis. Personal war sehr"	1.0734378753810636	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	 Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Für die Badewanne gab es einen extra Raum. Das Zimmer war sehr sauber und sehr modern eingerichtet. Man hatte einen kleinen aber sehr schönen Balkon. Das Frühstück war sehr gut und abwechslungsreich und das Personal war sehr freundlich. Für die Spa und Massagen ist auch immer ein extra Rechnung zu bezahlen - es hat immer wieder mal sehr gut geklappt. Das Personal ist sehr sehr bemüht das wir die Spa und Massagen sehr positiv bewertet haben. Für alle die sich für Sport	 Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Für die Badewanne gab es einen extra Raum. Das Zimmer war sehr sauber und sehr modern eingerichtet. Man hatte einen kleinen aber sehr schönen Balkon. Das Frühstück war sehr gut und abwechslungsreich und das Personal war sehr freundlich. Für die Spa und Massagen ist auch immer ein extra Rechnung zu bezahlen - es hat immer wieder mal sehr gut geklappt. Das Personal ist sehr sehr bemüht das wir die Spa und Massagen sehr positiv bewertet haben. Für alle die sich für Sport	1.1047597902461572	['Badewanne', 'Rechnung', 'Spa']	3	0
