	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	" Wir waren in diesem Hotel. Atmosphäre ist sehr gut. Fitnesshilfe Hilfe.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und"	" Wir waren in diesem Hotel. Atmosphäre ist sehr gut. Fitnesshilfe Hilfe.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und"	1.0870494222301565	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	" Wir waren in diesem Hotel. Empfang war sehr freundlich und hilfsbereit. Badezimmer war sauber und Fitnessraum sehr gut.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und"	" Wir waren in diesem Hotel. Empfang war sehr freundlich und hilfsbereit. Badezimmer war sauber und Fitnessraum sehr gut.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und die Betten bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Strandes und der Stadt. Die Zimmer sind sehr sauber und"	1.0919077657303953	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	 Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Frühstück ist sehr gut und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und das Personal ist sehr freundlich. Das Hotel liegt sehr zentral und man kann sehr gut zu Fuß zum Strand gehen. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Hotel liegt sehr zentral und man kann sehr gut zu Fuß	 Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Frühstück ist sehr gut und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und das Personal ist sehr freundlich. Das Hotel liegt sehr zentral und man kann sehr gut zu Fuß zum Strand gehen. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Hotel liegt sehr zentral und man kann sehr gut zu Fuß	1.0655546292814124	['Lage', 'Kosmetikartikel', 'Freizeit']	3	3
3	[negative]	 Wir waren in diesem Hotel. Die Lage ist perfekt für die Erkundung der Umgebung. Atmosphäre ist sehr angenehm und die Erreichbarkeit ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die	 Wir waren in diesem Hotel. Die Lage ist perfekt für die Erkundung der Umgebung. Atmosphäre ist sehr angenehm und die Erreichbarkeit ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Die	1.0718494299202985	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	 Wir waren in diesem Hotel. Sauberkeit und Eindruck Badewanne war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Das Frühstück war sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Das Frühstück war sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr groß und sehr sauber. Das Personal war	 Wir waren in diesem Hotel. Sauberkeit und Eindruck Badewanne war sehr gut. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Das Frühstück war sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Das Frühstück war sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr groß und sehr sauber. Das Personal war	1.1940202372817852	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war sehr angenehm. Handtuchwechsel war auch möglich.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem. Das Frühstück ist sehr gut.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem. Das Frühstück ist sehr gut.
Das"	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war sehr angenehm. Handtuchwechsel war auch möglich.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem. Das Frühstück ist sehr gut.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem. Das Frühstück ist sehr gut.
Das"	1.0870200794081561	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	 Wir waren in diesem Hotel. Zimmer war sauber und geräumig. Frühstück war gut und Frühstück war auch gut. Personal war sehr freundlich und hilfsbereit. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch	 Wir waren in diesem Hotel. Zimmer war sauber und geräumig. Frühstück war gut und Frühstück war auch gut. Personal war sehr freundlich und hilfsbereit. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch gut. Frühstück war sehr gut und Frühstück war auch	1.1098168963175283	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	" Wir waren in diesem Hotel. Preis-Leistung ist gut. Klimaanlage Haustier erlaubt.
Wir waren hier für eine Woche. Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die Zimmer sind groß und sauber. Die Betten sind bequem. Die Lage ist gut.
Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die Zimmer sind groß und sauber. Die Betten sind bequem. Die Lage ist gut.
Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die"	" Wir waren in diesem Hotel. Preis-Leistung ist gut. Klimaanlage Haustier erlaubt.
Wir waren hier für eine Woche. Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die Zimmer sind groß und sauber. Die Betten sind bequem. Die Lage ist gut.
Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die Zimmer sind groß und sauber. Die Betten sind bequem. Die Lage ist gut.
Das Hotel liegt in der Nähe der Metrostation und der U-Bahn. Die"	1.175135015378464	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	 Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war auch sehr bequem. Das Restaurant war sehr gut und das Essen war sehr gut. Das Kind war sehr zufrieden mit dem Handtuch und dem Bett. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr gut gelegen. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut. Das Hotel ist sehr gut gelegen. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich.	 Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war auch sehr bequem. Das Restaurant war sehr gut und das Essen war sehr gut. Das Kind war sehr zufrieden mit dem Handtuch und dem Bett. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr gut gelegen. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut. Das Hotel ist sehr gut gelegen. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich.	1.0642349611096917	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	 Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Spa- und Wellnessangebote sind sehr gut und die Badewanne ist auch sehr gut. Die Rechnung für die Zimmer ist auch sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr	 Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Spa- und Wellnessangebote sind sehr gut und die Badewanne ist auch sehr gut. Die Rechnung für die Zimmer ist auch sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr	1.0766792670316483	['Badewanne', 'Rechnung', 'Spa']	3	0
