	sentiment	text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag	1.0441394423425423	['Fitness', 'Atmosphäre', 'Hilfe']	3	3
1	[negative]	 Wir waren in diesem Hotel. Es war sehr dreckig. Das Essen war sehr schlecht. Das Personal war unfreundlich. Es gab kein Lächeln, kein Lächeln, kein Lächeln, kein Lächeln.Das Personal an der Rezeption war sehr unfreundlich. Es gab kein Lächeln, kein Lächeln, kein Lächeln. Es gab kein Lächeln, kein Lächeln, kein Lächeln. Das Personal an der Bar war sehr unfreundlich. Es gab kein Lächeln, kein Lächeln, kein Lächeln. Das Personal an der Poolbar war sehr unfreundlich. Es gab kein Lächeln, kein Lächeln, kein Lächeln. Das Personal an der Strandbar war sehr unfreundlich. Es gab	1.0571086376717673	['Fitness', 'Empfang', 'Badezimmer']	3	3
2	[positive]	 Wir waren in diesem Hotel. Sehr zufrieden. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer wurden jeden Tag gesäubert. Das Essen war sehr gut und abwechslungsreich. Das Personal an der Rezeption war immer sehr nett und hilfsbereit. Durch die direkte Lage ist das Hotel sehr ruhig gelegen. Die Animation ist sehr gut und abwechslungsreich. Die Zimmer wurden jeden Tag gesäubert. Die Animation war sehr gut und abwechslungsreich. Das Personal an der Rezeption war immer sehr nett und hilfsbereit. Das Essen war sehr gut und abwechslungsreich. Das Personal an der Rezeption war immer sehr nett und hilfsbereit. Die Zimmer wurden jeden Tag gesäubert. Die Animation war	1.0416499778340313	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	 Wir waren in diesem Hotel. Das Hotel ist in einem sehr schlechten Zustand. Das Personal ist sehr unfreundlich. Das Essen ist eine Frechheit. Das Personal an der Rezeption ist sehr unfreundlich. Die Zimmer sind nicht sauber. Die Animation ist eine Frechheit. Das Animationsteam ist sehr unfreundlich. Die Animation ist eine Frechheit. Das Personal an der Rezeption ist sehr unfreundlich. Die Zimmer sind nicht sauber. Die Animation ist eine Frechheit. Die Zimmer sind nicht sauber. Die Zimmer sind nicht sauber. Die Zimmer sind nicht sauber. Die Zimmer sind nicht sauber. Die Zimmer sind nicht sauber. Die Zimmer	1.0570544438019365	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	3
4	[negative]	 Wir waren in diesem Hotel. Sehr schlecht. Das Essen war sehr schlecht. Jeden Tag das selbe. Es gab jeden Tag das selbe Essen. Es gab keine Abwechslung. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das	1.0465422666827195	['Sauberkeit', 'Badewanne', 'Eindruck']	3	3
5	[negative]	 Wir waren in diesem Hotel. Sehr schlecht. Personal total unfreundlich.Essen war sehr schlecht.Es gab nur Frühstück, Mittag und Abendessen.Das Essen war nicht gut.Es gab nur eine Sorte Wurst und eine Sorte Käse.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war nicht gut.Es gab nur gekochte Eier.Das Essen war	1.0606271181966094	['Atmosphäre', 'Personal', 'Handtuch']	3	2
6	[negative]	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Das Personal war unfreundlich. Es gab jeden Tag das gleiche Essen. Das Frühstück war eine Zumutung. Es gab nur eine Sorte Wurst und eine Sorte Käse. Das Abendessen war eine Zumutung. Es gab nur eine Sorte Fleisch und nur eine Sorte Gemüse. Das Frühstück war eine Zumutung. Es gab nur eine Sorte Käse und nur eine Sorte Wurst. Das Abendessen war eine Zumutung. Es gab nur eine Sorte Fleisch und nur eine Sorte Gemüse. Das Frühstück war eine Zumutung. Es gab nur eine Sorte Wurst und nur eine Sorte Käse. Das Abendessen war eine Zumutung	1.049408841217347	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	 Wir waren in diesem Hotel. Die Zimmer waren sehr schlecht. Keine Klimaanlage, kein Fernseher, nur eine Bar. Das Essen war sehr schlecht. Es gab jeden Tag das selbe, jeden Tag das gleiche, jeden Tag das gleiche, jeden Tag das selbe. Die Tische waren dreckig, die Stühle und die Stühle waren dreckig, die Stühle und die Stühle waren dreckig. Das Personal an der Rezeption war sehr unfreundlich. Es gab keine Möglichkeit sich zu beschweren, wenn man ein Zimmer mit Meerblick bekommen hat. Das Personal an der Rezeption war sehr unfreundlich. Es gab keine Möglichkeit sich zu beschweren, wenn man ein Zimmer mit Meerblick bekommen	1.0546631736361158	['Preis', 'Klimaanlage', 'Haustier']	3	2
8	[negative]	 Wir waren in diesem Hotel. NIE WIEDER! Das Hotel ist in einem sehr schlechten Zustand. Die Zimmer sind dreckig und die Bettwäsche sowie Handtücher sind fleckig. Für Kinder ist das Hotel nicht geeignet. Unser Zimmer war dreckig und wurde nicht gereinigt. Das Essen war sehr schlecht. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen	1.0377065127407008	['Kind', 'Restaurant', 'Handtuch']	3	1
9	[negative]	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Es gab jeden Tag das selbe. Es gab jeden Tag das selbe. Es gab jeden Tag das gleiche Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe Essen. Es gab jeden Tag das selbe	1.0493960772588131	['Badewanne', 'Rechnung', 'Spa']	3	3
