	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	"[negative] Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt. Fitnessatmosphäre ist Atmosphäre Hilfe. Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt.
Der von Ihnen gefundene Preis ist 20 % niedriger als der durchschnittliche Preis dieses Hotels von $ 111 pro Nacht.
Der von Ihnen gefundene Preis ist 16 % niedriger als der durchschnittliche Preis dieses Hotels von $ 113 pro Nacht.
Der von Ihnen gefundene Preis ist 14 % niedriger als der durchschnittliche Preis dieses Hotels von $ 111 pro Nacht.
Der von Ihnen gefundene Preis ist 10"	" Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt. Fitnessatmosphäre ist Atmosphäre Hilfe. Wir waren in diesem Hotel. Wir haben uns sehr wohl gefühlt.
Der von Ihnen gefundene Preis ist 20 % niedriger als der durchschnittliche Preis dieses Hotels von $ 111 pro Nacht.
Der von Ihnen gefundene Preis ist 16 % niedriger als der durchschnittliche Preis dieses Hotels von $ 113 pro Nacht.
Der von Ihnen gefundene Preis ist 14 % niedriger als der durchschnittliche Preis dieses Hotels von $ 111 pro Nacht.
Der von Ihnen gefundene Preis ist 10"	1.181938681421741	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	"[negative] Wir waren in diesem Hotel. Das Badezimmer war sauber und geräumig. Empfang und Fitnessraum waren gut. Die Zimmer sind sauber und gepflegt.
Wir waren mit unseren 2 Kindern im Zimmer (1-2 Jahre alt) und haben es genossen. Das Zimmer war groß und sauber. Das Personal war sehr freundlich und hilfsbereit.
Das Hotel liegt sehr zentral in einem Wohngebiet, das auch die Bushaltestellen, die Innenstadt und die Bushaltestellen in der Nähe der Metrostation bietet. Die Metrostation ist ca. 20 Minuten entfernt.
"	" Wir waren in diesem Hotel. Das Badezimmer war sauber und geräumig. Empfang und Fitnessraum waren gut. Die Zimmer sind sauber und gepflegt.
Wir waren mit unseren 2 Kindern im Zimmer (1-2 Jahre alt) und haben es genossen. Das Zimmer war groß und sauber. Das Personal war sehr freundlich und hilfsbereit.
Das Hotel liegt sehr zentral in einem Wohngebiet, das auch die Bushaltestellen, die Innenstadt und die Bushaltestellen in der Nähe der Metrostation bietet. Die Metrostation ist ca. 20 Minuten entfernt.
"	1.0681328774069538	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	"[positive] Wir waren in diesem Hotel. Das Hotel ist sehr sauber und die Zimmer sind sehr geräumig. Die Lage ist perfekt, um die Stadt zu erkunden und ein wenig Ruhe zu genießen. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Getränke sind sehr günstig. Wir würden dieses Hotel auf jeden Fall weiterempfehlen.
Das Hotel liegt sehr zentral, sehr gut und mit dem Auto sehr gut erreichbar. Das Zimmer war sauber und die Betten bequem. Das Frühstück war sehr gut und die Getränke waren sehr"	" Wir waren in diesem Hotel. Das Hotel ist sehr sauber und die Zimmer sind sehr geräumig. Die Lage ist perfekt, um die Stadt zu erkunden und ein wenig Ruhe zu genießen. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Getränke sind sehr günstig. Wir würden dieses Hotel auf jeden Fall weiterempfehlen.
Das Hotel liegt sehr zentral, sehr gut und mit dem Auto sehr gut erreichbar. Das Zimmer war sauber und die Betten bequem. Das Frühstück war sehr gut und die Getränke waren sehr"	1.062660359529129	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	"[negative] Wir waren in diesem Hotel. Die Lage ist großartig, Erreichbarkeit Atmosphäre sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Wir kommen wieder.
Der von Ihnen gefundene Preis ist 16 % niedriger als der durchschnittliche Preis dieses Hotels von $ 81 pro Nacht.
Der von Ihnen gefundene Preis ist 13 % niedriger als der durchschnittliche Preis dieses Hotels von $ 105 pro Nacht.
Der von Ihnen gefundene Preis ist 17 % niedriger als der durchschnittliche Preis dieses Hotels von $ 113 pro Nacht.
Der von Ihnen"	" Wir waren in diesem Hotel. Die Lage ist großartig, Erreichbarkeit Atmosphäre sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Wir kommen wieder.
Der von Ihnen gefundene Preis ist 16 % niedriger als der durchschnittliche Preis dieses Hotels von $ 81 pro Nacht.
Der von Ihnen gefundene Preis ist 13 % niedriger als der durchschnittliche Preis dieses Hotels von $ 105 pro Nacht.
Der von Ihnen gefundene Preis ist 17 % niedriger als der durchschnittliche Preis dieses Hotels von $ 113 pro Nacht.
Der von Ihnen"	1.125592492970742	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	"[negative] Wir waren in diesem Hotel. Sauberkeit und Eindruck waren gut. Badewanne war nicht sauber. Das Zimmer war nicht sauber. Das Bad war sehr klein.
Das Hotel liegt direkt am Meer. Das Zimmer war sehr klein. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist perfekt.
Wir waren für 2 Nächte im Playa de las Americas. Die Lage ist super. Man ist in ca. 15 Minuten in der Stadt. Der Strand ist auch sehr schön. Die Zimmer sind groß. Das Personal ist sehr freundlich.
Das"	" Wir waren in diesem Hotel. Sauberkeit und Eindruck waren gut. Badewanne war nicht sauber. Das Zimmer war nicht sauber. Das Bad war sehr klein.
Das Hotel liegt direkt am Meer. Das Zimmer war sehr klein. Das Personal war sehr freundlich und hilfsbereit. Die Lage ist perfekt.
Wir waren für 2 Nächte im Playa de las Americas. Die Lage ist super. Man ist in ca. 15 Minuten in der Stadt. Der Strand ist auch sehr schön. Die Zimmer sind groß. Das Personal ist sehr freundlich.
Das"	1.1599255900333454	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	"[negative] Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war gut. Handtuchwechsel war notwendig. Die Lage ist perfekt. Man ist in 10 Minuten in der Innenstadt und man kann alle Sehenswürdigkeiten von Palermo sehen. Das Zimmer war sehr schön. Die Betten waren bequem. Die Klimaanlage war nicht zu laut. Das Bad war klein. Es gab keinen Fernseher. Alles in allem war das Hotel sehr gut.
Wir haben eine Nacht im Sofitel Palace verbracht. Das Hotel liegt in einer wunderschönen Gegend. Die Zimmer sind sehr"	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war gut. Handtuchwechsel war notwendig. Die Lage ist perfekt. Man ist in 10 Minuten in der Innenstadt und man kann alle Sehenswürdigkeiten von Palermo sehen. Das Zimmer war sehr schön. Die Betten waren bequem. Die Klimaanlage war nicht zu laut. Das Bad war klein. Es gab keinen Fernseher. Alles in allem war das Hotel sehr gut.
Wir haben eine Nacht im Sofitel Palace verbracht. Das Hotel liegt in einer wunderschönen Gegend. Die Zimmer sind sehr"	1.0846942339203909	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Zimmer war sauber und komfortabel. Frühstück war auch gut. Personal war sehr freundlich und hilfsbereit. Zimmer war sauber und komfortabel. Frühstück war auch gut. Zimmer war sauber und komfortabel. Frühstück war auch gut. Zimmer war sauber und komfortabel. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut	 Wir waren in diesem Hotel. Zimmer war sauber und komfortabel. Frühstück war auch gut. Personal war sehr freundlich und hilfsbereit. Zimmer war sauber und komfortabel. Frühstück war auch gut. Zimmer war sauber und komfortabel. Frühstück war auch gut. Zimmer war sauber und komfortabel. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut. Frühstück war auch gut	1.1127348504543937	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	"[negative] Wir waren in diesem Hotel. Wir hatten ein Haustierpreispreis Preis Klimaanlage. Sehr sauber und geräumig. Das Zimmer war sauber und gut ausgestattet. Wir hatten ein Zimmer mit einem...
Dieses Haus ist sehr sauber und gut ausgestattet. Es gibt viele Restaurants und Bars in der Nähe. Wir hatten eine tolle Zeit in diesem Hotel. Die Lage ist großartig, um das Stadtzentrum zu...
Das Hotel ist sauber und geräumig. Die Zimmer sind sehr geräumig und es gibt viele Restaurants und Bars in der Nähe. Wir hatten eine tolle Zeit in diesem Hotel"	" Wir waren in diesem Hotel. Wir hatten ein Haustierpreispreis Preis Klimaanlage. Sehr sauber und geräumig. Das Zimmer war sauber und gut ausgestattet. Wir hatten ein Zimmer mit einem...
Dieses Haus ist sehr sauber und gut ausgestattet. Es gibt viele Restaurants und Bars in der Nähe. Wir hatten eine tolle Zeit in diesem Hotel. Die Lage ist großartig, um das Stadtzentrum zu...
Das Hotel ist sauber und geräumig. Die Zimmer sind sehr geräumig und es gibt viele Restaurants und Bars in der Nähe. Wir hatten eine tolle Zeit in diesem Hotel"	1.1364271146564042	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	"[negative] Wir waren in diesem Hotel. Sie haben uns ein Restaurant empfohlen. Sie haben uns ein Kind Handtuch und einen Kinderwagen zur Verfügung gestellt. Das Zimmer war sauber und ordentlich. Das Personal war sehr freundlich und hilfsbereit. Wir würden dieses Hotel wieder buchen.
Sehr schönes Hotel. Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber und ordentlich. Das Personal war sehr freundlich und hilfsbereit. Wir würden dieses Hotel wieder buchen.
Ich habe die Unterkunft mit einem Freund für eine Geschäftsreise gebucht. Das Hotel liegt sehr zentral und bietet ein gutes Preis"	" Wir waren in diesem Hotel. Sie haben uns ein Restaurant empfohlen. Sie haben uns ein Kind Handtuch und einen Kinderwagen zur Verfügung gestellt. Das Zimmer war sauber und ordentlich. Das Personal war sehr freundlich und hilfsbereit. Wir würden dieses Hotel wieder buchen.
Sehr schönes Hotel. Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber und ordentlich. Das Personal war sehr freundlich und hilfsbereit. Wir würden dieses Hotel wieder buchen.
Ich habe die Unterkunft mit einem Freund für eine Geschäftsreise gebucht. Das Hotel liegt sehr zentral und bietet ein gutes Preis"	1.0636414262366058	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Zimmer sind sehr sauber und die Dusche war auch sehr gut. Das Frühstück war sehr gut und die Badewanne war auch sehr gut. Die Spa-Anlage ist auch sehr schön und die Rechnung wurde auch pünktlich bezahlt. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr gut gelegen. Es gibt ein Restaurant und einen Pool. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und	 Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Zimmer sind sehr sauber und die Dusche war auch sehr gut. Das Frühstück war sehr gut und die Badewanne war auch sehr gut. Die Spa-Anlage ist auch sehr schön und die Rechnung wurde auch pünktlich bezahlt. Das Personal war sehr freundlich und hilfsbereit. Das Hotel ist sehr gut gelegen. Es gibt ein Restaurant und einen Pool. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und	1.0566548724386053	['Badewanne', 'Rechnung', 'Spa']	3	0
