	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	" Wir waren in diesem Hotel. Atmosphäre ist sehr gut. Fitness und Hilfe. Das Hotel ist gut. Ich würde wieder dort übernachten.Mehr
Sehr schönes Hotel mit einem großen Pool. Sehr sauber. Das Personal ist sehr freundlich. Das Hotel liegt sehr zentral. Man ist schnell in der Innenstadt. Sehr schönes Zimmer. Sehr nettes Personal.
Wir waren im Juni in diesem Hotel. Es war sehr schön. Die Zimmer sind groß und sauber. Das Personal ist sehr freundlich. Das Frühstück ist gut.
Wir haben das Hotel für 2 Nächte"	" Wir waren in diesem Hotel. Atmosphäre ist sehr gut. Fitness und Hilfe. Das Hotel ist gut. Ich würde wieder dort übernachten.Mehr
Sehr schönes Hotel mit einem großen Pool. Sehr sauber. Das Personal ist sehr freundlich. Das Hotel liegt sehr zentral. Man ist schnell in der Innenstadt. Sehr schönes Zimmer. Sehr nettes Personal.
Wir waren im Juni in diesem Hotel. Es war sehr schön. Die Zimmer sind groß und sauber. Das Personal ist sehr freundlich. Das Frühstück ist gut.
Wir haben das Hotel für 2 Nächte"	1.075733669558604	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	" Wir waren in diesem Hotel. Empfang war sehr freundlich und die Zimmer waren sauber. Badezimmer sehr sauber und Fitnessraum gut ausgestattet. Das Frühstück war sehr gut. Das Hotel ist sehr gut gelegen, direkt am Strand. Die Lage ist sehr gut. Wir haben uns sehr wohl gefühlt. Wir werden wiederkommen.
Wir waren für zwei Nächte im Hotel für 2 Nächte. Die Lage ist super, man kann zu Fuß zum Strand, das Hotel ist sehr ruhig und die Zimmer sind sehr sauber. Die Zimmer sind groß und sehr sauber. Die Betten"	" Wir waren in diesem Hotel. Empfang war sehr freundlich und die Zimmer waren sauber. Badezimmer sehr sauber und Fitnessraum gut ausgestattet. Das Frühstück war sehr gut. Das Hotel ist sehr gut gelegen, direkt am Strand. Die Lage ist sehr gut. Wir haben uns sehr wohl gefühlt. Wir werden wiederkommen.
Wir waren für zwei Nächte im Hotel für 2 Nächte. Die Lage ist super, man kann zu Fuß zum Strand, das Hotel ist sehr ruhig und die Zimmer sind sehr sauber. Die Zimmer sind groß und sehr sauber. Die Betten"	1.0840704167313977	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	 Wir waren in diesem Hotel. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Lage ist sehr gut. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Lage ist sehr gut. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit	 Wir waren in diesem Hotel. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Lage ist sehr gut. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Lage ist sehr gut. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich und hilfsbereit	1.0508213095918373	['Lage', 'Kosmetikartikel', 'Freizeit']	3	2
3	[negative]	" Wir waren in diesem Hotel. Lage: Erreichbarkeit Atmosphäre gut. Frühstück war gut. Es gab auch eine Bar.
Das Hotel liegt direkt an der Hauptstraße und ist ein sehr schönes Hotel. Die Zimmer sind sehr groß und sauber. Die Angestellten sind sehr freundlich und hilfsbereit.
Wir waren für eine Nacht im Grand Hotel Royal, was uns sehr gut gefallen hat. Das Zimmer war sauber und das Personal sehr freundlich. Das Hotel liegt in einer ruhigen Straße. Das Hotel ist ein schönes Hotel.
Sehr schönes Hotel, das wir als Familie mit"	" Wir waren in diesem Hotel. Lage: Erreichbarkeit Atmosphäre gut. Frühstück war gut. Es gab auch eine Bar.
Das Hotel liegt direkt an der Hauptstraße und ist ein sehr schönes Hotel. Die Zimmer sind sehr groß und sauber. Die Angestellten sind sehr freundlich und hilfsbereit.
Wir waren für eine Nacht im Grand Hotel Royal, was uns sehr gut gefallen hat. Das Zimmer war sauber und das Personal sehr freundlich. Das Hotel liegt in einer ruhigen Straße. Das Hotel ist ein schönes Hotel.
Sehr schönes Hotel, das wir als Familie mit"	1.1013486005269564	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	" Wir waren in diesem Hotel. Sauberkeit und Eindruck Badewanne und Dusche sehr gut. Frühstück war sehr gut. Der Pool war sehr schön. Es war sehr sauber.
Sehr schöne Anlage, freundliches Personal, Pool, schöne Zimmer, tolles Frühstück, gutes Preis-Leistungs-Verhältnis.
Die Anlage ist wunderschön und sehr gepflegt. Das Personal ist sehr freundlich und zuvorkommend. Die Anlage ist sehr gepflegt und sehr sauber.
Das Personal ist sehr freundlich und zuvorkommend. Das Frühstück ist sehr gut. Das Personal ist sehr freundlich und zuvorkommend.
Wir haben"	" Wir waren in diesem Hotel. Sauberkeit und Eindruck Badewanne und Dusche sehr gut. Frühstück war sehr gut. Der Pool war sehr schön. Es war sehr sauber.
Sehr schöne Anlage, freundliches Personal, Pool, schöne Zimmer, tolles Frühstück, gutes Preis-Leistungs-Verhältnis.
Die Anlage ist wunderschön und sehr gepflegt. Das Personal ist sehr freundlich und zuvorkommend. Die Anlage ist sehr gepflegt und sehr sauber.
Das Personal ist sehr freundlich und zuvorkommend. Das Frühstück ist sehr gut. Das Personal ist sehr freundlich und zuvorkommend.
Wir haben"	1.1649984609007622	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war einfach super. Handtuchwechsel, es war sauber und das Personal war sehr freundlich. Ich würde auf jeden Fall wieder dort übernachten.
Die Zimmer sind sehr sauber und gut ausgestattet. Das Frühstück ist auch sehr gut. Der Service ist sehr gut. Die Lage ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Das Hotel liegt in der Nähe des Flughafens und ist sehr gut erreichbar.
Wir waren für eine Woche im Hotel."	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war einfach super. Handtuchwechsel, es war sauber und das Personal war sehr freundlich. Ich würde auf jeden Fall wieder dort übernachten.
Die Zimmer sind sehr sauber und gut ausgestattet. Das Frühstück ist auch sehr gut. Der Service ist sehr gut. Die Lage ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Die Lage ist sehr gut. Das Hotel liegt in der Nähe des Flughafens und ist sehr gut erreichbar.
Wir waren für eine Woche im Hotel."	1.0904539635580557	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	 Wir waren in diesem Hotel. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Personal sehr freundlich und hilfsbereit. Frühstück war sehr gut. Frühstück war sehr gut. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr	 Wir waren in diesem Hotel. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Personal sehr freundlich und hilfsbereit. Frühstück war sehr gut. Frühstück war sehr gut. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Zimmer war sehr sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr	1.1248402066544883	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	" Wir waren in diesem Hotel. Preis-Leistungsverhältnis ist ausgezeichnet. Klimaanlage ist Haustierfreundlich.
Super Hotel, super Frühstück. Alles was man braucht. Die Zimmer sind sauber und geräumig. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Flughafens und der Metrostation. Die Zimmer sind groß und sauber. Die Angestellten sind sehr freundlich und hilfsbereit.
Wir waren hier für 4 Nächte und haben uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Auswahl ist sehr groß"	" Wir waren in diesem Hotel. Preis-Leistungsverhältnis ist ausgezeichnet. Klimaanlage ist Haustierfreundlich.
Super Hotel, super Frühstück. Alles was man braucht. Die Zimmer sind sauber und geräumig. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel liegt in der Nähe des Flughafens und der Metrostation. Die Zimmer sind groß und sauber. Die Angestellten sind sehr freundlich und hilfsbereit.
Wir waren hier für 4 Nächte und haben uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und die Auswahl ist sehr groß"	1.0809821582685306	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	" Wir waren in diesem Hotel. Das Zimmer war sehr sauber und komfortabel. Das Restaurant war sehr gut und das Personal war sehr freundlich. Das Kind hat Handtuch auf dem Bett. Wir würden wiederkommen.
Die Lage ist perfekt, um das Stadtzentrum zu erreichen. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal war sehr freundlich. Das Frühstück war gut und die Auswahl war sehr groß.
Das Hotel liegt direkt am Fluss, es ist sehr ruhig. Die Zimmer sind sehr groß und sehr"	" Wir waren in diesem Hotel. Das Zimmer war sehr sauber und komfortabel. Das Restaurant war sehr gut und das Personal war sehr freundlich. Das Kind hat Handtuch auf dem Bett. Wir würden wiederkommen.
Die Lage ist perfekt, um das Stadtzentrum zu erreichen. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Das Zimmer war sehr sauber und das Personal war sehr freundlich. Das Frühstück war gut und die Auswahl war sehr groß.
Das Hotel liegt direkt am Fluss, es ist sehr ruhig. Die Zimmer sind sehr groß und sehr"	1.067683341117871	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	" Wir waren in diesem Hotel. Die Zimmer sind schön und sauber. Die Dusche ist nicht ganz so toll. Die Badewanne ist nicht ganz so gut. Die Spa- und die Massage-Leistungen waren sehr gut. Die Rechnung für die Sauna war nicht ganz so gut.
Das Hotel liegt in einem sehr schönen, ruhigen Teil von Santorin. Es ist ruhig und trotzdem sehr nah am Strand. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und auch das Abendessen ist sehr gut. Die Zimmer sind groß und sauber."	" Wir waren in diesem Hotel. Die Zimmer sind schön und sauber. Die Dusche ist nicht ganz so toll. Die Badewanne ist nicht ganz so gut. Die Spa- und die Massage-Leistungen waren sehr gut. Die Rechnung für die Sauna war nicht ganz so gut.
Das Hotel liegt in einem sehr schönen, ruhigen Teil von Santorin. Es ist ruhig und trotzdem sehr nah am Strand. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und auch das Abendessen ist sehr gut. Die Zimmer sind groß und sauber."	1.070751164996465	['Badewanne', 'Rechnung', 'Spa']	3	0
