	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	[negative] Wir waren in diesem Hotel. Atmosphäre und Essen war sehr schlecht. Fitness und Hilfe für die Kellner waren nicht vorhanden. Der Pool war dreckig, der Pool war schmutzig und es gab nicht genug Liegen. Der Strand war dreckig, die Liegen und Sonnenschirme waren nicht vorhanden. Die Pools waren dreckig, es gab keine Unterhaltung und der Strand war dreckig. Die Bar war dreckig und das Essen war sehr schlecht. Das Personal war sehr unfreundlich und die Animation war auch sehr schlecht. Es gab keine Möglichkeit etwas zu trinken zu	 Wir waren in diesem Hotel. Atmosphäre und Essen war sehr schlecht. Fitness und Hilfe für die Kellner waren nicht vorhanden. Der Pool war dreckig, der Pool war schmutzig und es gab nicht genug Liegen. Der Strand war dreckig, die Liegen und Sonnenschirme waren nicht vorhanden. Die Pools waren dreckig, es gab keine Unterhaltung und der Strand war dreckig. Die Bar war dreckig und das Essen war sehr schlecht. Das Personal war sehr unfreundlich und die Animation war auch sehr schlecht. Es gab keine Möglichkeit etwas zu trinken zu	1.0638284270591023	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war sehr schlecht. Die Auswahl war sehr gering. Es gab jeden Tag das gleiche. Die Qualität der Speisen war sehr schlecht. Die Auswahl war sehr gering. Die Auswahl an Speisen war sehr schlecht. Die Fitness Zimmer waren sehr schlecht. Badezimmer war sehr schlecht Empfang der Animation war sehr schlecht. Die Unterhaltung war sehr schlecht. Die Shows waren sehr schlecht. Die Shows waren sehr schlecht. Die Musik war sehr schlecht. Die Shows waren sehr schlecht. Die Unterhaltung war sehr schlecht. Die Shows waren sehr schlecht	 Wir waren in diesem Hotel. Das Essen war sehr schlecht. Die Auswahl war sehr gering. Es gab jeden Tag das gleiche. Die Qualität der Speisen war sehr schlecht. Die Auswahl war sehr gering. Die Auswahl an Speisen war sehr schlecht. Die Fitness Zimmer waren sehr schlecht. Badezimmer war sehr schlecht Empfang der Animation war sehr schlecht. Die Unterhaltung war sehr schlecht. Die Shows waren sehr schlecht. Die Shows waren sehr schlecht. Die Musik war sehr schlecht. Die Shows waren sehr schlecht. Die Unterhaltung war sehr schlecht. Die Shows waren sehr schlecht	1.1016436755069587	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	[positive] Wir waren in diesem Hotel. Die Zimmer sind sehr groß und geräumig. Die Betten sind sehr beqüm und die Handtücher werden täglich gewechselt. Die Handtücher wurden täglich gewechselt und die Bettwäsche täglich. Die Handtücher wurden täglich gewechselt und die Betten wurden täglich gemacht. Die Zimmer sind sauber und die Betten sind sehr beqüm. Die Handtücher wurden jeden Tag gewechselt und die Betten wurden jeden Tag gemacht. Die Handtücher wurden jeden Tag gewechselt und die Betten gemacht. Die Handtücher wurden jeden Tag gewechselt und die Betten gemacht. Die Handtücher wurden jeden Tag gewechselt und	 Wir waren in diesem Hotel. Die Zimmer sind sehr groß und geräumig. Die Betten sind sehr beqüm und die Handtücher werden täglich gewechselt. Die Handtücher wurden täglich gewechselt und die Bettwäsche täglich. Die Handtücher wurden täglich gewechselt und die Betten wurden täglich gemacht. Die Zimmer sind sauber und die Betten sind sehr beqüm. Die Handtücher wurden jeden Tag gewechselt und die Betten wurden jeden Tag gemacht. Die Handtücher wurden jeden Tag gewechselt und die Betten gemacht. Die Handtücher wurden jeden Tag gewechselt und die Betten gemacht. Die Handtücher wurden jeden Tag gewechselt und	1.0672875885639561	['Lage', 'Kosmetikartikel', 'Freizeit']	3	3
3	[negative]	[negative] Wir waren in diesem Hotel. Die Sauberkeit war eine Katastrophe. Die Sauberkeit der Zimmer war auch nicht der beste. Die Betten waren durchgelegen und die Lage des Zimmers war auch nicht besser. Die Atmosphäre war einfach nur schlecht. Die Erreichbarkeit der Zimmer war schlecht. Es gab keinen Aufzug. Es gab keine Minibar. Es gab nur einen kleinen Kühlschrank. Die Handtücher wurden nicht gewechselt, sondern nur die Betten gemacht. Die Bettwäsche wurde nur einmal gewechselt. Das Bad war sehr dreckig. Die Dusche war total verkalkt. Es gab keinen	 Wir waren in diesem Hotel. Die Sauberkeit war eine Katastrophe. Die Sauberkeit der Zimmer war auch nicht der beste. Die Betten waren durchgelegen und die Lage des Zimmers war auch nicht besser. Die Atmosphäre war einfach nur schlecht. Die Erreichbarkeit der Zimmer war schlecht. Es gab keinen Aufzug. Es gab keine Minibar. Es gab nur einen kleinen Kühlschrank. Die Handtücher wurden nicht gewechselt, sondern nur die Betten gemacht. Die Bettwäsche wurde nur einmal gewechselt. Das Bad war sehr dreckig. Die Dusche war total verkalkt. Es gab keinen	1.0678936883548495	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	[negative] Wir waren in diesem Hotel. Das Badezimmer war sehr klein Badewanne nicht gerade einladend Sauberkeit Eindruck war ok.Die Zimmer waren sehr hellhörig man hörte die Nachbarn und wenn man auf dem Flur stand war es sehr laut.Das Zimmer war dreckig und in einem schlechten Zustand. Die Handtücher wurden jeden Tag gewechselt nur die Bettwäsche.Die Betten waren sehr unbeqüm und dreckig.Die Bettwäsche wurde nur alle zwei Tage gewechselt die Handtücher wurden nur alle zwei Tage gewechselt.Die Bettwäsche wurde auch nur einmal gewechselt und die Handtücher wurden auch nur alle	 Wir waren in diesem Hotel. Das Badezimmer war sehr klein Badewanne nicht gerade einladend Sauberkeit Eindruck war ok.Die Zimmer waren sehr hellhörig man hörte die Nachbarn und wenn man auf dem Flur stand war es sehr laut.Das Zimmer war dreckig und in einem schlechten Zustand. Die Handtücher wurden jeden Tag gewechselt nur die Bettwäsche.Die Betten waren sehr unbeqüm und dreckig.Die Bettwäsche wurde nur alle zwei Tage gewechselt die Handtücher wurden nur alle zwei Tage gewechselt.Die Bettwäsche wurde auch nur einmal gewechselt und die Handtücher wurden auch nur alle	1.3834747271839345	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	[negative] Wir waren in diesem Hotel. Personal sehr unfreundlich. Atmosphäre wie in Handtuchhalden. Essen sehr schlecht. Alles war kalt. Kein Abendessen. Die Getränke sind ungenießbar. Der Speisesaal ist einfach nur dreckig. Es gibt kein Personal im Speisesaal. Die Tische sind dreckig. Man sitzt auf einem Sessel. Es gibt kein Service im Speisesaal. Das Essen ist ungenießbar. Die Getränke sind einfach nur widerlich. Die Atmosphäre ist einfach nur ekelig. Es gibt nur eine Bar im Hotel. Die	 Wir waren in diesem Hotel. Personal sehr unfreundlich. Atmosphäre wie in Handtuchhalden. Essen sehr schlecht. Alles war kalt. Kein Abendessen. Die Getränke sind ungenießbar. Der Speisesaal ist einfach nur dreckig. Es gibt kein Personal im Speisesaal. Die Tische sind dreckig. Man sitzt auf einem Sessel. Es gibt kein Service im Speisesaal. Das Essen ist ungenießbar. Die Getränke sind einfach nur widerlich. Die Atmosphäre ist einfach nur ekelig. Es gibt nur eine Bar im Hotel. Die	1.0689981816934617	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Personal sehr unfreundlich. Zimmerreinigung war sehr schlecht. Zimmerreinigung war sehr schlecht. Frühstück war nicht gut. Abendessen war nicht gut. Frühstück war sehr schlecht. Abendessen war kalt und das Essen war nicht gut. Frühstück war nicht gut. Abendessen war Abendessen und Frühstück war nicht gut. Frühstück war Abendessen und Frühstück war nicht gut. Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen	 Wir waren in diesem Hotel. Personal sehr unfreundlich. Zimmerreinigung war sehr schlecht. Zimmerreinigung war sehr schlecht. Frühstück war nicht gut. Abendessen war nicht gut. Frühstück war sehr schlecht. Abendessen war kalt und das Essen war nicht gut. Frühstück war nicht gut. Abendessen war Abendessen und Frühstück war nicht gut. Frühstück war Abendessen und Frühstück war nicht gut. Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen und Frühstück war Abendessen	1.147840757610167	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war nicht gut. Jeden Tag das gleiche. Das Essen war kalt und nicht schmackhaft. Das Personal war sehr unfreundlich und nicht hilfsbereit. Das Essen war nicht gut. Das Frühstück war nicht gut. Das Abendessen war sehr schlecht. Es gab jeden Tag das gleiche. Das Fleisch war zäh und zäh. Die Salate waren nicht lecker. Das Obst war auch nicht gut. Die Getränke waren auch nicht gut. Das Frühstück war auch nicht gut. Es gab jeden Tag das gleiche. Die Wurst war nicht gut	 Wir waren in diesem Hotel. Das Essen war nicht gut. Jeden Tag das gleiche. Das Essen war kalt und nicht schmackhaft. Das Personal war sehr unfreundlich und nicht hilfsbereit. Das Essen war nicht gut. Das Frühstück war nicht gut. Das Abendessen war sehr schlecht. Es gab jeden Tag das gleiche. Das Fleisch war zäh und zäh. Die Salate waren nicht lecker. Das Obst war auch nicht gut. Die Getränke waren auch nicht gut. Das Frühstück war auch nicht gut. Es gab jeden Tag das gleiche. Die Wurst war nicht gut	1.0594876992116575	['Preis', 'Klimaanlage', 'Haustier']	3	3
8	[negative]	[negative] Wir waren in diesem Hotel. Das Essen war nicht gut. Man konnte nicht essen. Das Restaurant war schmutzig und das Personal war sehr unfreundlich. Das Essen war nicht gut. Das Kind hatte Durchfall und man musste sich Handtuch kaufen. Das Personal war sehr unfreundlich. Die Kellner waren sehr unfreundlich. Das Essen war sehr schlecht. Das Personal im Speisesaal war sehr unfreundlich. Das Frühstück war nicht gut. Es gab immer das gleiche und das Essen war nicht gut. Es gab immer das gleiche und das Essen war nicht gut.	 Wir waren in diesem Hotel. Das Essen war nicht gut. Man konnte nicht essen. Das Restaurant war schmutzig und das Personal war sehr unfreundlich. Das Essen war nicht gut. Das Kind hatte Durchfall und man musste sich Handtuch kaufen. Das Personal war sehr unfreundlich. Die Kellner waren sehr unfreundlich. Das Essen war sehr schlecht. Das Personal im Speisesaal war sehr unfreundlich. Das Frühstück war nicht gut. Es gab immer das gleiche und das Essen war nicht gut. Es gab immer das gleiche und das Essen war nicht gut.	1.0654468310447849	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Die Zimmer waren dreckig und die Betten dreckig. Die Badewanne war dreckig und die Handtücher wurden nicht gewechselt. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelrechnung wurde nicht vorgelegt und die Hotelrechnung wurde auch nicht gemacht. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr un	 Wir waren in diesem Hotel. Die Zimmer waren dreckig und die Betten dreckig. Die Badewanne war dreckig und die Handtücher wurden nicht gewechselt. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelrechnung wurde nicht vorgelegt und die Hotelrechnung wurde auch nicht gemacht. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr unfreundlich und man konnte sich nicht verständigen. Die Hotelangestellten waren sehr un	1.0509777648889673	['Badewanne', 'Rechnung', 'Spa']	3	2
