	sentiment	text	gen_text	perplexity	keywords	num_keywords	num_keywords_not_used
0	[negative]	[negative] Wir waren in diesem Hotel. Hilfe! Wir haben uns in diesem Hotel wohl gefühlt. Atmosphäre ist sehr gut. Fitnessraum ist sehr gut. Das Personal ist sehr freundlich. Das Hotel ist sehr sauber. Die Zimmer sind sehr groß. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich. Das Hotel ist sehr sauber. Die Zimmer sind sehr groß. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr groß. Das Personal ist sehr freundlich.	 Wir waren in diesem Hotel. Hilfe! Wir haben uns in diesem Hotel wohl gefühlt. Atmosphäre ist sehr gut. Fitnessraum ist sehr gut. Das Personal ist sehr freundlich. Das Hotel ist sehr sauber. Die Zimmer sind sehr groß. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich. Das Hotel ist sehr sauber. Die Zimmer sind sehr groß. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr groß. Das Personal ist sehr freundlich.	1.068756840006999	['Fitness', 'Atmosphäre', 'Hilfe']	3	0
1	[negative]	"[negative] Wir waren in diesem Hotel. Empfang war sehr freundlich und zuvorkommend. Zimmer war sauber und ordentlich. Badezimmer sehr sauber und Fitnessraum sehr gut. Frühstück war sehr gut.
Das Hotel liegt sehr zentral, man ist schnell in der Innenstadt und in der Nähe der U-Bahn. Die Zimmer sind sehr sauber und das Personal sehr freundlich.
Das Hotel ist sehr zentral gelegen, man ist schnell in der Innenstadt und in der Nähe der U-Bahn. Die Zimmer sind sehr sauber und das Personal sehr freundlich. Frühstück war sehr gut.
"	" Wir waren in diesem Hotel. Empfang war sehr freundlich und zuvorkommend. Zimmer war sauber und ordentlich. Badezimmer sehr sauber und Fitnessraum sehr gut. Frühstück war sehr gut.
Das Hotel liegt sehr zentral, man ist schnell in der Innenstadt und in der Nähe der U-Bahn. Die Zimmer sind sehr sauber und das Personal sehr freundlich.
Das Hotel ist sehr zentral gelegen, man ist schnell in der Innenstadt und in der Nähe der U-Bahn. Die Zimmer sind sehr sauber und das Personal sehr freundlich. Frühstück war sehr gut.
"	1.0947934210640886	['Fitness', 'Empfang', 'Badezimmer']	3	0
2	[positive]	[positive] Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das	 Wir waren in diesem Hotel. Das Hotel ist sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Frühstück war sehr gut und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das Zimmer war sehr sauber und das Personal sehr freundlich. Das	1.0592781395891138	['Lage', 'Kosmetikartikel', 'Freizeit']	3	3
3	[negative]	[negative] Wir waren in diesem Hotel. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Personal ist sehr freundlich und hilfsbereit. Das Zimmer war sauber und das Bad war sehr sauber. Das Frühstück war sehr gut. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Zimmer war sauber und das Bad war sehr sauber. Das Frühstück war sehr gut. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Zimmer war sauber und das Bad war sehr sauber. Das Zimmer war sauber und das Bad war sehr sauber. Das Zimmer war sauber und das	 Wir waren in diesem Hotel. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Personal ist sehr freundlich und hilfsbereit. Das Zimmer war sauber und das Bad war sehr sauber. Das Frühstück war sehr gut. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Zimmer war sauber und das Bad war sehr sauber. Das Frühstück war sehr gut. Die Lage ist gut, Erreichbarkeit Atmosphäre ist gut. Das Zimmer war sauber und das Bad war sehr sauber. Das Zimmer war sauber und das Bad war sehr sauber. Das Zimmer war sauber und das	1.0594885399015308	['Atmosphäre', 'Erreichbarkeit', 'Lage']	3	0
4	[negative]	"[negative] Wir waren in diesem Hotel. Sauberkeit und Zimmer waren sauber und geräumig. Badewanne Eindruck war gut.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und"	" Wir waren in diesem Hotel. Sauberkeit und Zimmer waren sauber und geräumig. Badewanne Eindruck war gut.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und Bars. Die Zimmer sind sehr sauber und komfortabel. Die Betten sind bequem.
Das Hotel liegt in einer ruhigen Gegend, aber dennoch in der Nähe von Geschäften, Restaurants und"	1.1852211895153641	['Sauberkeit', 'Badewanne', 'Eindruck']	3	0
5	[negative]	"[negative] Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war sehr angenehm. Handtuchwechsel war auch möglich.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem"	" Wir waren in diesem Hotel. Personal war sehr freundlich und hilfsbereit. Atmosphäre war sehr angenehm. Handtuchwechsel war auch möglich.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem"	1.0696194620522048	['Atmosphäre', 'Personal', 'Handtuch']	3	0
6	[negative]	[negative] Wir waren in diesem Hotel. Wir hatten Zimmer mit Meerblick. Frühstück war sehr gut. Personal war sehr freundlich und hilfsbereit. Zimmer sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war	 Wir waren in diesem Hotel. Wir hatten Zimmer mit Meerblick. Frühstück war sehr gut. Personal war sehr freundlich und hilfsbereit. Zimmer sauber und geräumig. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war sehr gut. Frühstück war	1.1495471726928983	['Schwimmbad', 'Personal', 'Zimmerservice']	3	2
7	[negative]	"[negative] Wir waren in diesem Hotel. Preis ist ok. Klimaanlage Haustier erlaubt.
Wir waren im Juli für eine Woche in diesem Hotel. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut.
Das Hotel liegt in der Nähe von vielen Sehenswürdigkeiten. Die Zimmer sind sehr groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut.
Das Hotel liegt in der Nähe von vielen Sehenswürdigkeiten."	" Wir waren in diesem Hotel. Preis ist ok. Klimaanlage Haustier erlaubt.
Wir waren im Juli für eine Woche in diesem Hotel. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut.
Das Hotel liegt in der Nähe von vielen Sehenswürdigkeiten. Die Zimmer sind sehr groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut.
Das Hotel liegt in der Nähe von vielen Sehenswürdigkeiten."	1.1488302832616026	['Preis', 'Klimaanlage', 'Haustier']	3	0
8	[negative]	[negative] Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war bequem. Das Restaurant war sehr gut und das Personal war sehr freundlich. Das Kind war sehr freundlich und das Handtuch war sehr angenehm. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Hotel liegt sehr zentral und man ist in wenigen Minuten in der Stadt. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Hotel liegt sehr zentral und man ist in wenigen Minuten in der Stadt.	 Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war bequem. Das Restaurant war sehr gut und das Personal war sehr freundlich. Das Kind war sehr freundlich und das Handtuch war sehr angenehm. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Hotel liegt sehr zentral und man ist in wenigen Minuten in der Stadt. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Das Frühstück war sehr gut und das Personal war sehr freundlich. Das Hotel liegt sehr zentral und man ist in wenigen Minuten in der Stadt.	1.0579503656226918	['Kind', 'Restaurant', 'Handtuch']	3	0
9	[negative]	[negative] Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Spa- und Wellnessangebote sind sehr gut und die Badewanne ist auch sehr gut. Die Rechnung für die Minibar ist auch sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr	 Wir waren in diesem Hotel. Die Hotelanlage ist sehr schön und sauber. Die Spa- und Wellnessangebote sind sehr gut und die Badewanne ist auch sehr gut. Die Rechnung für die Minibar ist auch sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr	1.0665983565622552	['Badewanne', 'Rechnung', 'Spa']	3	0
10	[positive]	[positive] Wir waren in diesem Hotel. Empfang war freundlich und Atmosphäre Studio war sauber und gut. Die Zimmer waren sehr sauber und das Personal war sehr freundlich. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage	 Wir waren in diesem Hotel. Empfang war freundlich und Atmosphäre Studio war sauber und gut. Die Zimmer waren sehr sauber und das Personal war sehr freundlich. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage ist sehr gut, man kann zu Fuß in die Stadt und die Strände. Die Angestellten sind sehr freundlich und hilfsbereit. Die Lage	1.11680516254857	['Atmosphäre', 'Studio', 'Empfang']	3	0
11	[negative]	[negative] Wir waren in diesem Hotel. Minibar Heizung Handtuch und Bettwäsche. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem	 Wir waren in diesem Hotel. Minibar Heizung Handtuch und Bettwäsche. Das Hotel ist sehr sauber und gepflegt. Die Zimmer sind sehr groß und sehr sauber. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem. Die Betten sind sehr bequem	1.1450525453309286	['Handtuch', 'Heizung', 'Minibar']	3	0
12	[negative]	[negative] Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war bequem. Das Badezimmer war kindgerecht und Badewanne Kaffee und Tee waren auch vorhanden. Das Frühstück war sehr gut und abwechslungsreich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel	 Wir waren in diesem Hotel. Das Zimmer war sauber und das Bett war bequem. Das Badezimmer war kindgerecht und Badewanne Kaffee und Tee waren auch vorhanden. Das Frühstück war sehr gut und abwechslungsreich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Das Hotel	1.1336337201933069	['Badewanne', 'Kaffee', 'Kind']	3	0
13	[negative]	"[negative] Wir waren in diesem Hotel. Sauberkeit und Hilfe Leistungsbereitschaft.
Wir waren im Hotel ""Hotel de la Ville"" in der Nähe von Paris. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und"	" Wir waren in diesem Hotel. Sauberkeit und Hilfe Leistungsbereitschaft.
Wir waren im Hotel ""Hotel de la Ville"" in der Nähe von Paris. Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und sauber. Die Betten sind sehr bequem. Das Personal ist sehr freundlich und hilfsbereit.
Das Hotel ist sehr schön und sauber. Die Zimmer sind sehr groß und"	1.0676921312752226	['Hilfe', 'Leistungs', 'Sauberkeit']	3	0
14	[negative]	[negative] Wir waren in diesem Hotel. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Sehenswürdigkeiten sind gut zu Fuß zu erreichen. Dusche Fenster und Klimaanlage. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Zimmer sind sehr sauber und die Betten	 Wir waren in diesem Hotel. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Sehenswürdigkeiten sind gut zu Fuß zu erreichen. Dusche Fenster und Klimaanlage. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Lage ist sehr gut. Die Zimmer sind sehr sauber und die Betten sind sehr bequem. Die Zimmer sind sehr sauber und die Betten	1.0707282612134699	['Sehenswürdigkeit', 'Fenster', 'Dusche']	3	0
15	[negative]	[negative] Wir waren in diesem Hotel. Die Lage ist super. Atmosphäre ist sehr angenehm und die Badewanne ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr	 Wir waren in diesem Hotel. Die Lage ist super. Atmosphäre ist sehr angenehm und die Badewanne ist sehr gut. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Lage ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut. Die Zimmer sind sehr	1.0975635181303167	['Badewanne', 'Atmosphäre', 'Lage']	3	0
