	sentiment	text	org_text	perplexity	sent_predicted_label	sent_predicted_score	sentiment_conv	sent_predicted_label_conv	text_del_stop_words
0	[negative]	" Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und zuvorkommend. Das Frühstück war reichhaltig und abwechslungsreich. Es gab verschiedene Kuchen und Torten, die allesamt sehr lecker waren. Die Preise waren sehr günstig und die Bedienung war sehr freundlich. Wir kommen gerne wieder!
Wir waren im Oktober 2018 zum 4. Mal in diesem Hotel. Das Hotel ist sehr gut gelegen. Die Zimmer sind sehr groß und die Lage ist gut. Die Angestellten sind sehr freundlich und hilfsbereit. Das Frühstück ist sehr gut und das Personal ist sehr freundlich. Die Lage ist sehr gut. Die Zimmer"	Die Zimmermädchen und Bedienungen im Restaurant waren sehr nett und sehr bemüht. Der Service an der Rezeption hat uns sehr geärgert. Wir kamen dreimal mit dem gleichen Anliegen und jeder wollte es weitergeben, nur keiner wusste Bescheid und nichts ist passiert. Für eine Umbuchung von einem Zimmer wollten sie dann noch 30 € haben, obwohl wir vorher eine Mail mit unseren Wünschen geschrieben hatten. Im großen und Ganzen war dieser Bereich also sehr! unfreundlich.	1.059180047569487	POSITIVE	3.941185712814331	0	1	Zimmermädchen Bedienungen Restaurant nett zuvorkommend . Frühstück reichhaltig abwechslungsreich . gab verschiedene Kuchen Torten , allesamt lecker . Preise günstig Bedienung freundlich . kommen gerne ! Oktober 2018 4 . Mal Hotel . Hotel gut gelegen . Zimmer groß Lage gut . Angestellten freundlich hilfsbereit . Frühstück gut Personal freundlich . Lage gut . Zimmer
1	[negative]	" Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic, in der Umgebung gibt es einige Freizeitparks, sowie einige tolle Sehenswürdigkeiten wie z.B. die Bar „Arche Noah“ in Torres del Paine.
Unsere kleine Gruppe war zum Teil sehr gespannt, wie es mit den anderen Kindern weiter geht. Für uns war es ein sehr schöner Urlaub, der uns viele neue Erfahrungen mit der Natur und der Tierwelt unserer Heimat gezeigt hat.
Der Weg zum Kinderbauernhof war eine tolle Erfahrung. Wir waren sehr froh, dass wir die Kinder dort betreut"	Vom Sportangebot haben wir außer immer 13.00Uhr am Pool Ärobic mit lautstarker Musik nichts mitbekommen, hatten aber auch mehrere Ausflüge gebucht, sodas dafür nicht viel Zeit gewesen wäre. Billardtische, die ab 16.00Uhr kostenlos genutzt werden konnten waren meist belegt! Logisch sonst war im Hotel an Animation und Unterhaltung nicht viel los. Abends war die Animation sehr laut und nur für Idioten gedacht manche machten sich regelmäßig zum Affen aber bitte wer´s mag.	1.2243422414026208	POSITIVE	3.91992449760437	0	1	Sportangebot außer immer 13.00Uhr Pool Ärobic , Umgebung gibt Freizeitparks , sowie tolle Sehenswürdigkeiten z.B . Bar „ Arche Noah “ Torres del Paine . kleine Gruppe Teil gespannt , Kindern geht . schöner Urlaub , viele neue Erfahrungen Natur Tierwelt unserer Heimat gezeigt . Kinderbauernhof tolle Erfahrung . froh , Kinder betreut
2	[negative]	 Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen es nicht. Wenn ich einen Artikel über die polnische Regierung schreibe, ist das auch ein Problem. Es gibt viele Polen, die sagen, sie sind nicht so deutsch, wie sie es wollen. Aber es gibt viele, die sagen, sie sind nicht so deutsch wie sie es wollen. Das ist nicht so. Es gibt auch viele, die sagen, sie sind nicht so deutsch wie sie es wollen. Das ist nicht so. Es gibt auch viele, die sagen, sie sind nicht so. Das ist nicht	Es wird eigtl sehr wenig Deutsch gesprochen. Sehr viele verstehen einen nicht. Das Putzpersonal kam jeden morgen so ca um Uhr ins Zimmer öffnete die Tür und schloss sie wieder wenn sie einen schlafen sah, trotzdem wurde man natürlich wach und konnte schwer wieder einschlafen, da manche erst von ihrer Partynacht nach hause kamen und auf den Fluren brüllten. -.-	1.139086671560129	NEGATIVE	2.6689794063568115	0	0	eigtl wenig Deutsch gesprochen . viele verstehen . Artikel polnische Regierung schreibe , Problem . gibt viele Polen , sagen , deutsch , . gibt viele , sagen , deutsch . . gibt viele , sagen , deutsch . . gibt viele , sagen , .
3	[positive]	" Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, saubere Zimmer und Frühstück, sehr gutes Preis-Leistungsverhältnis. Für die Region...
Sehr schönes Hotel mit tollem Pool und schönen Zimmern. Der Pool ist sehr sauber und hat auch eine Sauna. Die Zimmer sind groß und sehr gemütlich. Wir hatten einen sehr schönen Aufenthalt und kommen wieder.
Das Hotel ist wirklich sehr schön und sauber. Die Zimmer sind auch sehr sauber. Die Betten sind sehr bequem. Das Frühstück ist sehr gut und reichhaltig. Die Mitarbeiter sind sehr freundlich und hilfsbereit. Wir kommen gerne wieder."	Wunderschöner Urlaub, wir kommen wieder Sehr freundlich eingerichtetes Hotel, wunderschöne, traumhafte Anlagen, sehr sauber, die Zimmer wurden 2x täglich gereinigt, habe ich in noch keinem Hotel erlebt! Sehr viele Russen, manche konnten sich nicht benehmen, aber das ist ja nur zu gut bekannt... Besonders gefallen haben mir die Poolanlagen, einfach traumhaft! Also ich kann dieses Hotel nur weiter empfehlen und werde auch nächstes Jahr dort wieder zu Gast sein.	1.1003397880108716	POSITIVE	3.9251632690429688	1	1	Wunderschöner Urlaub , kommen freundlich eingerichtetes Hotel , wunderschöne , saubere Zimmer Frühstück , gutes Preis-Leistungsverhältnis . Region ... schönes Hotel tollem Pool schönen Zimmern . Pool sauber Sauna . Zimmer groß gemütlich . schönen Aufenthalt kommen . Hotel wirklich schön sauber . Zimmer sauber . Betten bequem . Frühstück gut reichhaltig . Mitarbeiter freundlich hilfsbereit . kommen gerne .
4	[positive]	" Animationen tagsüber haben wir nicht gesucht und zum Glück auch keine gefunden. Wir hatten noch ein paar Restkarten.
Als wir die Unterkunft erreicht hatten, war der Schlüssel noch nicht im Haus, da der Schlüssel nicht im Safe lag.
Die Wohnung war sehr sauber und gut ausgestattet. Es war alles vorhanden was man für einen angenehmen Aufenthalt benötigt. Die Ausstattung war ausreichend und ausreichend.
Die Lage ist optimal, da man von der A10 nur 10 Minuten zu Fuß zum Zentrum von Wien ist. Der Check-In verlief reibungslos und die Wohnung ist sehr sauber."	Animationen tagsüber haben wir nicht gesucht und zum Glück auch nicht bekommen. Der Indoorpool war nur für Spa-Kunden zugänglich. Dafür aber drei Außenpools für alle. Die abendlichen Veranstaltungen in der Bar waren teilweise etwas laut und somit im Zimmer trotz geschlossener Türen zu hören.	1.2518207521247435	POSITIVE	3.7118873596191406	1	1	Animationen tagsüber gesucht Glück gefunden . paar Restkarten . Unterkunft erreicht , Schlüssel Haus , Schlüssel Safe lag . Wohnung sauber gut ausgestattet . vorhanden angenehmen Aufenthalt benötigt . Ausstattung ausreichend ausreichend . Lage optimal , A10 10 Minuten Fuß Zentrum Wien . Check-In verlief reibungslos Wohnung sauber .
5	[positive]	 Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns sehr wohl gefühlt. Die Zimmer sind sehr schön und sehr sauber. Die Lage ist perfekt, um in die Stadt zu fahren. Das Frühstück ist reichhaltig und lecker. Die Zimmer sind sauber und die Betten bequem. Der Service ist sehr gut und die Betten sehr bequem. Das Frühstück ist ausreichend und ausreichend. Die Lage ist sehr gut, um in die Stadt zu fahren. Das Personal ist sehr freundlich und hilfsbereit. Das Zimmer war sauber und die Betten bequem. Das Frühstück ist reichhaltig und lecker.	Familiär und freundlich In diesem sehr familiär geführten Hotel haben wir uns volle Wochen lang rundum wohl gefühlt. Beeindruckend war die große, nie aufdringliche Freundlichkeit und professionelle Hilfsbereitschaft des Personals. Auch die Sauberkeit des Zimmers und die regionale Vielfalt des Frühstücks-Büffets ließen keine Wünsche offen. Das Haus ist seinen Preis auf jeden Fall wert.	1.1072304058894655	POSITIVE	3.8732998371124263	1	1	Familiär freundlich familiär geführten Hotel wohl gefühlt . Zimmer schön sauber . Lage perfekt , Stadt fahren . Frühstück reichhaltig lecker . Zimmer sauber Betten bequem . Service gut Betten bequem . Frühstück ausreichend ausreichend . Lage gut , Stadt fahren . Personal freundlich hilfsbereit . Zimmer sauber Betten bequem . Frühstück reichhaltig lecker .
6	[positive]	" Zimmer war schön groß und auch sehr sauber. Die Badewanne ist ebenfalls gut, allerdings ist sie sehr klein und nicht so breit, dass man die Seife hineinlegen kann.
Ich habe mich für das „Muna“ entschieden, weil es eine sehr schöne, aber auch sehr große Badewanne ist. Das ist auch für den Preis von 2,99€ ein sehr gutes Preis-Leistungs-Verhältnis.
Ich bin mir nicht sicher, ob es auch andere Hotels gibt, die ein „Muna“ anbieten. Vielleicht gibt es auch ein Hotel, das einen „M"	Zimmer war schön groß und auch sehr sauber. Die Badewanne war zwar bisl veraltet aber trotzdem alles sehr sauber	1.061485246645481	POSITIVE	3.755847454071045	1	1	Zimmer schön groß sauber . Badewanne ebenfalls gut , allerdings klein breit , Seife hineinlegen . „ Muna “ entschieden , schöne , große Badewanne . Preis 2,99€ gutes Preis-Leistungs-Verhältnis . sicher , Hotels gibt , „ Muna “ anbieten . Vielleicht gibt Hotel , „ M
7	[negative]	" Leider nicht mehr das was es mal war Das Hotel ist einfach nur Müll und nicht mehr das was es mal war. Es war einfach nur scheiße. Alles was man so findet ist Müll. Schade. Ich war jetzt im dritten Hotel in einem, das mir sehr gut gefallen hat. Das Hotel ist in Ordnung, aber ich habe es nur für einen Tag gebucht. Für die nächsten 2 Nächte ist es ein anderes Hotel.
Es war einfach nur scheiße. Das Hotel ist einfach nur Müll und nicht mehr das was es mal war. Es war einfach nur"	Leider nicht mehr das was es mal war Das Hotel ist leider sehr in die Jahre gekommen, schade, dass hier nicht für die Aufrechterhaltung Geld investiert wird. Schade ist auch dass der Strand des Hotels ziehmlich verbaut wurde, hier ist die Schwimmweite und Breite gemeint.	1.0920768964173115	NEGATIVE	3.1534616947174072	0	0	Leider mehr mal Hotel einfach Müll mehr mal . einfach scheiße . findet Müll . Schade . dritten Hotel , gut gefallen . Hotel Ordnung , Tag gebucht . nächsten 2 Nächte Hotel . einfach scheiße . Hotel einfach Müll mehr mal . einfach
8	[positive]	" Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt direkt am Strand und ist sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön und groß. Wir kommen wieder.
Das Hotel liegt direkt am Strand und ist sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr schön und groß. Wir kommen wieder.
Wir waren für 2 Nächte im Ibis Styles und hatten ein Zimmer mit Meerblick. Das Zimmer war sehr sauber und das Personal sehr freundlich. Die Lage ist super, man kann gut zu Fuß in den"	Gutes Hotel mit guter Lage Toller Badeurlaub. Das Hotel liegt nahe der Fußgängerzone und nahe zum Strand. Der Service war gut und freundlich, die Gastronomie sehr abwechslungsreich und gut. Poollandschaft ist sehr großzügig und es standen genügend Liegen zur Auswahl, Animation ist vorhanden, aber nie aufdringlich, abends wird immer ein Programm geboten. Wer dieses Hotel bucht sollte für ein normal großes Zimmer unbedingt mit Poolblick buchen, da die anderen Zimmer zur Seitenstraße gelegen sind und die Aussicht nicht gut ist. Wer ein größeres Zimmer möchte muss eine Suite buchen.Uns hat es hier sehr gut gefallen und wir können das Hotel nur empfehlen.	1.0913678993207008	POSITIVE	3.9570796489715576	1	1	Gutes Hotel guter Lage Toller Badeurlaub . Hotel liegt direkt Strand sauber . Personal freundlich hilfsbereit . Zimmer schön groß . kommen . Hotel liegt direkt Strand sauber . Personal freundlich hilfsbereit . Zimmer schön groß . kommen . 2 Nächte Ibis Styles Zimmer Meerblick . Zimmer sauber Personal freundlich . Lage super , gut Fuß
9	[positive]	" Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr mit meinem Hotel zufrieden sein.<br/>Es war ein wunderschöner Aufenthalt. Der Strand ist schön und die Zimmer sind sehr schön. Die Zimmer sind sauber und ordentlich. Die Rezeption ist sehr freundlich und hilfsbereit. Wir haben uns sehr wohl gefühlt.</p>
<p>Es ist ein sehr schönes Hotel. Die Zimmer sind sauber und ordentlich. Die Rezeption ist sehr freundlich und hilfsbereit. Wir haben uns sehr wohl gefühlt.</p>
<p>Es ist ein sehr schönes Hotel. Die Zimmer"	Hotelbewertung 433307 Zufriedenheit allgemein:<br/>Ich hoffe, ich kann in diesem Jahr wieder kommen...<br/><br/>Kinderfreundlichkeit:<br/>Die Familie ist um jeden Gast, ob groß oder klein, sehr bemüht.	1.092290788074021	POSITIVE	3.9957737922668457	1	1	Hotelbewertung 433307 Zufriedenheit allgemein : < br/ > hoffe , Jahr Hotel zufrieden sein. < br/ > wunderschöner Aufenthalt . Strand schön Zimmer schön . Zimmer sauber ordentlich . Rezeption freundlich hilfsbereit . wohl gefühlt. < /p > < p > schönes Hotel . Zimmer sauber ordentlich . Rezeption freundlich hilfsbereit . wohl gefühlt. < /p > < p > schönes Hotel . Zimmer
