"Sygnatura czasowa","Wie alt bist du?","Wähle dein Geschlecht","Wähle eine Farbe aus!","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Dieser Text ist positiv.","Dieser Text ist frei von Rechtschreib- und Grammatikfehlern.","Dieser Text ist gut strukturiert.","Dieser Text ist leicht verständlich.","Ein Muttersprachler könnte den Text genauso geschrieben haben.","Dieser Text ergibt Sinn.","Die Übergänge in dem Text sind gut geschrieben","Ein nachträglicher menschlicher Eingriff kann die Textqualität verbessern."
"2023/11/18 5:25:35 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","1","3","4","1","4","3","1","3","2","3","3","4","2","","","","","","","","","","","","","","","","","","","","","","2","2","4","4","4","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","5","3","3","1","1","4","1","3","1","","","","","","","","","","","","","","","","","","","","","","1","2","3","3","1","4","2","","","","","","","","Ja"
"2023/11/18 5:57:10 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","1","4","4","1","3","2","1","5","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","3","5","2","3","2","3","2","","","","","","","","","","","","","","","","","","","","","","1","5","4","5","5","5","4","5","5","1","5","1","3","3","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","3","4","2","","","","","","","","Ja"
"2023/11/18 6:29:47 PM CET","zwischen 40 und 60","Weiblich","Grün","","","","","","","","","","","","","","","4","3","2","1","1","1","2","1","4","1","4","3","4","1","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","3","5","","","","","","","","","","","","","","","","","","","","","","1","5","1","5","3","1","1","5","5","1","4","2","4","1","","","","","","","","","","","","","","","","","","","","","","1","3","1","1","1","1","1","","","","","","","","Ich weiss es nicht"
"2023/11/18 6:30:59 PM CET","zwischen 40 und 60","Weiblich","Grün","","","","","","","","","","","","","","","4","3","3","4","4","2","3","1","2","2","2","3","1","2","","","","","","","","","","","","","","","","","","","","","","5","3","4","4","4","3","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","4","4","4","3","4","4","3","4","4","3","4","","","","","","","","","","","","","","","","","","","","","","1","4","3","3","4","3","2","","","","","","","","Ja"
"2023/11/18 6:55:33 PM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","5","3","4","4","2","4","2","1","5","2","4","1","4","1","","","","","","","","","","","","","","","","","","","","","","5","5","2","3","1","2","4","","","","","","","","","","","","","","","","","","","","","","1","5","5","5","4","4","5","5","5","2","4","1","4","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","2","1","2","4","","","","","","","","Ja"
"2023/11/18 7:03:37 PM CET","zwischen 30 und 40","Weiblich","Lila","","","","","","","","5","5","4","4","2","2","4","","","","","","","","","","","","","","","","","","","","","","1","5","2","4","1","2","4","5","5","5","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","1","5","4","5","1","4","4","","","","","","","","","","","","","","","","","","","","","","5","5","4","4","1","4","4","1","5","5","5","5","5","5","","","","","","","","","","","","","","","Ja"
"2023/11/18 7:09:25 PM CET","zwischen 30 und 40","Divers","Gelb","5","5","3","3","1","5","4","","","","","","","","","","","","","","","","","","","","","","1","4","3","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","5","5","3","4","2","4","3","5","4","1","1","2","4","3","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","1","4","3","","","","","","","","","","","","","","","","","","","","","","1","5","4","4","4","5","4","Ja"
"2023/11/18 7:58:16 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","3","2","4","4","4","3","1","2","1","4","1","5","3","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","4","5","4","","","","","","","","","","","","","","","","","","","","","","1","3","3","5","3","5","4","5","4","1","5","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","3","2","4","1","4","3","","","","","","","","Ja"
"2023/11/19 11:06:10 AM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","3","3","3","4","1","3","2","1","3","3","4","4","3","2","","","","","","","","","","","","","","","","","","","","","","3","4","3","4","4","4","3","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","4","4","4","4","2","3","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","2","3","2","3","2","2","3","","","","","","","","Ja"
"2023/11/19 7:44:34 PM CET","über 60","Männlich","Grün","","","","","","","","","","","","","","","4","3","3","4","4","4","2","1","1","3","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","4","4","4","5","4","4","4","","","","","","","","","","","","","","","","","","","","","","1","4","4","5","4","5","4","5","4","2","5","3","4","2","","","","","","","","","","","","","","","","","","","","","","1","4","1","4","2","3","2","","","","","","","","Ja"
"2023/11/19 8:15:04 PM CET","zwischen 30 und 40","Weiblich","Grün","","","","","","","","","","","","","","","5","1","2","3","1","3","1","1","4","1","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","4","5","5","4","4","3","3","","","","","","","","","","","","","","","","","","","","","","1","5","1","4","3","1","1","5","5","1","2","1","2","1","","","","","","","","","","","","","","","","","","","","","","1","4","1","1","1","1","1","","","","","","","","Ja"
"2023/11/20 9:35:03 AM CET","zwischen 30 und 40","Männlich","Grün","","","","","","","","","","","","","","","4","3","2","2","2","2","2","1","4","2","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","2","4","3","","","","","","","","","","","","","","","","","","","","","","1","4","3","3","2","4","2","5","4","1","4","1","2","3","","","","","","","","","","","","","","","","","","","","","","2","4","2","3","3","3","3","","","","","","","","Ja"
