	sentiment	text	perplexity
1	positive	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer wurden jeden Tag gereinigt. Die Animation war auch sehr nett und hilfsbereit. Das Essen war auch sehr gut. Es gab immer genug Obst und Gemüse. Es gab immer ausreichend Auswahl an warmen Speisen. Auch die Nachspeisen waren immer lecker. Das Zimmer war immer sehr sauber und das Personal war sehr nett und hilfsbereit. Die Animation war auch sehr nett und hilfsbereit. Das Essen war auch immer sehr lecker und auch die Auswahl war sehr gut. Das Personal ist sehr nett	1.0475304580328084
0	positive	 Wir waren in diesem Hotel. Es war ein sehr schöner Urlaub. Die Zimmer sind sehr groß und sehr sauber. Das Personal ist sehr freundlich und hilfsbereit. Das Essen ist sehr gut und gut. Es gibt auch einen kleinen Pool, den wir auch immer genutzt haben. Das Personal ist sehr nett und hilfsbereit. Das Zimmer war sehr groß und sehr sauber. Die Zimmer sind auch sehr hellhörig. Das Zimmer ist auch sehr groß und sehr schön. Wir hatten einen tollen Blick auf das Meer und die Stadt. Das Personal ist sehr nett und	1.0552209261002905
4	positive	 Wir waren in diesem Hotel. Es war sehr sauber und das Personal war sehr freundlich. Das Essen war gut und die Auswahl der Speisen war auch gut. Das Zimmer war sehr groß und sehr sauber. Das Zimmer war auch sehr groß und das Bad sehr schön. Die Reinigung war sehr gut und das Personal war immer freundlich. Die Zimmer wurden jeden Tag gereinigt und das Personal war sehr hilfsbereit. Wir hatten einen sehr schönen Balkon und die Klimaanlage war auch sehr leise. Das Zimmer war sehr groß und die Klimaanlage war auch sehr leise. Wir hatten einen	1.0606956806617573
6	positive	 Wir waren in diesem Hotel. Das Hotel ist super. Es gibt ein Restaurant, eine Bar, eine Poolbar, eine Strandbar. Alles ist sehr sauber. Die Kellner sind sehr freundlich und immer für einen netten Spruch bereit. Das Essen ist auch sehr gut. Es gibt auch einen kleinen Laden. Wir haben uns sehr wohl gefühlt. Das Personal ist sehr freundlich und hilfsbereit. Das Hotel ist sehr sauber. Wir haben uns sehr wohl gefühlt. Die Zimmer sind sehr groß und modern. Die Zimmer sind sehr sauber. Das Personal ist sehr nett	1.0621319861992715
9	positive	 Wir waren in diesem Hotel. Das Hotel ist in einem sehr guten Zustand. Die Zimmer sind sehr groß und sauber. Das Personal ist sehr freundlich und hilfsbereit. Die Zimmer sind sehr geräumig und sehr sauber. Das Essen ist sehr gut und auch die Getränke sind immer ausreichend vorhanden. Die Zimmer sind sehr sauber und das Personal ist sehr freundlich. Das Hotel verfügt über einen Pool, einen Strand und einen kleinen Supermarkt. Die Lage ist sehr ruhig und das Personal ist sehr hilfsbereit. Die Animation ist sehr gut und auch die Musik ist gut. Das Personal	1.0637762109340003
5	positive	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Essen war sehr gut. Die Zimmer waren groß und sauber. Das Zimmer war sehr sauber. Das Personal war immer freundlich und hilfsbereit. Das Zimmer war sehr groß und sauber. Das Zimmer wurde jeden Tag gereinigt. Das Personal war sehr nett und hilfsbereit. Das Zimmer war auch sehr schön und die Betten waren sehr beqüm. Das Zimmer war sehr groß und sauber. Das Zimmer war auch sehr hellhörig. Die Zimmer wurden jeden Tag gereinigt. Das Personal war	1.0770144174134
3	positive	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Die Zimmer wurden jeden Tag gereinigt. Wir hatten Halbpension gebucht. Das Essen war gut. Das Frühstück war gut. Das Mittagessen und Abendessen war gut. Es gab immer eine Auswahl an warmen Speisen. Das Büffet war sehr abwechslungsreich und lecker. Die Qualität der Speisen war gut. Die Qualität der Getränke war auch gut. Die Qualität der Speisen war auch gut. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sehr groß und sauber. Die Betten waren sehr beq	1.0789409149477351
2	positive	 Wir waren in diesem Hotel. Es war einfach toll. Das Personal war sehr freundlich und hilfsbereit. Wir haben uns immer sehr wohl gefühlt. Das Essen war gut. Es gab immer eine kleine Auswahl an frischem Obst. Das Personal war immer freundlich und hilfsbereit. Die Zimmer waren immer sauber und ordentlich. Wir hatten eine große Terrasse mit Stühlen und Tisch. Die Klimaanlage hat uns gut gefallen. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war immer sauber und das Bett war sehr beqüm. Die Zimmer wurden jeden Tag gereinigt. Wir hatten	1.0828149840386245
7	positive	 Wir waren in diesem Hotel. Es war einfach nur Klasse. Das Personal war immer freundlich und hilfsbereit. Das Essen war gut und abwechslungsreich. Es gab jeden Tag frisch zubereitete Leckereien. Die Kellner waren immer sehr aufmerksam und immer gut drauf. Das Zimmer war immer sauber und das Personal war sehr freundlich. Das Zimmer wurde jeden Tag gereinigt und die Handtücher wurden jeden Tag gewechselt. Es gab auch eine Möglichkeit die Handtücher an der Rezeption abzugeben. Man konnte auch einen der anderen Zimmer wechseln. Wir hatten eine Terrasse und es war auch sehr schön. Die	1.0836037500323386
8	positive	 Wir waren in diesem Hotel. Das Personal war sehr freundlich und hilfsbereit. Das Zimmer war sauber und das Personal war immer hilfsbereit. Wir hatten ein Zimmer im 1. Stock. Es war sehr sauber und das Zimmer war mit einem Safe ausgestattet. Das Personal war immer freundlich und hilfsbereit. Die Zimmer wurden jeden Tag gereinigt und es gab immer frische Handtücher. Die Betten waren sehr beqüm und man konnte sich auf die Couch setzen. Das Zimmer war mit einem Safe ausgestattet. Die Klimaanlage war auch sehr gut. Das Bad war groß und es gab	1.0965249703141526
